domain,group,cell,n,n_correct,method,selector_type,actuator,geometry_id,lambda,trust_factor,auroc,auprc,delta_vs_iu_pp,family_nrm_delta_pp
processbench_qwen,omnimath,qwen3_8b__omnimath,1000,241,iu,baseline,none,none,,,0.8310454354113024,0.6446683195834833,0.0,0.1716606804104348
processbench_qwen,omnimath,qwen3_8b__omnimath,1000,241,canonical,frozen_canonical,full,residual_union_k7,0.03,0.5,0.8318108015023042,0.6484960188113579,0.07653660910018623,0.1716606804104348
processbench_qwen,omnimath,qwen3_8b__omnimath,1000,241,label_free,intrinsic_label_free_geometry,full,residual_adaptive_k7,0.03,0.5,0.8333470005849584,0.6505952665403943,0.2301565173655984,0.1716606804104348
processbench_qwen,omnimath,qwen3_8b__omnimath,1000,241,supervised_one_se,supervised_donor_label,full,contribution_union_k7,0.1,1.0,0.8387100301226225,0.6591659346352168,0.7664594711320083,0.1716606804104348
processbench_qwen,omnimath,qwen3_8b__omnimath,1000,241,supervised_max_mean,supervised_donor_label_sensitivity,full,contribution_union_k7,3.0,1.0,0.8375237126815694,0.6565103189940931,0.6478277270267063,0.1716606804104348
processbench_qwen,omnimath,qwen3_8b__omnimath,1000,241,canonical_cross,frozen_canonical_matched_cross_actuator,cross,residual_union_k7,,0.5,0.8316795958867038,0.6481868341592654,0.06341604754014352,0.1716606804104348
processbench_qwen,omnimath,qwen3_8b__omnimath,1000,241,label_free_cross,intrinsic_label_free_geometry_matched_cross_actuator,cross,residual_adaptive_k7,,0.5,0.8333087322804084,0.6505705747461334,0.22632968691059796,0.1716606804104348
processbench_qwen,omnimath,qwen3_8b__omnimath,1000,241,supervised_one_se_cross,supervised_donor_label_matched_cross_actuator,cross,contribution_union_k7,,1.0,0.8386553611161224,0.6589553022122837,0.7609925704819998,0.1716606804104348
processbench_qwen,omnimath,qwen3_8b__omnimath,1000,241,supervised_max_mean_cross,supervised_donor_label_sensitivity_matched_cross_actuator,cross,contribution_union_k7,,1.0,0.8386553611161224,0.6589553022122837,0.7609925704819998,0.1716606804104348
processbench_llama,gsm8k,llama31_8b__gsm8k,400,193,iu,baseline,none,none,,,0.7734975344797377,0.7261264911568224,0.0,2.643237966508971
processbench_llama,gsm8k,llama31_8b__gsm8k,400,193,canonical,frozen_canonical,full,residual_union_k7,0.03,0.5,0.7793046481940377,0.7374382941747257,0.5807113714299983,2.643237966508971
processbench_llama,gsm8k,llama31_8b__gsm8k,400,193,label_free,intrinsic_label_free_geometry,full,residual_adaptive_k7,0.03,0.5,0.7804059973467499,0.740449528885675,0.6908462867012188,2.643237966508971
processbench_llama,gsm8k,llama31_8b__gsm8k,400,193,supervised_one_se,supervised_donor_label,full,contribution_union_k7,0.1,1.0,0.7932717579034316,0.7638980830849842,1.9774223423693948,2.643237966508971
processbench_llama,gsm8k,llama31_8b__gsm8k,400,193,supervised_max_mean,supervised_donor_label_sensitivity,full,contribution_union_k7,3.0,1.0,0.7938724938049111,0.7667207429343199,2.0374959325173414,2.643237966508971
processbench_llama,gsm8k,llama31_8b__gsm8k,400,193,canonical_cross,frozen_canonical_matched_cross_actuator,cross,residual_union_k7,,0.5,0.7790543415684213,0.7371379938649645,0.5556807088683668,2.643237966508971
