acc_correct,acc_erroneous,cal_f1,f1,method,model,sla,sla_tol1,split_index,subset,tau
0.6458333333333334,0.2692307692307692,0.3435390549662488,0.3800350262697022,global_dufs__local_temporal_core,qwen3_4b,0.2692307692307692,0.5192307692307693,23,gsm8k,-0.13935738369986822
0.5862068965517241,0.2831858407079646,0.3281519861830743,0.38188838188838187,global_dufs__local_temporal_core,qwen3_4b,0.2831858407079646,0.49557522123893805,24,gsm8k,-0.09460485294992675
0.6176470588235294,0.2755102040816326,0.343801652892562,0.38104838709677413,global_dufs__local_temporal_core,qwen3_4b,0.2755102040816326,0.4489795918367347,25,gsm8k,-0.13739495976852653
0.6530612244897959,0.2549019607843137,0.3605943863511282,0.3666813574261789,global_dufs__local_temporal_core,qwen3_4b,0.2549019607843137,0.5294117647058824,26,gsm8k,-0.09716522010786527
0.6494845360824743,0.2815533980582524,0.3321299638989169,0.3928187486562029,global_dufs__local_temporal_core,qwen3_4b,0.2815533980582524,0.47572815533980584,27,gsm8k,-0.09169869131288816
0.7403846153846154,0.21875,0.3605815831987076,0.3377192982456141,global_dufs__local_temporal_core,qwen3_4b,0.21875,0.4583333333333333,28,gsm8k,-0.05041614044602463
0.6595744680851063,0.29245283018867924,0.31606805293005674,0.40522875816993464,global_dufs__local_temporal_core,qwen3_4b,0.29245283018867924,0.5283018867924528,29,gsm8k,-0.13902321213063068
0.6458333333333334,0.23076923076923078,0.378464479133482,0.34003656307129804,global_dufs__local_temporal_core,qwen3_4b,0.23076923076923078,0.4519230769230769,30,gsm8k,-0.08318571882472302
0.7157894736842105,0.2571428571428571,0.3483703353802551,0.3783616692426584,global_dufs__local_temporal_core,qwen3_4b,0.2571428571428571,0.5238095238095238,31,gsm8k,-0.09169869131288816
0.42696629213483145,0.26126126126126126,0.3710337768679631,0.3241653184291808,global_dufs__local_temporal_core,qwen3_4b,0.26126126126126126,0.5045045045045045,32,gsm8k,-0.2355744662936963
0.6451612903225806,0.2803738317757009,0.33123595505617975,0.39087947882736157,global_dufs__local_temporal_core,qwen3_4b,0.2803738317757009,0.5233644859813084,33,gsm8k,-0.09460485294992675
0.7011494252873564,0.26548672566371684,0.3402061855670103,0.3851415342523414,global_dufs__local_temporal_core,qwen3_4b,0.26548672566371684,0.5221238938053098,34,gsm8k,-0.09460485294992675
0.6796116504854369,0.23711340206185566,0.3588053553038105,0.3515667649306693,global_dufs__local_temporal_core,qwen3_4b,0.23711340206185566,0.4536082474226804,35,gsm8k,-0.05464781631122395
0.43434343434343436,0.2871287128712871,0.3481856990394877,0.34571666204602164,global_dufs__local_temporal_core,qwen3_4b,0.2871287128712871,0.5445544554455446,36,gsm8k,-0.23577434261695682
0.6355140186915887,0.26881720430107525,0.3521220159151194,0.3778197577508612,global_dufs__local_temporal_core,qwen3_4b,0.26881720430107525,0.4838709677419355,37,gsm8k,-0.09716522010786527
0.6956521739130435,0.24074074074074073,0.3696265372898567,0.3576956147893379,global_dufs__local_temporal_core,qwen3_4b,0.24074074074074073,0.5370370370370371,38,gsm8k,-0.09460485294992675
0.6082474226804123,0.21359223300970873,0.4036458333333333,0.3161612471075386,global_dufs__local_temporal_core,qwen3_4b,0.21359223300970873,0.46601941747572817,39,gsm8k,-0.13739495976852653
0.5480769230769231,0.2604166666666667,0.3703861745252827,0.35307234886025773,global_dufs__local_temporal_core,qwen3_4b,0.2604166666666667,0.5520833333333334,40,gsm8k,-0.13902321213063068
0.67,0.29,0.3224675779880827,0.40479166666666666,global_dufs__local_temporal_core,qwen3_4b,0.29,0.4,41,gsm8k,-0.09425905847082666
0.6739130434782609,0.2037037037037037,0.41204437400950866,0.3128440366972477,global_dufs__local_temporal_core,qwen3_4b,0.2037037037037037,0.42592592592592593,42,gsm8k,-0.09460485294992675
0.59375,0.22115384615384615,0.3964502941469738,0.32227138643067843,global_dufs__local_temporal_core,qwen3_4b,0.22115384615384615,0.38461538461538464,43,gsm8k,-0.08398723354020751
0.7425742574257426,0.1717171717171717,0.4063908234330193,0.2789323999124918,global_dufs__local_temporal_core,qwen3_4b,0.1717171717171717,0.42424242424242425,44,gsm8k,-0.0511569169019435
0.6704545454545454,0.24107142857142858,0.3649586776859504,0.3546304541406946,global_dufs__local_temporal_core,qwen3_4b,0.24107142857142858,0.45535714285714285,45,gsm8k,-0.08398723354020751
0.6989247311827957,0.21495327102803738,0.3876923076923077,0.3287882120079173,global_dufs__local_temporal_core,qwen3_4b,0.21495327102803738,0.4392523364485981,46,gsm8k,-0.08398723354020751
0.336734693877551,0.27450980392156865,0.36080536912751676,0.302454991816694,global_dufs__local_temporal_core,qwen3_4b,0.27450980392156865,0.5686274509803921,47,gsm8k,-0.2721803882990971
0.6597938144329897,0.2815533980582524,0.32901296111665007,0.3946836788942052,global_dufs__local_temporal_core,qwen3_4b,0.2815533980582524,0.5631067961165048,48,gsm8k,-0.13935738369986822
0.66,0.21,0.40191285866099885,0.31862068965517243,global_dufs__local_temporal_core,qwen3_4b,0.21,0.46,49,gsm8k,-0.09570165865533728
0.6792452830188679,0.22340425531914893,0.38263016157989227,0.33622414943295525,global_dufs__local_temporal_core,qwen3_4b,0.22340425531914893,0.4787234042553192,50,gsm8k,-0.09570165865533728
