method,benchmark,metric,stratum,N,estimate,coverage
H_RANDATT,prm,within_auc,depth=2-5,395,0.6563291139240506,395
H_RANDATT,pb,sla,depth=6-10,2308,0.17157712305025996,2308
H_RANDATT,prm,within_auc,depth=6-10,2527,0.658692690372548,2527
H_RANDATT,pb,sla,depth=11+,822,0.10583941605839416,822
H_RANDATT,prm,within_auc,depth=11+,3108,0.6381626457975567,3108
H_RAW,pb,sla,pb_gsm8k_q4,207,0.3333333333333333,400
H_RAW,pb,tol1,pb_gsm8k_q4,207,0.6086956521739131,400
H_RAW,pb,early,pb_gsm8k_q4,207,0.2946859903381642,400
H_RAW,pb,late,pb_gsm8k_q4,207,0.3719806763285024,400
H_RAW,pb,f1,pb_gsm8k_q4,207,0.3557915057915058,400
H_RAW,pb,clean_acc,pb_gsm8k_q4,193,0.5025906735751295,400
H_RAW,pb,gated_err_acc,pb_gsm8k_q4,207,0.2753623188405797,400
H_RAW,pb,sla,pb_gsm8k_q8,207,0.2898550724637681,400
H_RAW,pb,tol1,pb_gsm8k_q8,207,0.5603864734299517,400
H_RAW,pb,early,pb_gsm8k_q8,207,0.4057971014492754,400
H_RAW,pb,late,pb_gsm8k_q8,207,0.30434782608695654,400
H_RAW,pb,f1,pb_gsm8k_q8,207,0.3196895817594945,400
H_RAW,pb,clean_acc,pb_gsm8k_q8,193,0.49222797927461137,400
H_RAW,pb,gated_err_acc,pb_gsm8k_q8,207,0.23671497584541062,400
H_RAW,pb,sla,pb_math_q4,594,0.24074074074074073,1000
H_RAW,pb,tol1,pb_math_q4,594,0.5134680134680135,1000
H_RAW,pb,early,pb_math_q4,594,0.30303030303030304,1000
H_RAW,pb,late,pb_math_q4,594,0.4562289562289562,1000
H_RAW,pb,f1,pb_math_q4,594,0.3133299470285175,1000
H_RAW,pb,clean_acc,pb_math_q4,406,0.5862068965517241,1000
H_RAW,pb,gated_err_acc,pb_math_q4,594,0.2138047138047138,1000
H_RAW,pb,sla,pb_math_q8,594,0.21717171717171718,1000
H_RAW,pb,tol1,pb_math_q8,594,0.4764309764309764,1000
H_RAW,pb,early,pb_math_q8,594,0.37542087542087543,1000
H_RAW,pb,late,pb_math_q8,594,0.4074074074074074,1000
H_RAW,pb,f1,pb_math_q8,594,0.2727979586696308,1000
H_RAW,pb,clean_acc,pb_math_q8,406,0.5788177339901478,1000
H_RAW,pb,gated_err_acc,pb_math_q8,594,0.17845117845117844,1000
H_RAW,pb,sla,pb_olympiadbench_q4,661,0.2118003025718608,1000
H_RAW,pb,tol1,pb_olympiadbench_q4,661,0.4750378214826021,1000
H_RAW,pb,early,pb_olympiadbench_q4,661,0.4205748865355522,1000
H_RAW,pb,late,pb_olympiadbench_q4,661,0.367624810892587,1000
H_RAW,pb,f1,pb_olympiadbench_q4,661,0.2800717309973015,1000
H_RAW,pb,clean_acc,pb_olympiadbench_q4,339,0.5958702064896755,1000
H_RAW,pb,gated_err_acc,pb_olympiadbench_q4,661,0.18305597579425115,1000
H_RAW,pb,sla,pb_olympiadbench_q8,661,0.2042360060514372,1000
