source,group,budget,reference,candidate,n_units,mean_delta,median_delta,ci95_low,ci95_high,wins,losses,catastrophic_losses_5pp
synthetic,correlated_weak_block,20,gold_ridge_all,anchored_pcr6,40,-0.1409383300277355,-0.1386912893120666,-0.1536485644527665,-0.12874075379127609,0,40,39
real,all,20,anchored_pcr6,pseudo_gold_pcr6,24,-0.03973034959170618,-0.03667550930035007,-0.04715838105921163,-0.03320343599567188,0,24,7
real,QA,20,anchored_pcr6,pseudo_gold_pcr6,9,-0.043515390217475254,-0.03665596406611171,-0.05894701322551669,-0.03183602312299895,0,9,3
real,math,20,anchored_pcr6,pseudo_gold_pcr6,15,-0.03745932521624474,-0.036695054534588434,-0.04450915542676027,-0.03064425035526606,0,15,4
synthetic,independent,20,anchored_pcr6,pseudo_gold_pcr6,40,-0.008442070604008724,-0.008069956368469411,-0.01032475496303084,-0.0067938680095763985,0,40,0
synthetic,grouped,20,anchored_pcr6,pseudo_gold_pcr6,40,-0.021283553195546992,-0.019758145482657863,-0.026553703586927126,-0.016331676360193025,2,38,2
synthetic,sparse_pairs,20,anchored_pcr6,pseudo_gold_pcr6,40,-0.009501987221865899,-0.006331213926355828,-0.012794958061922407,-0.006602021583738348,4,36,0
synthetic,correlated_weak_block,20,anchored_pcr6,pseudo_gold_pcr6,40,0.11911839591163309,0.11708786538740878,0.1106568573252221,0.12806371748872813,40,0,0
real,all,20,gold_pcr6,anchored_pcr6,24,0.08811785235007098,0.08813550333443698,0.07679545588319335,0.10025858504283319,24,0,0
real,QA,20,gold_pcr6,anchored_pcr6,9,0.08568332090470479,0.08782469872571075,0.0684098430143699,0.10241908107784517,9,0,0
real,math,20,gold_pcr6,anchored_pcr6,15,0.08957857121729068,0.0885113500369209,0.07462791510975772,0.10573877192350044,15,0,0
synthetic,independent,20,gold_pcr6,anchored_pcr6,40,0.021068726686707725,0.018153104592128877,0.015807309388992958,0.02754651301047008,39,1,0
synthetic,grouped,20,gold_pcr6,anchored_pcr6,40,0.05398005069737336,0.05009871020346002,0.04305372773835596,0.06524259432792107,40,0,0
synthetic,sparse_pairs,20,gold_pcr6,anchored_pcr6,40,0.036953136203306244,0.026937791166531277,0.027669341141980854,0.04728017917905836,39,1,0
synthetic,correlated_weak_block,20,gold_pcr6,anchored_pcr6,40,-0.13888953247777497,-0.13760644473001155,-0.15180079529099733,-0.12627887505065927,0,40,39
