source,panel,budget,method,n_units,mean_auc,ci95_low,ci95_high
synthetic,independent,20,anchored_pcr2,40,0.985077788887768,0.9839920922591635,0.9862020523531606
synthetic,independent,20,anchored_pcr6,40,0.9824569748759651,0.9811075102301106,0.983773178196309
synthetic,independent,20,pseudo_gold_pcr6,40,0.9740149042719561,0.9712518297749335,0.9766038115070457
synthetic,independent,40,upcr,40,0.9857335273194694,0.9846576278496582,0.9867743138199019
synthetic,independent,40,platt_upcr,40,0.9857335273194694,0.9846828612810284,0.9867658719204597
synthetic,independent,40,gold_pcr2,40,0.983830477568046,0.9819794410407743,0.9854874851413906
synthetic,independent,40,gold_pcr6,40,0.973692895458106,0.9701781953323424,0.9769477474930098
synthetic,independent,40,gold_ridge_all,40,0.9670987630809968,0.9627329446824923,0.9709111090709548
synthetic,independent,40,anchored_pcr2,40,0.985367084011323,0.9842902439267741,0.9864745997421293
synthetic,independent,40,anchored_pcr6,40,0.9822034655827023,0.9806494993635049,0.9837113813751263
