uid,cell,group_id,category,tokens,steps,first_error_step,error_start,error_stop,gate_percentile,log2_tokens,error_start_fraction,error_step_fraction,feature_change_l2,predictor_disagreement,mean_signed_residual
pb_math_q8__b425fb7b313f4417,pb_math_q8,pb_source_v2:84e650852183732fddb5f9a1,1,739,7,7,549,739,0.9775,9.52943055414615,0.7428958051420839,0.2571041948579161,1.3147427057281116,0.2310058194731313,0.12033428419939789
pb_math_q8__58fc314ea05e855a,pb_math_q8,pb_source_v2:d5873bc2786ab16c8ba61dad,1,1645,24,5,388,460,0.8645,10.683871868622603,0.2358662613981763,0.04376899696048632,3.209334921147727,0.29928707328351783,0.0927027063089788
pb_math_q8__9ccdea74f0511d16,pb_math_q8,pb_source_v2:5c9c4d36095b229393c639e1,2,407,8,8,304,407,0.2135,8.668884984266247,0.7469287469287469,0.25307125307125306,0.18178559182162699,0.20194611078920763,0.03467007365844844
pb_math_q8__0e0d5bba15d9f4c2,pb_math_q8,pb_source_v2:e4e58df379f80bb669d5e034,1,678,4,2,179,313,0.7875,9.405141463136344,0.2640117994100295,0.1976401179941003,2.5011803456191792,0.26540698251629424,0.07751019014571608
pb_math_q8__1e8ce29b75da9b94,pb_math_q8,pb_source_v2:d50a1cdb282f8e35034d2b30,1,1194,11,9,596,828,0.9945,10.221587121264806,0.4991624790619765,0.19430485762144054,0.2772080268413397,0.2866016840301193,0.14165234996619103
pb_math_q8__4e2d746c0fbabbcd,pb_math_q8,pb_source_v2:edb181346e03ca4005f57f2a,2,230,4,1,0,83,0.2905,7.845490050944375,0.0,0.36086956521739133,,0.2594328963407803,-0.13135305039809753
pb_math_q8__1e748b4a6f5e5a9d,pb_math_q8,pb_source_v2:ae7ebe7dddadd2a3cd864640,0,97,2,1,0,81,0.4465,6.599912842187128,0.0,0.8350515463917526,,0.2524543110045871,-0.035916177545827786
pb_math_q8__e0dd2fcde2125bc5,pb_math_q8,pb_source_v2:d463b253c5f1d2ad5c070380,2,146,4,4,103,146,0.1885,7.189824558880018,0.7054794520547946,0.2945205479452055,0.1694691307626227,0.2250978993116745,0.214511219881239
pb_math_q8__8361973627d65c93,pb_math_q8,pb_source_v2:213d047095dd45bdf21e053a,2,327,5,2,84,147,0.2205,8.353146825498083,0.25688073394495414,0.1926605504587156,3.251036303124319,0.26362136968076877,0.09288909598784845
pb_math_q8__2c5187ec6604fcf6,pb_math_q8,pb_source_v2:48530617796eae97347c8020,1,752,8,2,82,149,0.7225,9.554588851677638,0.10904255319148937,0.08909574468085106,0.9810642560144057,0.23364545335471817,0.038720342744112145
