acc_correct,acc_correct_sd,acc_erroneous,acc_erroneous_sd,cal_f1,cal_f1_sd,f1,f1_sd,model,n,n_splits,sla,sla_sd,sla_tol1,sla_tol1_sd,subset,system,tau,tau_sd
0.5364549225496037,0.07466971945205798,0.20089387380888643,0.02298002122945876,0.3016254873299318,0.0178347687692276,0.2892740700297688,0.01933967330749789,llama31_8b,1000,100,0.20089387380888643,0.02298002122945876,0.4181410031738513,0.028723160410164917,olympiadbench,candidate_detector__baseline_max_entropy,-0.15215460057486468,0.032410239076999345
0.5303170039925871,0.06811888371209772,0.15525406536692696,0.015875472677738752,0.24347318390070768,0.01586333868676802,0.23849612462498979,0.016202900494248572,llama31_8b,1000,100,0.15525406536692696,0.015875472677738752,0.33939942801212725,0.028133835753181295,olympiadbench,candidate_detector__baseline_min_token_prob,-0.15547768754202398,0.03157382139168256
0.4907981221147354,0.06276706837366558,0.17866372327114236,0.019183138509726718,0.26565954960778937,0.016162510627346017,0.259892731573981,0.017776188036422842,llama31_8b,1000,100,0.17866372327114236,0.019183138509726718,0.42208054814404333,0.027574668670756843,olympiadbench,candidate_detector__baseline_entropy_cusum,-0.18028640046504954,0.02966529080110086
0.49826015599162454,0.07300447408312533,0.1652690199680413,0.018477627269159146,0.2571274192674369,0.015790733343688405,0.24574162563199298,0.016472831289727888,llama31_8b,1000,100,0.1652690199680413,0.018477627269159146,0.3837469382485665,0.031214981710426564,olympiadbench,candidate_detector__baseline_change_point,-0.17404614580644812,0.03639122987286561
0.4311051846843301,0.06769209558134746,0.10932824316798259,0.014303585969952529,0.1870067145903616,0.01559023825240971,0.17262691625668364,0.01585663167061839,llama31_8b,1000,100,0.10932824316798259,0.014303585969952529,0.3160018447237292,0.027168708298874175,olympiadbench,candidate_detector__baseline_random,-0.21967719450950615,0.0398349421700086
0.26491733115370125,0.07227511075674822,0.04054190139710473,0.007716213922267657,0.07390880594357904,0.00993309340926618,0.06930966348865708,0.011071395099929632,llama31_8b,1000,100,0.04054190139710473,0.007716213922267657,0.14399584096985396,0.014254222417011972,olympiadbench,candidate_detector__baseline_last_step,-0.34622083965104294,0.04533636523504678
0.5386368154922282,0.07591990330414221,0.19648180828249998,0.023232706208948326,0.29458825262446525,0.018640148496629753,0.2849814429166431,0.020578171315999427,llama31_8b,1000,100,0.19648180828249998,0.023232706208948326,0.44798685348362455,0.034386717819793196,omnimath,gl_liu_v1_frozen,-0.21656826479472094,0.043342617331895275
0.5111715879153025,0.06697335823768741,0.18693208767310057,0.019266375973722754,0.2811534502092608,0.01525725370399046,0.27154322924339136,0.017297883328499384,llama31_8b,1000,100,0.18693208767310057,0.019266375973722754,0.4556038399113791,0.03180804545336313,omnimath,unified_core_five_dufs,-0.23530866137231038,0.039987603685132524
0.4043398504204603,0.06817783010471912,0.17867906472914744,0.02008452315412065,0.25362048489328254,0.014276913929579001,0.24433925916318736,0.014993674385218956,llama31_8b,1000,100,0.17867906472914744,0.02008452315412065,0.4151047581056009,0.032190722355064684,omnimath,mindgap_control,0.62968682839443,0.016170594904238018
0.5161070892382891,0.08434169438222804,0.1998881036667117,0.021385498295893233,0.2904965267641477,0.0162358847346376,0.28500133519000903,0.018110065736679358,llama31_8b,1000,100,0.1998881036667117,0.021385498295893233,0.44501695836752103,0.036770296976238015,omnimath,candidate_detector__baseline_max_entropy,-0.23563899735761545,0.047414913812556816
0.6053874059801414,0.08525953012227175,0.16282335702144932,0.01782670071929284,0.2591923533707162,0.018527953569121975,0.2543985963524546,0.018746474143642146,llama31_8b,1000,100,0.16282335702144932,0.01782670071929284,0.36383696441010327,0.03142205696268324,omnimath,candidate_detector__baseline_min_token_prob,-0.1730933287926762,0.04577132229825617
0.5249063611267204,0.07955127763624474,0.15579721649447154,0.017055629062731285,0.24776130697642113,0.016977567446829038,0.23816367669772326,0.018042033751252122,llama31_8b,1000,100,0.15579721649447154,0.017055629062731285,0.4285361229745161,0.033017173272074964,omnimath,candidate_detector__baseline_entropy_cusum,-0.22535740833454646,0.04745103706853919
0.5090341911850916,0.04481160775643494,0.14599894396576205,0.013636520184885698,0.22830755164060093,0.015243161250504931,0.2261233791433693,0.016169547565512817,llama31_8b,1000,100,0.14599894396576205,0.013636520184885698,0.37747711630290104,0.020709056509101258,omnimath,candidate_detector__baseline_change_point,-0.23719738220125117,0.02536885060386888
0.4364925016249723,0.09679951111618988,0.12050534836673607,0.01587604973604012,0.19569087389247372,0.015068552494249002,0.1854702785324229,0.01533457205806446,llama31_8b,1000,100,0.12050534836673607,0.01587604973604012,0.34276149298552033,0.024660212672900025,omnimath,candidate_detector__baseline_random,-0.27911845192753254,0.053241706804394176
0.26672316247766126,0.18097401136346702,0.01616622900075496,0.00531510835304953,0.03238047103988371,0.007646880723481375,0.029361969453852752,0.00864817468276883,llama31_8b,1000,100,0.01616622900075496,0.00531510835304953,0.12108516831161205,0.01677915583159608,omnimath,candidate_detector__baseline_last_step,-0.42230778059519186,0.1347276096423192
