domain,cell_key,n,subset,method,n_feats,auroc,lo,hi,flipped
rag,Qwen-72B/2wikimultihopqa,198,consensus_4,upcr,4,0.479,0.3337,0.6299,False
rag,Qwen-72B/2wikimultihopqa,198,GOOD_5,lsml,5,0.5339,0.3799,0.6813,False
rag,Qwen-72B/2wikimultihopqa,198,GOOD_5,upcr,5,0.5009,0.3566,0.6458,False
rag,Qwen-72B/2wikimultihopqa,198,STABLE_H9,lsml,9,0.4437,0.3064,0.6002,False
rag,Qwen-72B/2wikimultihopqa,198,STABLE_H9,upcr,9,0.4496,0.3175,0.5986,False
rag,Qwen-72B/2wikimultihopqa,198,ALL_H16,lsml,16,0.5383,0.397,0.686,False
rag,Qwen-72B/2wikimultihopqa,198,ALL_H16,upcr,16,0.4839,0.3522,0.6269,False
rag,Qwen-72B/narrativeqa,345,consensus_4,lsml,4,0.5857,0.48,0.6938,False
rag,Qwen-72B/narrativeqa,345,consensus_4,upcr,4,0.61,0.4991,0.7128,False
rag,Qwen-72B/narrativeqa,345,GOOD_5,lsml,5,0.6031,0.5021,0.7046,False
rag,Qwen-72B/narrativeqa,345,GOOD_5,upcr,5,0.6117,0.5116,0.7128,False
rag,Qwen-72B/narrativeqa,345,STABLE_H9,lsml,9,0.6364,0.5442,0.7318,False
rag,Qwen-72B/narrativeqa,345,STABLE_H9,upcr,9,0.6521,0.5607,0.7467,False
rag,Qwen-72B/narrativeqa,345,ALL_H16,lsml,16,0.5727,0.4656,0.6871,False
rag,Qwen-72B/narrativeqa,345,ALL_H16,upcr,16,0.5951,0.4876,0.7072,False
rag,Llama-8B/hotpotqa,93,consensus_4,lsml,4,0.7548,0.6513,0.8523,False
rag,Llama-8B/hotpotqa,93,consensus_4,upcr,4,0.6266,0.5123,0.7388,False
rag,Llama-8B/hotpotqa,93,GOOD_5,lsml,5,0.7759,0.6723,0.8754,False
rag,Llama-8B/hotpotqa,93,GOOD_5,upcr,5,0.7791,0.6837,0.8697,False
rag,Llama-8B/hotpotqa,93,STABLE_H9,lsml,9,0.8103,0.7121,0.897,False
rag,Llama-8B/hotpotqa,93,STABLE_H9,upcr,9,0.8357,0.7456,0.9119,False
rag,Llama-8B/hotpotqa,93,ALL_H16,lsml,16,0.7317,0.6207,0.8361,False
