domain,cell,size,n_subsets,max,p5,p25,p50,p75,p95
math500,Qwen2.5-Math-1.5B-Instruct_T1.0,9,11440,0.8815,0.8479,0.8584,0.8645,0.8695,0.8751
math500,Qwen2.5-Math-1.5B-Instruct_T1.0,10,8008,0.8824,0.852,0.86,0.8653,0.8699,0.8747
math500,Qwen2.5-Math-1.5B-Instruct_T1.0,11,4368,0.8793,0.8546,0.8613,0.8657,0.8702,0.8744
math500,Qwen2.5-Math-1.5B-Instruct_T1.0,12,1820,0.8781,0.8569,0.8625,0.8662,0.87,0.8738
math500,Qwen2.5-Math-1.5B-Instruct_T1.0,13,560,0.8764,0.859,0.8635,0.8665,0.87,0.8734
math500,Qwen2.5-Math-1.5B-Instruct_T1.0,14,120,0.8734,0.8613,0.8646,0.8664,0.8684,0.8725
math500,Qwen2.5-Math-1.5B-Instruct_T1.0,15,16,0.872,0.8636,0.8656,0.8665,0.8674,0.8696
math500,Qwen2.5-Math-1.5B-Instruct_T1.0,16,1,0.8667,0.8667,0.8667,0.8667,0.8667,0.8667
math500,deepseek-math-7b-instruct_T1.0,3,560,0.7412,0.5616,0.6252,0.6715,0.6941,0.7167
math500,deepseek-math-7b-instruct_T1.0,4,1820,0.7445,0.5987,0.6594,0.6843,0.7027,0.7237
math500,deepseek-math-7b-instruct_T1.0,5,4368,0.7473,0.6293,0.6704,0.6912,0.7061,0.7258
math500,deepseek-math-7b-instruct_T1.0,6,8008,0.7475,0.6452,0.6777,0.6944,0.7079,0.7255
math500,deepseek-math-7b-instruct_T1.0,7,11440,0.7439,0.6524,0.6795,0.6955,0.7091,0.7249
math500,deepseek-math-7b-instruct_T1.0,8,12870,0.7396,0.6574,0.6813,0.6961,0.7097,0.7239
math500,deepseek-math-7b-instruct_T1.0,9,11440,0.7416,0.6619,0.6825,0.697,0.71,0.7229
math500,deepseek-math-7b-instruct_T1.0,10,8008,0.7394,0.6654,0.6842,0.6975,0.7103,0.7222
math500,deepseek-math-7b-instruct_T1.0,11,4368,0.7337,0.6677,0.6855,0.6982,0.71,0.7207
math500,deepseek-math-7b-instruct_T1.0,12,1820,0.7277,0.6716,0.687,0.6995,0.7093,0.719
math500,deepseek-math-7b-instruct_T1.0,13,560,0.7234,0.6718,0.6873,0.6998,0.7092,0.7169
math500,deepseek-math-7b-instruct_T1.0,14,120,0.7171,0.6765,0.6918,0.6994,0.7086,0.7158
math500,deepseek-math-7b-instruct_T1.0,15,16,0.713,0.6819,0.6945,0.6986,0.7043,0.7127
math500,deepseek-math-7b-instruct_T1.0,16,1,0.6996,0.6996,0.6996,0.6996,0.6996,0.6996
qa,spectral_phase9_cache_trivia_qa_cot_traces_T1.0,3,560,0.7141,0.4262,0.4905,0.5343,0.5867,0.6557
qa,spectral_phase9_cache_trivia_qa_cot_traces_T1.0,4,1820,0.7151,0.446,0.4987,0.5386,0.5838,0.6461
qa,spectral_phase9_cache_trivia_qa_cot_traces_T1.0,5,4368,0.715,0.46,0.5082,0.5444,0.5819,0.6353
qa,spectral_phase9_cache_trivia_qa_cot_traces_T1.0,6,8008,0.6936,0.471,0.5155,0.5485,0.5803,0.6269
qa,spectral_phase9_cache_trivia_qa_cot_traces_T1.0,7,11440,0.6847,0.4836,0.5213,0.5513,0.5816,0.6227
qa,spectral_phase9_cache_trivia_qa_cot_traces_T1.0,8,12870,0.6624,0.4912,0.5262,0.5547,0.5843,0.6181
qa,spectral_phase9_cache_trivia_qa_cot_traces_T1.0,9,11440,0.6593,0.4975,0.531,0.5595,0.5861,0.6136
qa,spectral_phase9_cache_trivia_qa_cot_traces_T1.0,10,8008,0.6397,0.5031,0.5351,0.5642,0.5874,0.6091
qa,spectral_phase9_cache_trivia_qa_cot_traces_T1.0,11,4368,0.6305,0.5063,0.5402,0.5669,0.5884,0.6043
qa,spectral_phase9_cache_trivia_qa_cot_traces_T1.0,12,1820,0.6161,0.5103,0.5449,0.57,0.5878,0.5999
qa,spectral_phase9_cache_trivia_qa_cot_traces_T1.0,13,560,0.6081,0.5149,0.5533,0.5747,0.5868,0.597
qa,spectral_phase9_cache_trivia_qa_cot_traces_T1.0,14,120,0.6015,0.519,0.5584,0.5782,0.5848,0.5935
qa,spectral_phase9_cache_trivia_qa_cot_traces_T1.0,15,16,0.5879,0.5492,0.5721,0.5798,0.5836,0.586
