world,target,arm,lambda,n,auroc_mean,auroc_se,auroc_delta_mean,auroc_delta_se,auroc_delta_one_sided_95_lower
P1-C,g,mmdufs_shared,1.0,8,0.5923186728395062,0.007923233516658447,-0.10911265432098766,0.004177991623290952,-0.11702818786271996
P1-C,g,nuisance_only,0.0,8,0.7014313271604938,0.009084316874125314,0.0,0.0,0.0
P1-C,g,nuisance_only,0.01,8,0.6987461419753086,0.009068791537081148,-0.002685185185185207,0.0001437044840187881,-0.0029574446260627017
P1-C,g,nuisance_only,0.03,8,0.6934143518518519,0.009062620129875926,-0.008016975308641969,0.00036237277524733987,-0.008703519015692667
P1-C,g,nuisance_only,0.1,8,0.6768788580246914,0.008899267418208413,-0.024552469135802474,0.000929135384166081,-0.026312789155875614
P1-C,g,nuisance_only,0.3,8,0.6410493827160495,0.008557061492150886,-0.060381944444444446,0.0021702737318483444,-0.06449369862399316
P1-C,g,nuisance_only,1.0,8,0.5841435185185184,0.007725855211002349,-0.11728780864197534,0.004136951645061235,-0.12512558871900026
P1-C,g,oracle,0.0,8,0.7014313271604938,0.009084316874125314,0.0,0.0,0.0
P1-C,g,oracle,0.01,8,0.703804012345679,0.009099071343112568,0.002372685185185172,8.421004548263289e-05,0.0022131426346801196
P1-C,g,oracle,0.03,8,0.708317901234568,0.00909753682366686,0.006886574074074087,0.00021009668368314339,0.00648852939216764
P1-C,g,oracle,0.1,8,0.723059413580247,0.009252046421799484,0.021628086419753112,0.0006170014234397251,0.02045912872359413
P1-C,g,oracle,0.3,8,0.7556983024691358,0.009164571212633813,0.054266975308641954,0.0011924836306531565,0.05200772133508643
P1-C,g,oracle,1.0,8,0.8153356481481482,0.00877195306796101,0.11390432098765431,0.0030707106838489258,0.10808661822361283
P1-C,g,permuted_consensus,0.0,8,0.7014313271604938,0.009084316874125314,0.0,0.0,0.0
P1-C,g,permuted_consensus,0.01,8,0.7014313271604938,0.009084316874125314,0.0,0.0,0.0
P1-C,g,permuted_consensus,0.03,8,0.7014313271604938,0.009084316874125314,0.0,0.0,0.0
P1-C,g,permuted_consensus,0.1,8,0.7014313271604938,0.009084316874125314,0.0,0.0,0.0
P1-C,g,permuted_consensus,0.3,8,0.7014313271604938,0.009084316874125314,0.0,0.0,0.0
P1-C,g,permuted_consensus,1.0,8,0.7014313271604938,0.009084316874125314,0.0,0.0,0.0
