world,target,arm,lambda,n,auroc_mean,auroc_se,auroc_delta_mean,auroc_delta_se,auroc_delta_one_sided_95_lower
P1-C,g,direct_g,0.03,2,0.6704320987654321,0.029938271604938338,-0.006111111111111178,6.172839506168869e-05,-0.006500848858930374
P1-C,g,direct_g,0.1,2,0.6570987654320988,0.03080246913580253,-0.019444444444444486,0.0008024691358025082,-0.02451103516609754
P1-C,g,direct_g,0.3,2,0.6240123456790123,0.03549382716049382,-0.05253086419753089,0.005493827160493792,-0.08721752375346142
P1-C,g,direct_g,1.0,2,0.5658641975308643,0.041666666666666685,-0.11067901234567906,0.011666666666666657,-0.18433944668355443
P1-C,g,g_to_a,0.0,2,0.6765432098765433,0.030000000000000023,0.0,0.0,0.0
P1-C,g,g_to_a,0.01,2,0.6765432098765433,0.030000000000000023,0.0,0.0,0.0
P1-C,g,g_to_a,0.03,2,0.6765432098765433,0.030000000000000023,0.0,0.0,0.0
P1-C,g,g_to_a,0.1,2,0.6765432098765433,0.030000000000000023,0.0,0.0,0.0
P1-C,g,g_to_a,0.3,2,0.6765432098765433,0.030000000000000023,0.0,0.0,0.0
P1-C,g,g_to_a,1.0,2,0.6765432098765433,0.030000000000000023,0.0,0.0,0.0
P1-C,g,iu,0.0,2,0.6765432098765433,0.030000000000000023,0.0,0.0,0.0
P1-C,g,iu,0.01,2,0.6765432098765433,0.030000000000000023,0.0,0.0,0.0
P1-C,g,iu,0.03,2,0.6765432098765433,0.030000000000000023,0.0,0.0,0.0
P1-C,g,iu,0.1,2,0.6765432098765433,0.030000000000000023,0.0,0.0,0.0
P1-C,g,iu,0.3,2,0.6765432098765433,0.030000000000000023,0.0,0.0,0.0
P1-C,g,iu,1.0,2,0.6765432098765433,0.030000000000000023,0.0,0.0,0.0
P1-C,g,mmdufs_shared,0.0,2,0.6765432098765433,0.030000000000000023,0.0,0.0,0.0
P1-C,g,mmdufs_shared,0.01,2,0.674567901234568,0.029876543209876538,-0.0019753086419752597,0.00012345679012348842,-0.0027547841376143528
P1-C,g,mmdufs_shared,0.03,2,0.6701234567901235,0.02999999999999997,-0.006419753086419788,5.551115123125783e-17,-0.006419753086420139
P1-C,g,mmdufs_shared,0.1,2,0.6558641975308642,0.03166666666666673,-0.020679012345679038,0.0016666666666667052,-0.03120193153680434
P1-C,g,mmdufs_shared,0.3,2,0.6217901234567902,0.035740740740740684,-0.05475308641975313,0.0057407407407406566,-0.09099869696696114
P1-C,g,mmdufs_shared,1.0,2,0.5631481481481482,0.042037037037037095,-0.11339506172839509,0.012037037037037068,-0.18939392255318738
P1-C,g,nuisance_only,0.0,2,0.6765432098765433,0.030000000000000023,0.0,0.0,0.0
P1-C,g,nuisance_only,0.01,2,0.674320987654321,0.029876543209876538,-0.0022222222222222365,0.00012345679012348842,-0.0030016977178613296
P1-C,g,nuisance_only,0.03,2,0.6693209876543209,0.029938271604938338,-0.007222222222222352,6.172839506168869e-05,-0.007611959970041548
P1-C,g,nuisance_only,0.1,2,0.6527160493827161,0.031234567901234578,-0.02382716049382716,0.001234567901234551,-0.03162191545021599
P1-C,g,nuisance_only,0.3,2,0.6151851851851852,0.0351851851851851,-0.06135802469135809,0.0051851851851850705,-0.0940959955081909
P1-C,g,nuisance_only,1.0,2,0.5509876543209877,0.03962962962962962,-0.1255555555555556,0.009629629629629599,-0.18635464421538908
P1-C,g,oracle,0.0,2,0.6765432098765433,0.030000000000000023,0.0,0.0,0.0
P1-C,g,oracle,0.01,2,0.6785185185185185,0.030370370370370322,0.001975308641975315,0.0003703703703702987,-0.0003631178449409124
P1-C,g,oracle,0.03,2,0.682962962962963,0.029629629629629613,0.006419753086419677,0.0003703703703704097,0.004081326599502749
P1-C,g,oracle,0.1,2,0.6975925925925925,0.028333333333333377,0.021049382716049336,0.0016666666666666496,0.010526463524924383
P1-C,g,oracle,0.3,2,0.7298765432098766,0.02777777777777773,0.05333333333333329,0.002222222222222292,0.03930277441183277
P1-C,g,oracle,1.0,2,0.7912962962962964,0.01956790123456792,0.11475308641975307,0.010432098765432106,0.04888740703826654
P1-C,g,permuted_consensus,0.0,2,0.6765432098765433,0.030000000000000023,0.0,0.0,0.0
P1-C,g,permuted_consensus,0.01,2,0.6765432098765433,0.030000000000000023,0.0,0.0,0.0
P1-C,g,permuted_consensus,0.03,2,0.6765432098765433,0.030000000000000023,0.0,0.0,0.0
P1-C,g,permuted_consensus,0.1,2,0.6765432098765433,0.030000000000000023,0.0,0.0,0.0
P1-C,g,permuted_consensus,0.3,2,0.6765432098765433,0.030000000000000023,0.0,0.0,0.0
P1-C,g,permuted_consensus,1.0,2,0.6765432098765433,0.030000000000000023,0.0,0.0,0.0
P1-C,g,projected_ridge,0.0,2,0.6765432098765433,0.030000000000000023,0.0,0.0,0.0
P1-C,g,projected_ridge,0.01,2,0.6764814814814816,0.030061728395061712,-6.17283950616887e-05,6.172839506168869e-05,-0.0004514661428808847
P1-C,g,projected_ridge,0.03,2,0.6760493827160494,0.030123456790123456,-0.0004938271604938982,0.00012345679012343289,-0.0012733026561326407
P1-C,g,projected_ridge,0.1,2,0.674567901234568,0.030493827160493814,-0.001975308641975315,0.0004938271604937872,-0.005093210624530636
P1-C,g,projected_ridge,0.3,2,0.6708024691358024,0.032777777777777795,-0.005740740740740824,0.002777777777777768,-0.023278939392615862
P1-C,g,projected_ridge,1.0,2,0.6630864197530864,0.03555555555555562,-0.013456790123456852,0.005555555555555591,-0.04853318742720728
P1-D,g,a_to_g,0.0,2,0.865432098765432,0.004567901234567905,0.0,0.0,0.0
