world,target,arm,lambda,n,auroc_mean,auroc_se,auroc_delta_mean,auroc_delta_se,auroc_delta_one_sided_95_lower
P1-D,g,a_to_g,0.01,2,0.865432098765432,0.004444444444444528,0.0,0.00012345679012337738,-0.000779475495638392
P1-D,g,a_to_g,0.03,2,0.8655555555555555,0.004320987654320874,0.0001234567901234329,0.00024691358024703236,-0.001435494201155104
P1-D,g,a_to_g,0.1,2,0.8649382716049383,0.0044444444444444176,-0.0004938271604938427,0.00012345679012348842,-0.0012733026561329358
P1-D,g,a_to_g,0.3,2,0.8650617283950618,0.004938271604938204,-0.00037037037037029874,0.0003703703703702987,-0.0027087968572865264
P1-D,g,a_to_g,1.0,2,0.8656172839506173,0.004382716049382673,0.00018518518518523264,0.00018518518518523264,-0.000984028058273407
P1-D,g,consensus,0.0,2,0.865432098765432,0.004567901234567905,0.0,0.0,0.0
P1-D,g,consensus,0.01,2,0.8654938271604937,0.004506172839506216,6.17283950616887e-05,6.172839506168869e-05,-0.0003280093527575073
P1-D,g,consensus,0.03,2,0.8656172839506173,0.004382716049382673,0.00018518518518523264,0.00018518518518523264,-0.000984028058273407
P1-D,g,consensus,0.1,2,0.865,0.004506172839506162,-0.00043209876543209846,6.172839506174421e-05,-0.000821836513251645
P1-D,g,consensus,0.3,2,0.8648148148148149,0.004567901234567794,-0.0006172839506172201,1.1102230246251565e-16,-0.000617283950617921
P1-D,g,consensus,1.0,2,0.8655555555555556,0.0044444444444444176,0.00012345679012348842,0.00012345679012348842,-0.0006560187055156048
P1-D,g,direct_a,0.0,2,0.865432098765432,0.004567901234567905,0.0,0.0,0.0
P1-D,g,direct_a,0.01,2,0.865432098765432,0.004444444444444528,0.0,0.00012345679012337738,-0.000779475495638392
P1-D,g,direct_a,0.03,2,0.8655555555555555,0.004320987654320874,0.0001234567901234329,0.00024691358024703236,-0.001435494201155104
P1-D,g,direct_a,0.1,2,0.8649382716049383,0.0044444444444444176,-0.0004938271604938427,0.00012345679012348842,-0.0012733026561329358
P1-D,g,direct_a,0.3,2,0.8650617283950618,0.004938271604938204,-0.00037037037037029874,0.0003703703703702987,-0.0027087968572865264
P1-D,g,direct_a,1.0,2,0.8656172839506173,0.004382716049382673,0.00018518518518523264,0.00018518518518523264,-0.000984028058273407
P1-D,g,direct_g,0.0,2,0.865432098765432,0.004567901234567905,0.0,0.0,0.0
P1-D,g,direct_g,0.01,2,0.8654938271604937,0.004506172839506216,6.17283950616887e-05,6.172839506168869e-05,-0.0003280093527575073
P1-D,g,direct_g,0.03,2,0.8656172839506173,0.004382716049382673,0.00018518518518523264,0.00018518518518523264,-0.000984028058273407
P1-D,g,direct_g,0.1,2,0.8653703703703703,0.004629629629629594,-6.17283950616887e-05,6.172839506168869e-05,-0.0004514661428808847
P1-D,g,direct_g,0.3,2,0.8651851851851853,0.004814814814814772,-0.0002469135802468658,0.00024691358024686577,-0.0018058645715243508
P1-D,g,direct_g,1.0,2,0.8653703703703703,0.004629629629629594,-6.17283950616887e-05,6.172839506168869e-05,-0.0004514661428808847
P1-D,g,g_to_a,0.0,2,0.865432098765432,0.004567901234567905,0.0,0.0,0.0
P1-D,g,g_to_a,0.01,2,0.8654938271604937,0.004506172839506216,6.17283950616887e-05,6.172839506168869e-05,-0.0003280093527575073
