world,replicate,seed,direction,k,direction_accepted,decision_agreement,stability_cka,audit_row_permutation_statistic,audit_row_permutation_p,raw_pass,decision,nuisance_veto,structural_pass,transfer_statistic,transfer_p,residual_transfer_statistic,residual_transfer_p,nuisance_cka,nuisance_p,zero_degree_count,n_components,largest_component_fraction,degree_min,degree_mean,degree_max
P1-D,6,3230006,a_to_g,7,True,True,0.9265403513942034,1.134022192122298,0.125,True,True,False,True,30.3882079821732,0.005,29.70394406188325,0.005,0.0074678119025810485,0.045,0,1,1.0,1.6868131968659608,4.181639125808171,6.581085433243836
P1-D,6,3230006,a_to_g,11,True,True,0.9265403513942034,1.134022192122298,0.125,True,True,False,True,41.050062146355394,0.005,38.27441755399602,0.005,0.005709085712548349,0.085,0,1,1.0,2.9311775655789036,6.761851453073877,9.98985864784738
P1-D,7,3230007,g_to_a,5,True,True,0.9297961537562504,1.9644786848617504,0.045,True,True,False,True,24.866647624969104,0.005,24.24834278450229,0.005,0.00067251643416799,0.42,0,1,1.0,1.1622868938979356,2.9463304967527133,4.799394864791887
P1-D,7,3230007,g_to_a,7,True,True,0.9297961537562504,1.9644786848617504,0.045,True,True,False,True,27.47538802106834,0.005,28.590095765127522,0.005,0.0012974968488448219,0.335,0,1,1.0,1.4887821153657181,4.210958451686721,6.4503576722208935
P1-D,7,3230007,g_to_a,11,True,True,0.9297961537562504,1.9644786848617504,0.045,True,True,False,True,35.73431611600123,0.005,35.774247982885804,0.005,-0.00020727911500823695,0.525,0,1,1.0,2.4341894019675205,6.710037824231161,10.50311271872266
P1-D,7,3230007,a_to_g,5,True,True,0.9266672011674395,0.14777818102640466,0.44,True,True,False,True,27.790244235195882,0.005,28.267374646367177,0.005,0.0007909149601173978,0.37,0,1,1.0,0.8716060586572884,2.949182388879212,4.457902406590276
P1-D,7,3230007,a_to_g,7,True,True,0.9266672011674395,0.14777818102640466,0.44,True,True,False,True,31.91368993413865,0.005,32.5291320220104,0.005,0.005066437181211573,0.13,0,1,1.0,1.3282546344833714,4.2008428234000075,6.336500930778993
P1-D,7,3230007,a_to_g,11,True,True,0.9266672011674395,0.14777818102640466,0.44,True,True,False,True,41.90713918528114,0.005,41.32005859219139,0.005,0.0037136033246879486,0.19,0,1,1.0,2.1880773205709296,6.727868721340845,9.4975992758227
P1-E,0,3240000,g_to_a,5,False,True,0.9270498707294124,-0.7002061976595793,0.86,False,False,True,True,-0.8581705409964466,0.83,-0.9117633245968026,0.885,0.008300527929617583,0.025,0,1,1.0,0.9186637034328826,2.919315815934591,5.261134732957221
P1-E,0,3240000,g_to_a,7,False,True,0.9270498707294124,-0.7002061976595793,0.86,False,False,True,True,-0.5267410968640475,0.765,-0.5481572951862124,0.8,0.009604068272791663,0.025,0,1,1.0,1.402130935579737,4.203660960597535,6.5578719672996515
P1-E,0,3240000,g_to_a,11,False,True,0.9270498707294124,-0.7002061976595793,0.86,False,False,False,True,-0.2992265566414837,0.68,-0.1561387654592711,0.56,0.007569359165733794,0.04,0,1,1.0,2.29442788587688,6.655999773271832,9.050586053423682
P1-E,0,3240000,a_to_g,5,False,True,0.9262699711304653,0.283687515125588,0.29,False,False,False,True,1.3424338473046662,0.05,1.4173696929583628,0.05,0.0029305857446889605,0.175,0,1,1.0,1.0280716643614944,2.9428676949562234,4.7735964764047285
P1-E,0,3240000,a_to_g,7,False,True,0.9262699711304653,0.283687515125588,0.29,False,False,False,True,1.3067137412072638,0.04,1.3403553829738997,0.05,0.001805255338307728,0.295,0,1,1.0,1.4644587068927983,4.174460678115159,6.266331999307333
P1-E,0,3240000,a_to_g,11,False,True,0.9262699711304653,0.283687515125588,0.29,False,False,False,True,1.5510591288299616,0.025,1.5840038627913147,0.02,0.0009197785295394753,0.33,0,1,1.0,2.562431597231206,6.715589075331176,9.34775868630961
P1-E,1,3240001,g_to_a,5,False,True,0.9267550222865304,0.0352545341498665,0.47,False,False,False,True,-0.5952943646904862,0.81,-0.5731250040856466,0.78,0.0007572712682856954,0.43,0,1,1.0,0.9278320412974703,2.9402788560216586,5.256619792812241
P1-E,1,3240001,g_to_a,7,False,True,0.9267550222865304,0.0352545341498665,0.47,False,False,False,True,-0.31241230338112874,0.635,-0.3805613080613191,0.675,0.0024330448759759308,0.28,0,1,1.0,1.2658413122351453,4.137255068219121,6.329990103440813
P1-E,1,3240001,g_to_a,11,False,True,0.9267550222865304,0.0352545341498665,0.47,False,False,False,True,-0.2182474115637261,0.605,-0.25958289146293323,0.645,0.0021267985696206662,0.305,0,1,1.0,2.0916901416417617,6.680202002089277,9.513080744219812
P1-E,1,3240001,a_to_g,5,False,True,0.9267543852829361,-0.5772717659720106,0.85,False,False,False,True,0.29700964574039956,0.355,0.10386956075321627,0.47,-0.0012874920999983014,0.685,0,1,1.0,1.1626237278007505,2.9128420629950913,4.649955451017493
P1-E,1,3240001,a_to_g,7,False,True,0.9267543852829361,-0.5772717659720106,0.85,False,False,False,True,0.28934815975158934,0.38,0.06122011613926664,0.455,-0.0036804941362252965,0.84,0,1,1.0,1.5921602220960653,4.1469234605410685,6.260849371190264
P1-E,1,3240001,a_to_g,11,False,True,0.9267543852829361,-0.5772717659720106,0.85,False,False,False,True,0.41445906313060193,0.29,0.31182233100888074,0.355,-0.0029266460860051494,0.79,0,1,1.0,2.281709065176472,6.648391040580491,9.248618275324542
P1-E,2,3240002,g_to_a,5,False,True,0.9263420415631427,0.6862203116859303,0.135,False,False,False,True,0.3133173376655081,0.33,0.48255568040971625,0.25,-0.001898059040106845,0.73,0,1,1.0,0.8803392492952671,2.932470568056087,4.620265264310322
P1-E,2,3240002,g_to_a,7,False,True,0.9263420415631427,0.6862203116859303,0.135,False,False,False,True,0.39983012893028963,0.255,0.6319785467526572,0.165,0.0005380799159613798,0.53,0,1,1.0,1.2478575364780105,4.172936325306827,6.176802171514257
P1-E,2,3240002,g_to_a,11,False,True,0.9263420415631427,0.6862203116859303,0.135,False,False,False,True,0.5763170086735949,0.195,0.5829840223632042,0.205,0.000838321527287216,0.51,0,1,1.0,2.430063014097555,6.661611253763752,9.834280474424009
P1-E,2,3240002,a_to_g,5,False,True,0.927655967100787,0.9353542666869461,0.06,False,False,False,True,-0.011661337384270633,0.475,-0.1290290347185464,0.59,-0.006223389633443478,0.945,0,1,1.0,0.6231692620594171,2.9226665947072523,4.661700563342578
