baseline,cell_macro_delta_auroc,endpoint,equal_family_delta_auroc,family_ci_high,family_ci_low,family_losses,family_ties,family_wins,method,n_cells,n_dataset_families
iu28_no_length,-0.01654740296434023,256,-0.01620719376582474,0.05232323232323234,-0.08189221012731174,3,0,2,local_temporal_gl_liu_max,11,5
deepconf_entropy_w64,-0.05995503087556327,256,-0.04885457436716001,-0.01971476011961053,-0.07894990321460908,4,0,1,local_dufs_gl_liu_top5,11,5
iu28_no_length,-0.020840231563656497,256,-0.006156577952345374,0.047229096978784135,-0.04573087293942911,3,0,2,local_dufs_gl_liu_top5,11,5
deepconf_entropy_w64,-0.005812400857454764,256,-0.003767378316937625,0.022775432737999608,-0.025544758932647616,3,0,2,fused_gl_liu,11,5
iu28_no_length,0.03330239845445201,256,0.03893061809787701,0.0743361112428216,0.012309853569211812,1,0,4,fused_gl_liu,11,5
deepconf_entropy_w64,-0.05327554400056817,256,-0.049613199410726,-0.023232323232323215,-0.0778554297117798,5,0,0,cusum_max,11,5
iu28_no_length,-0.014160744688661398,256,-0.0069152029959113626,0.06086271808999087,-0.06620850888547394,3,0,2,cusum_max,11,5
deepconf_entropy_w64,0.020117659247205336,256,-0.0017089586664579797,0.05725795583549596,-0.06067587316841193,3,0,2,sw_var_peak,11,5
iu28_no_length,0.059232458559112106,256,0.04098903774835666,0.10042577035621228,-0.009473715136895499,2,0,3,sw_var_peak,11,5
deepconf_entropy_w64,0.0048768244330958995,256,-0.008852664840766236,0.037650514977921656,-0.05460435371959397,3,0,2,cusum_swvar_equal,11,5
iu28_no_length,0.04399162374500267,256,0.0338453315740484,0.07563273151652856,-0.005399327669166743,2,0,3,cusum_swvar_equal,11,5
deepconf_entropy_w64,0.0028122693418992967,512,-0.011428153214726997,0.028813711830953215,-0.07650223499361426,1,0,3,global_gl_liu_no_length,7,4
iu28_no_length,0.05090730362015774,512,0.04477537214911951,0.08369219098584682,0.011616161616161635,0,0,4,global_gl_liu_no_length,7,4
deepconf_entropy_w64,0.0010459228880281993,512,-0.017140373028530873,0.0348335326953749,-0.102037037037037,1,0,3,global_gl_liu_elapsed_length,7,4
iu28_no_length,0.04914095716628664,512,0.03906315233531563,0.08211377199491697,-0.009880050505050461,1,0,3,global_gl_liu_elapsed_length,7,4
deepconf_entropy_w64,-0.08351052619812974,512,-0.07932171042336353,-0.057709131545338396,-0.10347410027043893,4,0,0,local_temporal_gl_liu_max,7,4
iu28_no_length,-0.035415491919871304,512,-0.023118185059517016,0.031691919191919216,-0.06657784743991638,3,0,1,local_temporal_gl_liu_max,7,4
deepconf_entropy_w64,-0.027816614021537883,512,-0.02711731504662343,-0.00527146464646458,-0.05539082532099185,3,0,1,local_dufs_gl_liu_top5,7,4
iu28_no_length,0.02027842025672056,512,0.029086210317223075,0.07080176767676764,-0.0010227093391103823,1,0,3,local_dufs_gl_liu_top5,7,4
deepconf_entropy_w64,0.01495445848124772,512,0.010075891911832502,0.03309952978056424,-0.012947745956899237,2,0,2,fused_gl_liu,7,4
iu28_no_length,0.06304949275950616,512,0.06627941727567901,0.08925525275639691,0.043303581794961105,0,0,4,fused_gl_liu,7,4
deepconf_entropy_w64,-0.037222207989192894,512,-0.0385879505090623,-0.01316585394171596,-0.06401004707640864,4,0,0,cusum_max,7,4
iu28_no_length,0.010872826289065551,512,0.017615574854784204,0.048421717171717144,-0.0029618019273190965,2,0,2,cusum_max,7,4
deepconf_entropy_w64,-0.020709470395811447,512,-0.028305971781520188,0.043550084175084186,-0.09440437941582103,3,0,1,sw_var_peak,7,4
iu28_no_length,0.027385563882447,512,0.027897553582326318,0.07191491060025539,-0.007862300242754777,1,0,3,sw_var_peak,7,4
deepconf_entropy_w64,0.0005998946679922068,512,-0.009197314387729048,0.060540026703819805,-0.0789346554792779,2,0,2,cusum_swvar_equal,7,4
iu28_no_length,0.04869492894625065,512,0.04700621097611746,0.0889705242075932,0.01730992225843482,0,0,4,cusum_swvar_equal,7,4
deepconf_entropy_w64,0.010441885227714175,final,0.004653136664981461,0.02013909495316001,-0.013993525964866148,2,0,3,global_gl_liu_no_length,11,5
iu28_no_length,0.02350639315954965,final,0.02915759943910041,0.05813208895812153,0.0024800643768230434,2,0,3,global_gl_liu_no_length,11,5
deepconf_entropy_w64,0.014918913715272965,final,0.009748834918735105,0.02274184836723455,-0.007642131818214182,1,0,4,global_gl_liu_elapsed_length,11,5
iu28_no_length,0.02798342164710844,final,0.034253297692854054,0.06262367332090524,0.009704771065417428,1,0,4,global_gl_liu_elapsed_length,11,5
deepconf_entropy_w64,-0.04872458330534249,final,-0.04308655900943491,-0.012280304454209735,-0.07126802729619068,4,0,1,local_temporal_gl_liu_max,11,5
iu28_no_length,-0.035660075373507016,final,-0.018582096235315954,0.025529505555750995,-0.058410397171106444,4,0,1,local_temporal_gl_liu_max,11,5
deepconf_entropy_w64,-0.038895995159606005,final,-0.033710553462472696,-0.0141573445621281,-0.05326376236281729,5,0,0,local_dufs_gl_liu_top5,11,5
iu28_no_length,-0.025831487227770532,final,-0.009206090688353746,0.027339704532152807,-0.045081682514604524,3,0,2,local_dufs_gl_liu_top5,11,5
deepconf_entropy_w64,0.004924907678631286,final,0.003497909714218128,0.006874026958310309,8.285903861874334e-05,1,0,4,fused_gl_liu,11,5
iu28_no_length,0.017989415610466762,final,0.02800237248833708,0.051735279627171914,0.0029383007972093034,1,0,4,fused_gl_liu,11,5
deepconf_entropy_w64,-0.010665750091798548,final,-0.014160191576545744,0.0145099001693493,-0.045341683893002936,2,0,3,cusum_max,11,5
iu28_no_length,0.0023987578400369277,final,0.010344271197573206,0.04017247574816084,-0.017635437091099916,2,0,3,cusum_max,11,5
deepconf_entropy_w64,0.007045382290582976,final,-0.0008211265096665921,0.03075091721815737,-0.032393170237490554,3,0,2,sw_var_peak,11,5
iu28_no_length,0.02010989022241845,final,0.02368333626445236,0.03936310847267467,0.008241313449735988,0,0,5,sw_var_peak,11,5
deepconf_entropy_w64,0.021008145819802995,final,0.01155373793946568,0.04113251652727601,-0.018025040648344648,3,0,2,cusum_swvar_equal,11,5
iu28_no_length,0.034072653751638475,final,0.036058200713584634,0.04896208495050591,0.01897303373450667,0,0,5,cusum_swvar_equal,11,5
