task,fold,roster,population,channel,readout
pb_q4,0,selected_all,all,q15_VE1,top30
pb_q4,0,selected_all,all,chosen_surprisal,top30
pb_q4,0,selected_all,all,logprob_margin,top30
pb_q4,0,selected_all,all,true_tail50,top10
pb_q4,0,selected_all,all,energy_level,top30
pb_q4,0,selected_all,all,energy_innovation,cusum_top5
pb_q4,0,selected_all,all,top15_turnover,top30
pb_q4,0,selected_all,all,top50_js,iqr
pb_q4,0,selected_all,all,dominant_freq16,cusum_top5
pb_q4,0,selected_all,all,bocpd_p0,top10
pb_q4,0,shuffle,all,q15_H1,top5
pb_q4,0,shuffle,all,q15_VE1,top5
pb_q4,0,shuffle,all,chosen_surprisal,top5
pb_q4,0,shuffle,all,logprob_margin,top5
pb_q4,0,shuffle,all,true_tail50,top5
pb_q4,0,shuffle,all,energy_level,top5
pb_q4,0,shuffle,all,energy_innovation,top5
pb_q4,0,shuffle,all,top15_turnover,top5
pb_q4,0,shuffle,all,top50_js,top5
pb_q4,0,shuffle,all,dominant_freq16,top5
pb_q4,0,shuffle,all,bocpd_p0,top5
pb_q4,0,shuffle_consensus,all,q15_H1,top30
pb_q4,0,shuffle_consensus,all,q15_VE1,top30
pb_q4,0,shuffle_consensus,all,chosen_surprisal,top30
pb_q4,0,shuffle_consensus,all,logprob_margin,top30
pb_q4,0,shuffle_consensus,all,true_tail50,top30
pb_q4,0,shuffle_consensus,all,energy_level,top30
pb_q4,0,shuffle_consensus,all,energy_innovation,top30
pb_q4,0,shuffle_consensus,all,top15_turnover,top30
pb_q4,0,shuffle_consensus,all,top50_js,top30
pb_q4,0,shuffle_consensus,all,dominant_freq16,top30
pb_q4,0,shuffle_consensus,all,bocpd_p0,top30
pb_q4,0,top30,all,q15_H1,top30
pb_q4,0,top30,all,q15_VE1,top30
pb_q4,0,top30,all,chosen_surprisal,top30
pb_q4,0,top30,all,logprob_margin,top30
pb_q4,0,top30,all,true_tail50,top30
pb_q4,0,top30,all,energy_level,top30
pb_q4,0,top30,all,energy_innovation,top30
pb_q4,0,top30,all,top15_turnover,top30
pb_q4,0,top30,all,top50_js,top30
pb_q4,0,top30,all,dominant_freq16,top30
pb_q4,0,top30,all,bocpd_p0,top30
pb_q4,0,top5,all,q15_H1,top5
pb_q4,0,top5,all,q15_VE1,top5
pb_q4,0,top5,all,chosen_surprisal,top5
pb_q4,0,top5,all,logprob_margin,top5
pb_q4,0,top5,all,true_tail50,top5
pb_q4,0,top5,all,energy_level,top5
pb_q4,0,top5,all,energy_innovation,top5
pb_q4,0,top5,all,top15_turnover,top5
pb_q4,0,top5,all,top50_js,top5
pb_q4,0,top5,all,dominant_freq16,top5
pb_q4,0,top5,all,bocpd_p0,top5
pb_q4,0,top5,errors,q15_H1,top5
pb_q4,0,top5,errors,q15_VE1,top5
pb_q4,0,top5,errors,chosen_surprisal,top5
pb_q4,0,top5,errors,logprob_margin,top5
