lane,representation,graph,tie_seed,graph_role,cells,median_raw_target_effect,exact_eligible_cells,exact_eligible_fraction,median_exact_target_effect,fraction_exact_effect_positive,fraction_exact_holm_p_le_0p05,median_exact_purity_excess,crt_eligible_cells,crt_eligible_fraction,median_crt_target_effect,fraction_crt_effect_positive,fraction_crt_holm_p_le_0p05,median_crt_purity_excess,pair_eligible_cells,pair_eligible_fraction,median_pair_target_effect,fraction_pair_effect_positive,fraction_pair_holm_p_le_0p05,median_pair_purity_excess,median_length_effect,healthy_graph_fraction,median_largest_component_fraction,median_isolated_fraction,mean_iu_auroc,mean_liu_auroc,mean_liu_delta_auroc,spearman_exact_effect_vs_liu_delta
processbench,train_residualized,radius_edge_matched_k7,211,candidate,4,0.16194791010374465,4,1.0,0.09495885492912612,1.0,1.0,0.0313517506386915,3,0.75,0.14879422056051994,1.0,1.0,0.027407002731084984,4,1.0,0.1259942216412206,1.0,1.0,0.04038911867230349,0.2390534368369518,0.0,0.8089999999999999,0.14925,0.7393293757116732,0.7396474824431765,0.00031810673150334257,-0.39999999999999997
processbench,train_residualized,radius_edge_matched_k7,307,candidate,4,0.16194791010374465,4,1.0,0.09495885492912612,1.0,1.0,0.0313517506386915,3,0.75,0.14879422056051994,1.0,1.0,0.027407002731084984,4,1.0,0.1259942216412206,1.0,1.0,0.04038911867230349,0.2390534368369518,0.0,0.8089999999999999,0.14925,0.7393293757116732,0.7396474824431765,0.00031810673150334257,-0.39999999999999997
processbench,train_residualized,adaptive_knn_mean7_k3_25,101,candidate,4,0.2146625320793982,4,1.0,0.1383172394306002,1.0,1.0,0.06939138885941903,3,0.75,0.1898306541734925,1.0,1.0,0.11258374956313522,4,1.0,0.16831161556417104,1.0,1.0,0.0888611906798144,0.3741391816301346,1.0,1.0,0.0,0.7393293757116732,0.7418828040067345,0.002553428295061333,0.7999999999999999
processbench,train_residualized,adaptive_knn_mean7_k3_25,211,candidate,4,0.2146625320793982,4,1.0,0.1383172394306002,1.0,1.0,0.06939138885941903,3,0.75,0.1898306541734925,1.0,1.0,0.11258374956313522,4,1.0,0.16831161556417104,1.0,1.0,0.0888611906798144,0.3741391816301346,1.0,1.0,0.0,0.7393293757116732,0.7418828040067345,0.002553428295061333,0.7999999999999999
processbench,train_residualized,adaptive_knn_mean7_k3_25,307,candidate,4,0.2146625320793982,4,1.0,0.1383172394306002,1.0,1.0,0.06939138885941903,3,0.75,0.1898306541734925,1.0,1.0,0.11258374956313522,4,1.0,0.16831161556417104,1.0,1.0,0.0888611906798144,0.3741391816301346,1.0,1.0,0.0,0.7393293757116732,0.7418828040067345,0.002553428295061333,0.7999999999999999
processbench,train_residualized,diffusion_edge_matched_base25_t2,101,candidate,4,0.20623171353365094,4,1.0,0.12971790522968699,1.0,1.0,0.05114872557619016,3,0.75,0.1840373590317191,1.0,1.0,0.06953106360850891,4,1.0,0.1583725766213801,1.0,1.0,0.0682468621436253,0.2636304627121198,1.0,1.0,0.0,0.7393293757116732,0.741573254615811,0.002243878904137825,0.39999999999999997
processbench,train_residualized,diffusion_edge_matched_base25_t2,211,candidate,4,0.20623171353365094,4,1.0,0.12971790522968699,1.0,1.0,0.05114872557619016,3,0.75,0.1840373590317191,1.0,1.0,0.06953106360850891,4,1.0,0.1583725766213801,1.0,1.0,0.0682468621436253,0.2636304627121198,1.0,1.0,0.0,0.7393293757116732,0.741573254615811,0.002243878904137825,0.39999999999999997
processbench,train_residualized,diffusion_edge_matched_base25_t2,307,candidate,4,0.20623171353365094,4,1.0,0.12971790522968699,1.0,1.0,0.05114872557619016,3,0.75,0.1840373590317191,1.0,1.0,0.06953106360850891,4,1.0,0.1583725766213801,1.0,1.0,0.0682468621436253,0.2636304627121198,1.0,1.0,0.0,0.7393293757116732,0.741573254615811,0.002243878904137825,0.39999999999999997
processbench,train_residualized,diffusion_edge_matched_base25_t4,101,candidate,4,0.2036299437920142,4,1.0,0.12059370914726937,1.0,1.0,0.04919148995488393,3,0.75,0.1855018485038707,1.0,1.0,0.06608141090972841,4,1.0,0.1557837377574527,1.0,1.0,0.0685413531057737,0.2376090834583137,1.0,1.0,0.0,0.7393293757116732,0.7414453484759144,0.002115972764241192,0.7999999999999999
processbench,train_residualized,diffusion_edge_matched_base25_t4,211,candidate,4,0.2036299437920142,4,1.0,0.12059370914726937,1.0,1.0,0.04919148995488393,3,0.75,0.1855018485038707,1.0,1.0,0.06608141090972841,4,1.0,0.1557837377574527,1.0,1.0,0.0685413531057737,0.2376090834583137,1.0,1.0,0.0,0.7393293757116732,0.7414453484759144,0.002115972764241192,0.7999999999999999
processbench,train_residualized,diffusion_edge_matched_base25_t4,307,candidate,4,0.2036299437920142,4,1.0,0.12059370914726937,1.0,1.0,0.04919148995488393,3,0.75,0.1855018485038707,1.0,1.0,0.06608141090972841,4,1.0,0.1557837377574527,1.0,1.0,0.0685413531057737,0.2376090834583137,1.0,1.0,0.0,0.7393293757116732,0.7414453484759144,0.002115972764241192,0.7999999999999999
