lane,representation,graph,tie_seed,cells,mean_liu_delta_auroc,median_liu_delta_auroc,ci_low,ci_high,positive_cells_fraction
processbench,train_residualized,union_knn_k7_self_safe,211,4,0.002525806537249542,0.0024578584621695043,0.0018390819109230239,0.00321253116357606,1.0
processbench,train_residualized,union_knn_k7_self_safe,307,4,0.002525806537249542,0.0024578584621695043,0.0018390819109230239,0.00321253116357606,1.0
processbench,train_residualized,radius_edge_matched_k7,101,4,0.00031810673150334257,0.0003399479184005294,-2.7346110942932933e-05,0.0006417183870524312,0.75
processbench,train_residualized,radius_edge_matched_k7,211,4,0.00031810673150334257,0.0003399479184005294,-2.7346110942932933e-05,0.0006417183870524312,0.75
processbench,train_residualized,radius_edge_matched_k7,307,4,0.00031810673150334257,0.0003399479184005294,-2.7346110942932933e-05,0.0006417183870524312,0.75
processbench,train_residualized,adaptive_knn_mean7_k3_25,101,4,0.002553428295061333,0.0025294955822430243,0.0017372299291114612,0.0033696266610112047,1.0
processbench,train_residualized,adaptive_knn_mean7_k3_25,211,4,0.002553428295061333,0.0025294955822430243,0.0017372299291114612,0.0033696266610112047,1.0
processbench,train_residualized,adaptive_knn_mean7_k3_25,307,4,0.002553428295061333,0.0025294955822430243,0.0017372299291114612,0.0033696266610112047,1.0
processbench,train_residualized,diffusion_edge_matched_base25_t2,101,4,0.002243878904137825,0.0019842525160094215,0.001258552125618484,0.003229205682657166,1.0
processbench,train_residualized,diffusion_edge_matched_base25_t2,211,4,0.002243878904137825,0.0019842525160094215,0.001258552125618484,0.003229205682657166,1.0
processbench,train_residualized,diffusion_edge_matched_base25_t2,307,4,0.002243878904137825,0.0019842525160094215,0.001258552125618484,0.003229205682657166,1.0
processbench,train_residualized,diffusion_edge_matched_base25_t4,101,4,0.002115972764241192,0.0018298901419581126,0.0011594057336238306,0.003072539794858553,1.0
processbench,train_residualized,diffusion_edge_matched_base25_t4,211,4,0.002115972764241192,0.0018298901419581126,0.0011594057336238306,0.003072539794858553,1.0
processbench,train_residualized,diffusion_edge_matched_base25_t4,307,4,0.002115972764241192,0.0018298901419581126,0.0011594057336238306,0.003072539794858553,1.0
processbench,train_residualized,deployed_union_knn_k7,101,4,0.0025269222152024817,0.0024578584621696153,0.0018413132668288479,0.0032125311635761156,1.0
processbench,train_residualized,deployed_union_knn_k7,211,4,0.0025269222152024817,0.0024578584621696153,0.0018413132668288479,0.0032125311635761156,1.0
processbench,train_residualized,deployed_union_knn_k7,307,4,0.0025269222152024817,0.0024578584621696153,0.0018413132668288479,0.0032125311635761156,1.0
processbench,train_residualized,mutual_knn_k7,101,4,0.0022252456116736152,0.002033730590811078,0.0016649448286742974,0.0028280169059587412,1.0
processbench,train_residualized,mutual_knn_k7,211,4,0.0022252456116736152,0.002033730590811078,0.0016649448286742974,0.0028280169059587412,1.0
processbench,train_residualized,mutual_knn_k7,307,4,0.0022252456116736152,0.002033730590811078,0.0016649448286742974,0.0028280169059587412,1.0
processbench,train_residualized,length_only_knn_k7,101,4,1.8553649563740615e-05,2.0715682255867396e-05,-5.283075551701377e-05,8.777602195236822e-05,0.75
processbench,train_residualized,length_only_knn_k7,211,4,2.123771932757701e-05,4.2172783980332085e-05,-5.901851433243177e-05,8.130030780345576e-05,0.75
processbench,train_residualized,length_only_knn_k7,307,4,-1.0230790509241361e-05,1.798223193083537e-05,-7.14902569350917e-05,2.5903466715104795e-05,0.75
processbench,train_residualized,permuted_self_safe_union_knn_k7,101,4,-2.6618984982601512e-05,-2.5903466715215817e-05,-4.725942051542198e-05,-6.694067717166741e-06,0.0
processbench,train_residualized,permuted_self_safe_union_knn_k7,211,4,-3.0194753913609373e-05,-1.737661333472973e-05,-5.9428907666830844e-05,-1.1686734456006764e-05,0.0
processbench,train_residualized,permuted_self_safe_union_knn_k7,307,4,3.568047505758676e-06,8.107590208750182e-06,-6.689163670989262e-05,6.948818901841847e-05,0.5
ragtruth,original,union_knn_k7_self_safe,101,1,0.002351803836093236,0.002351803836093236,nan,nan,1.0
ragtruth,original,union_knn_k7_self_safe,211,1,0.002351803836093236,0.002351803836093236,nan,nan,1.0
ragtruth,original,union_knn_k7_self_safe,307,1,0.002351803836093236,0.002351803836093236,nan,nan,1.0
ragtruth,original,radius_edge_matched_k7,101,1,0.0011669742462174781,0.0011669742462174781,nan,nan,1.0
ragtruth,original,radius_edge_matched_k7,211,1,0.0011669742462174781,0.0011669742462174781,nan,nan,1.0
ragtruth,original,radius_edge_matched_k7,307,1,0.0011669742462174781,0.0011669742462174781,nan,nan,1.0
