cell,family,domain,n,positive_rate,method_key,method,auroc,auprc,score_variance
seiclr_triviaqa_opt30b,triviaqa,QA,5000,0.4648,cm_iu_k4,cm_iu_k4,0.5600016176171696,0.5063690426390006,0.0890990431566639
semenergy_triviaqa_qwen3_8b,triviaqa,QA,4392,0.476775956284153,deployed_upcr_mixed_v2,Deployed-style U-PCR (mixed-v2),0.8130966838819187,0.7789160085372531,0.184952483248996
semenergy_triviaqa_qwen3_8b,triviaqa,QA,4392,0.476775956284153,iu_pcr,IU-PCR,0.8072191008667475,0.7708202921525599,0.19090766792748068
semenergy_triviaqa_qwen3_8b,triviaqa,QA,4392,0.476775956284153,su_pcr,SU-PCR reproduction,0.8072371806221597,0.770816033789135,0.19838780591970362
semenergy_triviaqa_qwen3_8b,triviaqa,QA,4392,0.476775956284153,sdsf,SDSF,0.7863804163414388,0.7406463508069986,0.20788471030922775
semenergy_triviaqa_qwen3_8b,triviaqa,QA,4392,0.476775956284153,dufs_liu,DUFS-LIU,0.8078932471490097,0.7722216629661144,0.1538420640943617
semenergy_triviaqa_qwen3_8b,triviaqa,QA,4392,0.476775956284153,cm_direct_selected,CM-LFF direct factor,0.6390522301274395,0.5465528277198133,8.673556320294901
semenergy_triviaqa_qwen3_8b,triviaqa,QA,4392,0.476775956284153,cm_iu_selected,CM-deflated IU-PCR,0.640389300774811,0.551480587432544,0.20811818319412406
semenergy_triviaqa_qwen3_8b,triviaqa,QA,4392,0.476775956284153,cm_dufs_selected,CM-deflated DUFS-LIU,0.6400584620320979,0.5512007213636447,0.18832263831364568
semenergy_triviaqa_qwen3_8b,triviaqa,QA,4392,0.476775956284153,pca_iu_selected,Second-order deflation control,0.8133190440921594,0.7555298668332231,0.2553535399166089
semenergy_triviaqa_qwen3_8b,triviaqa,QA,4392,0.476775956284153,permuted_cm_iu_selected,Permuted-moment control,0.8127180480846681,0.7498984339351868,0.09528149641144602
semenergy_triviaqa_qwen3_8b,triviaqa,QA,4392,0.476775956284153,cm_direct_k0,cm_direct_k0,0.7932440733730506,0.7245561171353829,8.838311440716984
semenergy_triviaqa_qwen3_8b,triviaqa,QA,4392,0.476775956284153,cm_direct_k1,cm_direct_k1,0.6559495279729144,0.5647862308248838,10.302295317140137
semenergy_triviaqa_qwen3_8b,triviaqa,QA,4392,0.476775956284153,cm_direct_k2,cm_direct_k2,0.7002386943340957,0.6019935044860749,8.678849699324598
