cell,group,weak,feature,auc_raw,auc_oriented,oracle_sign,nonmono_gain_cv,auc_dev_from_own_median,nonmono_dev_from_own_median,n_cells_for_feature
spilled_triviaqa_llama8b,QA,False,epr_energy,0.1333,0.8667,-1,-0.0833,0.1448,-0.0711,25
spilled_triviaqa_llama8b,QA,False,min_energy,0.104,0.896,-1,-0.1237,0.2019,-0.1036,25
spilled_triviaqa_llama8b,QA,False,sw_var_peak_energy,0.5573,0.5573,1,0.1407,-0.0188,0.1585,25
spilled_triviaqa_llama8b,QA,False,cusum_max_energy,0.898,0.898,1,-0.0997,0.2477,-0.082,25
spilled_triviaqa_llama8b,QA,False,mean_top1_logprob,0.8647,0.8647,1,-0.114,0.1282,-0.0974,25
spilled_triviaqa_llama8b,QA,False,logprob_margin,0.9073,0.9073,1,-0.1447,0.1761,-0.1225,24
spilled_triviaqa_llama8b,QA,False,mean_logprob_entropy,0.8727,0.8727,1,-0.1517,0.1273,-0.131,25
spilled_triviaqa_llama8b,QA,False,varentropy,0.8987,0.8987,1,0.0027,0.1522,0.0165,25
spilled_triviaqa_llama8b,QA,False,renyi_entropy_2,0.87,0.87,1,-0.127,0.1296,-0.1063,25
spilled_triviaqa_llama8b,QA,False,topk_tail_mass,0.8427,0.8427,1,-0.254,0.0771,-0.2363,25
truthfulqa_llama8b,QA,True,epr,0.6057,0.6057,1,-0.0113,-0.1374,0.011,25
truthfulqa_llama8b,QA,True,trace_length,0.3212,0.6788,-1,-0.0173,-0.0131,0.0003,20
truthfulqa_llama8b,QA,True,spectral_entropy,0.6747,0.6747,1,-0.014,0.0339,0.0023,25
truthfulqa_llama8b,QA,True,low_band_power,0.5328,0.5328,1,0.0417,-0.094,0.0581,25
truthfulqa_llama8b,QA,True,high_band_power,0.4951,0.5049,-1,0.0284,-0.0869,0.0413,25
truthfulqa_llama8b,QA,True,hl_ratio,0.4788,0.5212,-1,0.0362,-0.1045,0.0531,25
truthfulqa_llama8b,QA,True,dominant_freq,0.4597,0.5403,-1,-0.0024,-0.0658,0.0022,23
truthfulqa_llama8b,QA,True,spectral_centroid,0.4669,0.5331,-1,0.0356,-0.1061,0.0538,25
truthfulqa_llama8b,QA,True,stft_max_high_power,0.6234,0.6234,1,-0.0244,0.0626,-0.003,20
truthfulqa_llama8b,QA,True,stft_spectral_entropy,0.6047,0.6047,1,-0.0026,0.0501,-0.0031,20
truthfulqa_llama8b,QA,True,rpdi,0.4981,0.5019,-1,0.098,-0.0908,0.0931,25
truthfulqa_llama8b,QA,True,sw_var_peak,0.6478,0.6478,1,-0.0229,-0.0832,-0.0057,25
truthfulqa_llama8b,QA,True,pe_mean,0.5174,0.5174,1,0.0464,-0.0042,0.0429,25
truthfulqa_llama8b,QA,True,hurst_exponent,0.4733,0.5267,-1,0.0277,-0.0646,0.0382,25
truthfulqa_llama8b,QA,True,cusum_max,0.656,0.656,1,-0.0178,-0.0635,0.0076,25
truthfulqa_llama8b,QA,True,cusum_shift_idx,0.4955,0.5045,-1,0.0304,-0.059,0.0358,25
truthfulqa_llama8b,QA,True,epr_spilled,0.4055,0.5945,-1,-0.024,-0.1257,-0.0029,25
truthfulqa_llama8b,QA,True,sw_var_peak_spilled,0.366,0.634,-1,-0.0196,-0.0226,-0.0002,25
truthfulqa_llama8b,QA,True,cusum_max_spilled,0.3509,0.6491,-1,-0.0176,-0.0605,0.0007,25
truthfulqa_llama8b,QA,True,epr_energy,0.4071,0.5929,-1,-0.0242,-0.129,-0.012,25
truthfulqa_llama8b,QA,True,min_energy,0.3469,0.6531,-1,-0.0104,-0.041,0.0097,25
truthfulqa_llama8b,QA,True,sw_var_peak_energy,0.5864,0.5864,1,-0.0059,0.0103,0.0119,25
truthfulqa_llama8b,QA,True,cusum_max_energy,0.6494,0.6494,1,-0.0093,-0.0009,0.0084,25
truthfulqa_llama8b,QA,True,mean_top1_logprob,0.5987,0.5987,1,-0.0104,-0.1378,0.0062,25
truthfulqa_llama8b,QA,True,logprob_margin,0.5466,0.5466,1,-0.0012,-0.1846,0.0209,24
truthfulqa_llama8b,QA,True,mean_logprob_entropy,0.6067,0.6067,1,-0.0105,-0.1387,0.0102,25
truthfulqa_llama8b,QA,True,varentropy,0.6104,0.6104,1,-0.0092,-0.1361,0.0046,25
truthfulqa_llama8b,QA,True,renyi_entropy_2,0.6019,0.6019,1,-0.0186,-0.1385,0.0021,25
truthfulqa_llama8b,QA,True,topk_tail_mass,0.6196,0.6196,1,-0.0212,-0.146,-0.0035,25
ars_gsm8k_r1distill8b,math,True,epr,0.6906,0.6906,1,-0.0454,-0.0525,-0.0231,25
ars_gsm8k_r1distill8b,math,True,trace_length,0.3178,0.6822,-1,-0.0311,-0.0097,-0.0135,20
ars_gsm8k_r1distill8b,math,True,spectral_entropy,0.6675,0.6675,1,-0.0345,0.0267,-0.0182,25
ars_gsm8k_r1distill8b,math,True,low_band_power,0.5755,0.5755,1,-0.0413,-0.0513,-0.0249,25
ars_gsm8k_r1distill8b,math,True,high_band_power,0.4558,0.5442,-1,-0.0177,-0.0476,-0.0048,25
ars_gsm8k_r1distill8b,math,True,hl_ratio,0.4276,0.5724,-1,-0.0358,-0.0533,-0.0189,25
ars_gsm8k_r1distill8b,math,True,dominant_freq,0.3949,0.6051,-1,-0.0387,-0.001,-0.0341,23
ars_gsm8k_r1distill8b,math,True,spectral_centroid,0.4054,0.5946,-1,-0.0683,-0.0446,-0.0501,25
ars_gsm8k_r1distill8b,math,True,stft_max_high_power,0.5968,0.5968,1,-0.0803,0.036,-0.0588,20
ars_gsm8k_r1distill8b,math,True,stft_spectral_entropy,0.5252,0.5252,1,0.0336,-0.0294,0.0331,20
ars_gsm8k_r1distill8b,math,True,rpdi,0.5948,0.5948,1,-0.0648,0.0021,-0.0697,25
ars_gsm8k_r1distill8b,math,True,sw_var_peak,0.6898,0.6898,1,-0.0195,-0.0412,-0.0023,25
ars_gsm8k_r1distill8b,math,True,pe_mean,0.4889,0.5111,-1,0.1082,-0.0105,0.1047,25
ars_gsm8k_r1distill8b,math,True,hurst_exponent,0.4594,0.5406,-1,-0.0102,-0.0507,0.0003,25
ars_gsm8k_r1distill8b,math,True,cusum_max,0.6965,0.6965,1,-0.0216,-0.023,0.0038,25
ars_gsm8k_r1distill8b,math,True,cusum_shift_idx,0.5002,0.5002,1,0.0372,-0.0633,0.0426,25
ars_gsm8k_r1distill8b,math,True,epr_spilled,0.3077,0.6923,-1,-0.0356,-0.0279,-0.0145,25
ars_gsm8k_r1distill8b,math,True,sw_var_peak_spilled,0.3261,0.6739,-1,-0.0261,0.0173,-0.0067,25
ars_gsm8k_r1distill8b,math,True,cusum_max_spilled,0.3075,0.6925,-1,-0.0354,-0.0171,-0.0171,25
ars_gsm8k_r1distill8b,math,True,min_spilled,0.516,0.516,1,nan,-0.1134,nan,11
ars_gsm8k_r1distill8b,math,True,epr_energy,0.3007,0.6993,-1,-0.0316,-0.0226,-0.0194,25
ars_gsm8k_r1distill8b,math,True,min_energy,0.367,0.633,-1,-0.0223,-0.0611,-0.0022,25
ars_gsm8k_r1distill8b,math,True,sw_var_peak_energy,0.6156,0.6156,1,-0.036,0.0395,-0.0182,25
ars_gsm8k_r1distill8b,math,True,cusum_max_energy,0.5495,0.5495,1,-0.0343,-0.1008,-0.0166,25
ars_gsm8k_r1distill8b,math,True,mean_top1_logprob,0.6923,0.6923,1,-0.0356,-0.0442,-0.019,25
ars_gsm8k_r1distill8b,math,True,logprob_margin,0.667,0.667,1,-0.0602,-0.0642,-0.0381,24
ars_gsm8k_r1distill8b,math,True,mean_logprob_entropy,0.6927,0.6927,1,-0.045,-0.0527,-0.0243,25
ars_gsm8k_r1distill8b,math,True,varentropy,0.7018,0.7018,1,-0.0163,-0.0447,-0.0025,25
ars_gsm8k_r1distill8b,math,True,renyi_entropy_2,0.6897,0.6897,1,-0.0416,-0.0507,-0.0209,25
ars_gsm8k_r1distill8b,math,True,topk_tail_mass,0.7198,0.7198,1,-0.0222,-0.0458,-0.0045,25
internalstates_gsm8k_qwen25_7b,math,True,epr,0.6311,0.6311,1,-0.0385,-0.112,-0.0162,25
internalstates_gsm8k_qwen25_7b,math,True,trace_length,0.2926,0.7074,-1,-0.0301,0.0155,-0.0125,20
internalstates_gsm8k_qwen25_7b,math,True,spectral_entropy,0.6743,0.6743,1,-0.0282,0.0335,-0.0119,25
internalstates_gsm8k_qwen25_7b,math,True,low_band_power,0.6393,0.6393,1,-0.0617,0.0125,-0.0453,25
internalstates_gsm8k_qwen25_7b,math,True,high_band_power,0.4121,0.5879,-1,-0.0167,-0.0039,-0.0038,25
internalstates_gsm8k_qwen25_7b,math,True,hl_ratio,0.3743,0.6257,-1,-0.0542,0.0,-0.0373,25
internalstates_gsm8k_qwen25_7b,math,True,dominant_freq,0.405,0.595,-1,-0.0675,-0.0111,-0.0629,23
internalstates_gsm8k_qwen25_7b,math,True,spectral_centroid,0.3705,0.6295,-1,-0.0565,-0.0097,-0.0383,25
internalstates_gsm8k_qwen25_7b,math,True,stft_max_high_power,0.5322,0.5322,1,0.0096,-0.0286,0.0311,20
internalstates_gsm8k_qwen25_7b,math,True,stft_spectral_entropy,0.473,0.527,-1,0.0133,-0.0276,0.0128,20
internalstates_gsm8k_qwen25_7b,math,True,rpdi,0.5097,0.5097,1,0.0378,-0.083,0.0329,25
internalstates_gsm8k_qwen25_7b,math,True,sw_var_peak,0.6913,0.6913,1,-0.0377,-0.0397,-0.0205,25
internalstates_gsm8k_qwen25_7b,math,True,pe_mean,0.5105,0.5105,1,0.0035,-0.0111,0.0,25
internalstates_gsm8k_qwen25_7b,math,True,hurst_exponent,0.4087,0.5913,-1,-0.0612,0.0,-0.0507,25
internalstates_gsm8k_qwen25_7b,math,True,cusum_max,0.6809,0.6809,1,-0.0646,-0.0386,-0.0392,25
internalstates_gsm8k_qwen25_7b,math,True,cusum_shift_idx,0.4934,0.5066,-1,0.0067,-0.0569,0.0121,25
internalstates_gsm8k_qwen25_7b,math,True,epr_spilled,0.362,0.638,-1,-0.0511,-0.0822,-0.03,25
internalstates_gsm8k_qwen25_7b,math,True,sw_var_peak_spilled,0.3434,0.6566,-1,-0.049,0.0,-0.0296,25
internalstates_gsm8k_qwen25_7b,math,True,cusum_max_spilled,0.3133,0.6867,-1,-0.0513,-0.0229,-0.033,25
internalstates_gsm8k_qwen25_7b,math,True,epr_energy,0.2539,0.7461,-1,-0.0293,0.0242,-0.0171,25
internalstates_gsm8k_qwen25_7b,math,True,min_energy,0.3854,0.6146,-1,-0.0622,-0.0795,-0.0421,25
internalstates_gsm8k_qwen25_7b,math,True,sw_var_peak_energy,0.5368,0.5368,1,-0.0068,-0.0393,0.011,25
internalstates_gsm8k_qwen25_7b,math,True,cusum_max_energy,0.654,0.654,1,-0.0473,0.0037,-0.0296,25
internalstates_gsm8k_qwen25_7b,math,True,mean_top1_logprob,0.6243,0.6243,1,-0.0244,-0.1122,-0.0078,25
internalstates_gsm8k_qwen25_7b,math,True,logprob_margin,0.698,0.698,1,-0.0531,-0.0333,-0.031,24
internalstates_gsm8k_qwen25_7b,math,True,mean_logprob_entropy,0.6317,0.6317,1,-0.0352,-0.1137,-0.0145,25
internalstates_gsm8k_qwen25_7b,math,True,varentropy,0.6511,0.6511,1,-0.0435,-0.0954,-0.0297,25
internalstates_gsm8k_qwen25_7b,math,True,renyi_entropy_2,0.6252,0.6252,1,-0.0379,-0.1152,-0.0172,25
internalstates_gsm8k_qwen25_7b,math,True,topk_tail_mass,0.6846,0.6846,1,-0.0399,-0.081,-0.0222,25
lapeigvals_gsm8k_llama3b,math,True,epr,0.7077,0.7077,1,-0.0251,-0.0354,-0.0028,25
lapeigvals_gsm8k_llama3b,math,True,trace_length,0.3842,0.6158,-1,-0.0175,-0.0761,0.0001,20
lapeigvals_gsm8k_llama3b,math,True,spectral_entropy,0.5561,0.5561,1,-0.0028,-0.0847,0.0135,25
lapeigvals_gsm8k_llama3b,math,True,low_band_power,0.6259,0.6259,1,-0.0321,-0.0009,-0.0157,25
lapeigvals_gsm8k_llama3b,math,True,high_band_power,0.4082,0.5918,-1,-0.0549,0.0,-0.042,25
lapeigvals_gsm8k_llama3b,math,True,hl_ratio,0.3817,0.6183,-1,-0.0399,-0.0074,-0.023,25
lapeigvals_gsm8k_llama3b,math,True,dominant_freq,0.4224,0.5776,-1,-0.0369,-0.0285,-0.0323,23
lapeigvals_gsm8k_llama3b,math,True,spectral_centroid,0.3824,0.6176,-1,-0.0182,-0.0216,0.0,25
lapeigvals_gsm8k_llama3b,math,True,stft_max_high_power,0.5317,0.5317,1,-0.0202,-0.0291,0.0013,20
lapeigvals_gsm8k_llama3b,math,True,stft_spectral_entropy,0.4846,0.5154,-1,0.0163,-0.0393,0.0158,20
lapeigvals_gsm8k_llama3b,math,True,rpdi,0.5881,0.5881,1,-0.0334,-0.0046,-0.0383,25
lapeigvals_gsm8k_llama3b,math,True,sw_var_peak,0.6796,0.6796,1,-0.0159,-0.0514,0.0013,25
lapeigvals_gsm8k_llama3b,math,True,pe_mean,0.4652,0.5348,-1,0.0266,0.0132,0.0231,25
lapeigvals_gsm8k_llama3b,math,True,hurst_exponent,0.4295,0.5705,-1,-0.0188,-0.0208,-0.0083,25
lapeigvals_gsm8k_llama3b,math,True,cusum_max,0.6443,0.6443,1,-0.0447,-0.0752,-0.0193,25
lapeigvals_gsm8k_llama3b,math,True,cusum_shift_idx,0.4124,0.5876,-1,-0.0234,0.0241,-0.018,25
lapeigvals_gsm8k_llama3b,math,True,epr_spilled,0.3103,0.6897,-1,-0.0109,-0.0305,0.0102,25
lapeigvals_gsm8k_llama3b,math,True,sw_var_peak_spilled,0.367,0.633,-1,-0.0305,-0.0236,-0.0111,25
lapeigvals_gsm8k_llama3b,math,True,cusum_max_spilled,0.3565,0.6435,-1,-0.0162,-0.0661,0.0021,25
lapeigvals_gsm8k_llama3b,math,True,min_spilled,0.3706,0.6294,-1,-0.0169,0.0,-0.0046,11
lapeigvals_gsm8k_llama3b,math,True,epr_energy,0.292,0.708,-1,-0.0045,-0.0139,0.0077,25
lapeigvals_gsm8k_llama3b,math,True,min_energy,0.4739,0.5261,-1,0.0813,-0.168,0.1014,25
lapeigvals_gsm8k_llama3b,math,True,sw_var_peak_energy,0.4239,0.5761,-1,-0.0262,0.0,-0.0084,25
lapeigvals_gsm8k_llama3b,math,True,cusum_max_energy,0.6358,0.6358,1,-0.0214,-0.0145,-0.0037,25
lapeigvals_gsm8k_llama3b,math,True,mean_top1_logprob,0.7024,0.7024,1,-0.0112,-0.0341,0.0054,25
lapeigvals_gsm8k_llama3b,math,True,logprob_margin,0.7079,0.7079,1,-0.0183,-0.0233,0.0038,24
lapeigvals_gsm8k_llama3b,math,True,mean_logprob_entropy,0.7081,0.7081,1,-0.0223,-0.0373,-0.0016,25
lapeigvals_gsm8k_llama3b,math,True,varentropy,0.7107,0.7107,1,-0.0134,-0.0358,0.0004,25
lapeigvals_gsm8k_llama3b,math,True,renyi_entropy_2,0.705,0.705,1,-0.0217,-0.0354,-0.001,25
lapeigvals_gsm8k_llama3b,math,True,topk_tail_mass,0.6976,0.6976,1,-0.0131,-0.068,0.0046,25
lapeigvals_gsm8k_llama8b,math,False,epr,0.7844,0.7844,1,-0.0424,0.0413,-0.0201,25
lapeigvals_gsm8k_llama8b,math,False,trace_length,0.2663,0.7337,-1,-0.0447,0.0418,-0.0271,20
lapeigvals_gsm8k_llama8b,math,False,spectral_entropy,0.5952,0.5952,1,-0.0543,-0.0456,-0.038,25
lapeigvals_gsm8k_llama8b,math,False,low_band_power,0.7504,0.7504,1,-0.0288,0.1236,-0.0124,25
lapeigvals_gsm8k_llama8b,math,False,high_band_power,0.2829,0.7171,-1,-0.0254,0.1253,-0.0125,25
lapeigvals_gsm8k_llama8b,math,False,hl_ratio,0.2456,0.7544,-1,-0.0213,0.1287,-0.0044,25
lapeigvals_gsm8k_llama8b,math,False,dominant_freq,0.3205,0.6795,-1,-0.0298,0.0734,-0.0252,23
lapeigvals_gsm8k_llama8b,math,False,spectral_centroid,0.2378,0.7622,-1,-0.0272,0.123,-0.009,25
lapeigvals_gsm8k_llama8b,math,False,stft_max_high_power,0.5046,0.5046,1,0.03,-0.0562,0.0514,20
lapeigvals_gsm8k_llama8b,math,False,stft_spectral_entropy,0.3472,0.6528,-1,-0.0437,0.0982,-0.0442,20
lapeigvals_gsm8k_llama8b,math,False,rpdi,0.718,0.718,1,-0.0523,0.1253,-0.0572,25
lapeigvals_gsm8k_llama8b,math,False,sw_var_peak,0.7934,0.7934,1,-0.0172,0.0624,0.0,25
lapeigvals_gsm8k_llama8b,math,False,pe_mean,0.4502,0.5498,-1,-0.0183,0.0282,-0.0218,25
lapeigvals_gsm8k_llama8b,math,False,hurst_exponent,0.3196,0.6804,-1,-0.0388,0.0891,-0.0283,25
lapeigvals_gsm8k_llama8b,math,False,cusum_max,0.7606,0.7606,1,-0.0318,0.0411,-0.0064,25
lapeigvals_gsm8k_llama8b,math,False,cusum_shift_idx,0.4666,0.5334,-1,-0.0054,-0.0301,0.0,25
lapeigvals_gsm8k_llama8b,math,False,epr_spilled,0.2232,0.7768,-1,-0.0622,0.0566,-0.0411,25
lapeigvals_gsm8k_llama8b,math,False,sw_var_peak_spilled,0.2839,0.7161,-1,-0.0264,0.0595,-0.007,25
lapeigvals_gsm8k_llama8b,math,False,cusum_max_spilled,0.2239,0.7761,-1,-0.0339,0.0665,-0.0156,25
lapeigvals_gsm8k_llama8b,math,False,epr_energy,0.1957,0.8043,-1,-0.0028,0.0824,0.0094,25
lapeigvals_gsm8k_llama8b,math,False,min_energy,0.2012,0.7988,-1,-0.0218,0.1047,-0.0017,25
lapeigvals_gsm8k_llama8b,math,False,sw_var_peak_energy,0.4288,0.5712,-1,-0.0402,-0.0049,-0.0224,25
lapeigvals_gsm8k_llama8b,math,False,cusum_max_energy,0.7654,0.7654,1,-0.0292,0.1151,-0.0115,25
lapeigvals_gsm8k_llama8b,math,False,mean_top1_logprob,0.7777,0.7777,1,-0.0244,0.0412,-0.0078,25
lapeigvals_gsm8k_llama8b,math,False,logprob_margin,0.7749,0.7749,1,-0.0414,0.0437,-0.0192,24
lapeigvals_gsm8k_llama8b,math,False,mean_logprob_entropy,0.7858,0.7858,1,-0.0468,0.0404,-0.0261,25
lapeigvals_gsm8k_llama8b,math,False,varentropy,0.8012,0.8012,1,-0.0512,0.0547,-0.0374,25
lapeigvals_gsm8k_llama8b,math,False,renyi_entropy_2,0.7802,0.7802,1,-0.0596,0.0398,-0.0389,25
lapeigvals_gsm8k_llama8b,math,False,topk_tail_mass,0.803,0.803,1,-0.038,0.0374,-0.0203,25
lapeigvals_gsm8k_mistral24b,math,False,epr,0.8473,0.8473,1,-0.0257,0.1042,-0.0034,25
lapeigvals_gsm8k_mistral24b,math,False,trace_length,0.2902,0.7098,-1,-0.0406,0.0179,-0.023,20
lapeigvals_gsm8k_mistral24b,math,False,spectral_entropy,0.4808,0.5192,-1,0.0428,-0.1216,0.0591,25
lapeigvals_gsm8k_mistral24b,math,False,low_band_power,0.7532,0.7532,1,-0.038,0.1264,-0.0216,25
lapeigvals_gsm8k_mistral24b,math,False,high_band_power,0.2403,0.7597,-1,-0.0201,0.1679,-0.0072,25
lapeigvals_gsm8k_mistral24b,math,False,hl_ratio,0.2306,0.7694,-1,-0.0391,0.1437,-0.0222,25
lapeigvals_gsm8k_mistral24b,math,False,dominant_freq,0.3016,0.6984,-1,0.004,0.0923,0.0086,23
lapeigvals_gsm8k_mistral24b,math,False,spectral_centroid,0.2147,0.7853,-1,-0.0387,0.1461,-0.0205,25
lapeigvals_gsm8k_mistral24b,math,False,stft_max_high_power,0.6572,0.6572,1,-0.0295,0.0964,-0.008,20
lapeigvals_gsm8k_mistral24b,math,False,stft_spectral_entropy,0.5264,0.5264,1,0.0014,-0.0282,0.0009,20
lapeigvals_gsm8k_mistral24b,math,False,rpdi,0.6795,0.6795,1,-0.001,0.0868,-0.0059,25
lapeigvals_gsm8k_mistral24b,math,False,sw_var_peak,0.8471,0.8471,1,-0.028,0.1161,-0.0108,25
lapeigvals_gsm8k_mistral24b,math,False,pe_mean,0.4617,0.5383,-1,-0.0179,0.0167,-0.0214,25
lapeigvals_gsm8k_mistral24b,math,False,hurst_exponent,0.2722,0.7278,-1,-0.0467,0.1365,-0.0362,25
lapeigvals_gsm8k_mistral24b,math,False,cusum_max,0.8139,0.8139,1,-0.0194,0.0944,0.006,25
lapeigvals_gsm8k_mistral24b,math,False,cusum_shift_idx,0.3407,0.6593,-1,-0.015,0.0958,-0.0096,25
lapeigvals_gsm8k_mistral24b,math,False,epr_spilled,0.1676,0.8324,-1,-0.0225,0.1122,-0.0014,25
lapeigvals_gsm8k_mistral24b,math,False,sw_var_peak_spilled,0.2074,0.7926,-1,-0.0309,0.136,-0.0115,25
lapeigvals_gsm8k_mistral24b,math,False,cusum_max_spilled,0.1982,0.8018,-1,-0.0232,0.0922,-0.0049,25
lapeigvals_gsm8k_mistral24b,math,False,min_spilled,0.3026,0.6974,-1,-0.0553,0.068,-0.0431,11
lapeigvals_gsm8k_mistral24b,math,False,epr_energy,0.1908,0.8092,-1,-0.0161,0.0873,-0.0039,25
lapeigvals_gsm8k_mistral24b,math,False,min_energy,0.2076,0.7924,-1,-0.0298,0.0983,-0.0097,25
lapeigvals_gsm8k_mistral24b,math,False,sw_var_peak_energy,0.6708,0.6708,1,-0.008,0.0947,0.0098,25
lapeigvals_gsm8k_mistral24b,math,False,cusum_max_energy,0.798,0.798,1,-0.0224,0.1477,-0.0047,25
lapeigvals_gsm8k_mistral24b,math,False,mean_top1_logprob,0.8412,0.8412,1,-0.0249,0.1047,-0.0083,25
lapeigvals_gsm8k_mistral24b,math,False,logprob_margin,0.8302,0.8302,1,-0.0385,0.099,-0.0163,24
lapeigvals_gsm8k_mistral24b,math,False,mean_logprob_entropy,0.8479,0.8479,1,-0.025,0.1025,-0.0043,25
lapeigvals_gsm8k_mistral24b,math,False,varentropy,0.8548,0.8548,1,-0.0304,0.1083,-0.0166,25
lapeigvals_gsm8k_mistral24b,math,False,renyi_entropy_2,0.8428,0.8428,1,-0.0301,0.1024,-0.0094,25
lapeigvals_gsm8k_mistral24b,math,False,topk_tail_mass,0.8525,0.8525,1,-0.0343,0.0869,-0.0166,25
lapeigvals_gsm8k_nemo,math,False,epr,0.7656,0.7656,1,-0.0251,0.0225,-0.0028,25
lapeigvals_gsm8k_nemo,math,False,trace_length,0.318,0.682,-1,-0.0434,-0.0099,-0.0258,20
lapeigvals_gsm8k_nemo,math,False,spectral_entropy,0.6508,0.6508,1,-0.0346,0.01,-0.0183,25
lapeigvals_gsm8k_nemo,math,False,low_band_power,0.6417,0.6417,1,-0.0148,0.0149,0.0016,25
lapeigvals_gsm8k_nemo,math,False,high_band_power,0.3779,0.6221,-1,-0.0183,0.0303,-0.0054,25
lapeigvals_gsm8k_nemo,math,False,hl_ratio,0.3488,0.6512,-1,-0.0182,0.0255,-0.0013,25
lapeigvals_gsm8k_nemo,math,False,dominant_freq,0.4289,0.5711,-1,-0.003,-0.035,0.0016,23
lapeigvals_gsm8k_nemo,math,False,spectral_centroid,0.3432,0.6568,-1,-0.0345,0.0176,-0.0163,25
lapeigvals_gsm8k_nemo,math,False,stft_max_high_power,0.5598,0.5598,1,-0.0271,-0.001,-0.0056,20
lapeigvals_gsm8k_nemo,math,False,stft_spectral_entropy,0.5426,0.5426,1,-0.0373,-0.0121,-0.0378,20
lapeigvals_gsm8k_nemo,math,False,rpdi,0.5927,0.5927,1,-0.0358,0.0,-0.0407,25
lapeigvals_gsm8k_nemo,math,False,sw_var_peak,0.7701,0.7701,1,-0.0154,0.0391,0.0018,25
lapeigvals_gsm8k_nemo,math,False,pe_mean,0.4816,0.5184,-1,-0.0163,-0.0032,-0.0198,25
lapeigvals_gsm8k_nemo,math,False,hurst_exponent,0.4517,0.5483,-1,-0.0038,-0.043,0.0067,25
lapeigvals_gsm8k_nemo,math,False,cusum_max,0.6903,0.6903,1,-0.027,-0.0292,-0.0016,25
lapeigvals_gsm8k_nemo,math,False,cusum_shift_idx,0.3745,0.6255,-1,-0.0189,0.062,-0.0135,25
lapeigvals_gsm8k_nemo,math,False,epr_spilled,0.2528,0.7472,-1,-0.0174,0.027,0.0037,25
lapeigvals_gsm8k_nemo,math,False,sw_var_peak_spilled,0.3084,0.6916,-1,-0.0174,0.035,0.002,25
lapeigvals_gsm8k_nemo,math,False,cusum_max_spilled,0.3071,0.6929,-1,-0.0266,-0.0167,-0.0083,25
lapeigvals_gsm8k_nemo,math,False,epr_energy,0.2261,0.7739,-1,-0.0198,0.052,-0.0076,25
lapeigvals_gsm8k_nemo,math,False,min_energy,0.2574,0.7426,-1,-0.0242,0.0485,-0.0041,25
lapeigvals_gsm8k_nemo,math,False,sw_var_peak_energy,0.5904,0.5904,1,-0.0377,0.0143,-0.0199,25
lapeigvals_gsm8k_nemo,math,False,cusum_max_energy,0.6689,0.6689,1,-0.0198,0.0186,-0.0021,25
lapeigvals_gsm8k_nemo,math,False,mean_top1_logprob,0.7588,0.7588,1,-0.0209,0.0223,-0.0043,25
lapeigvals_gsm8k_nemo,math,False,logprob_margin,0.7547,0.7547,1,-0.0161,0.0235,0.006,24
lapeigvals_gsm8k_nemo,math,False,mean_logprob_entropy,0.7668,0.7668,1,-0.0276,0.0214,-0.0069,25
lapeigvals_gsm8k_nemo,math,False,varentropy,0.7809,0.7809,1,-0.026,0.0344,-0.0122,25
lapeigvals_gsm8k_nemo,math,False,renyi_entropy_2,0.7619,0.7619,1,-0.0304,0.0215,-0.0097,25
lapeigvals_gsm8k_nemo,math,False,topk_tail_mass,0.7889,0.7889,1,-0.0177,0.0233,0.0,25
lapeigvals_gsm8k_phi35,math,False,epr,0.7702,0.7702,1,-0.018,0.0271,0.0043,25
lapeigvals_gsm8k_phi35,math,False,trace_length,0.2931,0.7069,-1,-0.0254,0.015,-0.0078,20
lapeigvals_gsm8k_phi35,math,False,spectral_entropy,0.6483,0.6483,1,-0.0357,0.0075,-0.0194,25
lapeigvals_gsm8k_phi35,math,False,low_band_power,0.6713,0.6713,1,-0.0318,0.0445,-0.0154,25
lapeigvals_gsm8k_phi35,math,False,high_band_power,0.3969,0.6031,-1,-0.0258,0.0113,-0.0129,25
lapeigvals_gsm8k_phi35,math,False,hl_ratio,0.3473,0.6527,-1,-0.0291,0.027,-0.0122,25
lapeigvals_gsm8k_phi35,math,False,dominant_freq,0.3854,0.6146,-1,-0.0187,0.0085,-0.0141,23
lapeigvals_gsm8k_phi35,math,False,spectral_centroid,0.3214,0.6786,-1,-0.0101,0.0394,0.0081,25
lapeigvals_gsm8k_phi35,math,False,stft_max_high_power,0.5618,0.5618,1,-0.0526,0.001,-0.0312,20
lapeigvals_gsm8k_phi35,math,False,stft_spectral_entropy,0.4753,0.5247,-1,0.0405,-0.0299,0.04,20
lapeigvals_gsm8k_phi35,math,False,rpdi,0.5218,0.5218,1,0.0652,-0.0709,0.0603,25
lapeigvals_gsm8k_phi35,math,False,sw_var_peak,0.7752,0.7752,1,-0.0069,0.0442,0.0103,25
lapeigvals_gsm8k_phi35,math,False,pe_mean,0.5065,0.5065,1,0.0441,-0.0151,0.0406,25
lapeigvals_gsm8k_phi35,math,False,hurst_exponent,0.3721,0.6279,-1,-0.0088,0.0366,0.0017,25
lapeigvals_gsm8k_phi35,math,False,cusum_max,0.7566,0.7566,1,-0.0254,0.0371,0.0,25
lapeigvals_gsm8k_phi35,math,False,cusum_shift_idx,0.3963,0.6037,-1,-0.016,0.0402,-0.0106,25
lapeigvals_gsm8k_phi35,math,False,epr_spilled,0.2409,0.7591,-1,-0.0211,0.0389,0.0,25
