abstentions,access_tier,base_candidate,calibration_f1,candidate,clean_abstention,coverage,detector_auprc,detector_auroc,exact_error,f1,family,fidelity,late_location_rate,locator,mean_absolute_step_error,model,n,primary,requested_n,task,threshold,within_one
,A,max_entropy,0.3669450743957077,max_entropy__persistent_q90_3,0.6486486486486487,,0.783549751645261,0.71996996996997,0.21296296296296297,0.32065059541097873,math,transparent_same_trace_baseline,0.19444444444444445,persistent_q90_3,1.4444444444444444,llama31_8b,182,0.32065059541097873,,local,2.3884522914886475,0.4166666666666667
,A,max_entropy,0.3263051860085449,max_entropy__step_top5mean,0.3918918918918919,,0.783549751645261,0.71996996996997,0.2777777777777778,0.3251121076233184,math,transparent_same_trace_baseline,0.37962962962962965,step_top5mean,1.5462962962962963,llama31_8b,182,0.3251121076233184,,local,2.2522815465927124,0.5555555555555556
,A,mind_the_gap,0.2801418439716312,mind_the_gap,0.47297297297297297,,0.7527796127635287,0.6973223223223224,0.24074074074074073,0.3190743338008415,math,protocol_reproduction,,paper_evidence_drop,,llama31_8b,182,0.3190743338008415,,local,0.5727063065130882,0.42592592592592593
0,B,qwen_prm,,qwen_prm,0.9459459459459459,1.0,,,0.7129629629629629,0.8130939809926082,math,exact_local_competitor_run,,native_prediction,,llama31_8b,182,0.8130939809926082,182,local,,0.8240740740740741
0,B,qwen72b_critic,,qwen72b_critic,0.9054054054054054,1.0,,,0.46296296296296297,0.6126554498902707,math,critic_protocol_different_model,,native_prediction,,llama31_8b,182,0.6126554498902707,182,local,,0.5740740740740741
0,B,qwen3_judge_control,,qwen3_judge_control,0.5405405405405406,1.0,,,0.05555555555555555,0.10075566750629722,math,exact_local_competitor_run,,native_prediction,,llama31_8b,182,0.10075566750629722,182,local,,0.12962962962962962
,A,,0.3427065026362039,finalist_global_detector_local_locator,0.6296296296296297,,0.8029957940304239,0.7545454545454545,0.2,0.3035714285714286,olympiadbench,,,,,llama31_8b,191,0.3035714285714286,,local,-0.14391943876361052,0.4090909090909091
,A,gl_liu_v1_replay,0.29870871085110934,gl_liu_v1_replay,0.6172839506172839,,0.7900051254221867,0.7414141414141414,0.18181818181818182,0.2808988764044944,olympiadbench,registered_incumbent_replay,,peak,,llama31_8b,191,0.2808988764044944,,local,-0.34781605336263477,0.38181818181818183
,A,step272_twohead,0.29310846176214017,step272_twohead,0.43209876543209874,,0.8199199856356629,0.7718294051627385,0.20909090909090908,0.28181340801680377,olympiadbench,registered_incumbent_replay,,peak,,llama31_8b,191,0.28181340801680377,,local,-0.488048783176805,0.45454545454545453
,A,max_entropy,0.28982450854861797,max_entropy__peak,0.5308641975308642,,0.7952190537967712,0.7382716049382717,0.18181818181818182,0.27086614173228346,olympiadbench,transparent_same_trace_baseline,0.43636363636363634,peak,2.1363636363636362,llama31_8b,191,0.27086614173228346,,local,2.4528136253356934,0.4
,A,max_entropy,0.2448580656127826,max_entropy__persistent_q90_3,0.41975308641975306,,0.7952190537967712,0.7382716049382717,0.19090909090909092,0.26245175519206027,olympiadbench,transparent_same_trace_baseline,0.11818181818181818,persistent_q90_3,2.1272727272727274,llama31_8b,191,0.26245175519206027,,local,2.4322471618652344,0.4
