cell,feature,hand_sign,derived_sign,rho,match
lapeigvals_gsm8k_nemo,renyi_entropy_2,-1,-1,0.18318300782120098,1
lapeigvals_gsm8k_nemo,topk_tail_mass,-1,-1,0.2006715669995961,1
lapeigvals_gsm8k_phi35,epr,-1,-1,0.24583649258954418,1
lapeigvals_gsm8k_phi35,trace_length,1,-1,0.16802727011557483,0
lapeigvals_gsm8k_phi35,spectral_entropy,-1,-1,0.053580706061361505,1
lapeigvals_gsm8k_phi35,low_band_power,-1,-1,0.1067571723455583,1
lapeigvals_gsm8k_phi35,high_band_power,-1,1,-0.04250285336677856,0
lapeigvals_gsm8k_phi35,hl_ratio,-1,1,-0.0684191952929579,0
lapeigvals_gsm8k_phi35,dominant_freq,-1,1,-0.027746388651026146,0
lapeigvals_gsm8k_phi35,spectral_centroid,-1,1,-0.1450707670088202,0
lapeigvals_gsm8k_phi35,stft_max_high_power,-1,-1,0.10783118753123667,1
lapeigvals_gsm8k_phi35,stft_spectral_entropy,-1,1,-0.016386023005323415,0
lapeigvals_gsm8k_phi35,rpdi,-1,-1,0.0744598974184378,1
lapeigvals_gsm8k_phi35,sw_var_peak,-1,-1,0.23274385576879436,1
lapeigvals_gsm8k_phi35,pe_mean,-1,-1,0.019882929151560293,1
lapeigvals_gsm8k_phi35,hurst_exponent,1,-1,0.08003863879926787,0
lapeigvals_gsm8k_phi35,cusum_max,-1,-1,0.24217785159084973,1
lapeigvals_gsm8k_phi35,cusum_shift_idx,1,-1,0.08259824027729257,0
lapeigvals_gsm8k_phi35,epr_spilled,1,-1,0.247902563335235,0
lapeigvals_gsm8k_phi35,sw_var_peak_spilled,1,-1,0.1630112671061223,0
lapeigvals_gsm8k_phi35,cusum_max_spilled,1,-1,0.24951590782939073,0
lapeigvals_gsm8k_phi35,epr_energy,-1,-1,0.035741724753586494,1
lapeigvals_gsm8k_phi35,min_energy,-1,1,-0.03492932287872155,0
lapeigvals_gsm8k_phi35,sw_var_peak_energy,-1,1,-0.04634712321681991,0
lapeigvals_gsm8k_phi35,cusum_max_energy,-1,-1,0.04685368619413806,1
lapeigvals_gsm8k_phi35,mean_top1_logprob,1,1,-0.3025811846027169,1
lapeigvals_gsm8k_phi35,logprob_margin,1,1,-0.2405366486560671,1
lapeigvals_gsm8k_phi35,mean_logprob_entropy,-1,-1,0.2504847521896585,1
lapeigvals_gsm8k_phi35,varentropy,-1,-1,0.25183017187478574,1
lapeigvals_gsm8k_phi35,renyi_entropy_2,-1,-1,0.24757643505903598,1
lapeigvals_gsm8k_phi35,topk_tail_mass,-1,-1,0.255320462019915,1
losnet_hotpotqa_mistral7b,epr,-1,-1,0.17663325085158058,1
losnet_hotpotqa_mistral7b,trace_length,1,-1,0.16872521573664026,0
losnet_hotpotqa_mistral7b,spectral_entropy,-1,-1,0.15460749971461868,1
losnet_hotpotqa_mistral7b,low_band_power,-1,-1,0.04088428953367833,1
losnet_hotpotqa_mistral7b,high_band_power,-1,1,-0.033644355332031986,0
losnet_hotpotqa_mistral7b,hl_ratio,-1,1,-0.06674760680100178,0
losnet_hotpotqa_mistral7b,dominant_freq,-1,1,-0.06549199970673308,0
losnet_hotpotqa_mistral7b,spectral_centroid,-1,1,-0.08994839132076748,0
losnet_hotpotqa_mistral7b,stft_max_high_power,-1,-1,0.08373791221275324,1
losnet_hotpotqa_mistral7b,stft_spectral_entropy,-1,1,-0.02621080133137296,0
losnet_hotpotqa_mistral7b,rpdi,-1,-1,0.00983320543815944,1
losnet_hotpotqa_mistral7b,sw_var_peak,-1,-1,0.1837745065775012,1
losnet_hotpotqa_mistral7b,pe_mean,-1,1,-0.00256642073629083,0
losnet_hotpotqa_mistral7b,hurst_exponent,1,-1,0.08666716099825614,0
losnet_hotpotqa_mistral7b,cusum_max,-1,-1,0.18327882111556532,1
losnet_hotpotqa_mistral7b,cusum_shift_idx,1,1,-0.002022602139043827,1
losnet_hotpotqa_mistral7b,epr_spilled,1,-1,0.18064243425934334,0
losnet_hotpotqa_mistral7b,sw_var_peak_spilled,1,-1,0.14601444143248288,0
losnet_hotpotqa_mistral7b,cusum_max_spilled,1,-1,0.18761792533925464,0
losnet_hotpotqa_mistral7b,epr_energy,-1,1,-0.19849383903692086,0
losnet_hotpotqa_mistral7b,min_energy,-1,1,-0.0936765665149013,0
losnet_hotpotqa_mistral7b,sw_var_peak_energy,-1,-1,0.045211152838410394,1
losnet_hotpotqa_mistral7b,cusum_max_energy,-1,-1,0.1192964732067643,1
losnet_hotpotqa_mistral7b,mean_top1_logprob,1,1,-0.24571377589387436,1
losnet_hotpotqa_mistral7b,logprob_margin,1,1,-0.17763838193040862,1
