version,domain,random_partition,equal_group_delta_pp,beats_iu,matches_or_beats_family_nrm
atomic-nrm-retrospective-controls-v1-2026-08-13,processbench_qwen,12,-1.3857139959061375,False,False
atomic-nrm-retrospective-controls-v1-2026-08-13,processbench_qwen,13,-0.5844720086539092,False,False
atomic-nrm-retrospective-controls-v1-2026-08-13,processbench_qwen,14,-0.6510322846914953,False,False
atomic-nrm-retrospective-controls-v1-2026-08-13,processbench_qwen,15,0.0509935184612037,True,False
atomic-nrm-retrospective-controls-v1-2026-08-13,processbench_qwen,16,0.47295518492479066,True,False
atomic-nrm-retrospective-controls-v1-2026-08-13,processbench_qwen,17,0.3754029316043392,True,False
atomic-nrm-retrospective-controls-v1-2026-08-13,processbench_qwen,18,0.5755181072866017,True,True
atomic-nrm-retrospective-controls-v1-2026-08-13,processbench_qwen,19,-0.4774715647426611,False,False
atomic-nrm-retrospective-controls-v1-2026-08-13,processbench_qwen,20,-0.5340998146641254,False,False
atomic-nrm-retrospective-controls-v1-2026-08-13,processbench_qwen,21,-1.5369490287443597,False,False
atomic-nrm-retrospective-controls-v1-2026-08-13,processbench_qwen,22,0.5807417994194,True,True
atomic-nrm-retrospective-controls-v1-2026-08-13,processbench_qwen,23,-0.46369589406626416,False,False
atomic-nrm-retrospective-controls-v1-2026-08-13,processbench_qwen,24,0.9633996942009047,True,True
atomic-nrm-retrospective-controls-v1-2026-08-13,processbench_qwen,25,-0.9018772723761823,False,False
atomic-nrm-retrospective-controls-v1-2026-08-13,processbench_qwen,26,-0.7400108795683036,False,False
atomic-nrm-retrospective-controls-v1-2026-08-13,processbench_qwen,27,0.6182918122724992,True,True
atomic-nrm-retrospective-controls-v1-2026-08-13,processbench_qwen,28,0.38574453744725234,True,False
atomic-nrm-retrospective-controls-v1-2026-08-13,processbench_qwen,29,-0.4973765167341243,False,False
atomic-nrm-retrospective-controls-v1-2026-08-13,processbench_qwen,30,-0.19275894458652965,False,False
atomic-nrm-retrospective-controls-v1-2026-08-13,processbench_qwen,31,-0.870373306629682,False,False
atomic-nrm-retrospective-controls-v1-2026-08-13,processbench_qwen,32,0.7869441815794118,True,True
atomic-nrm-retrospective-controls-v1-2026-08-13,processbench_qwen,33,0.0323334724855448,True,False
atomic-nrm-retrospective-controls-v1-2026-08-13,processbench_qwen,34,0.34615368167243005,True,False
