test_set,test_set_code,measurement,measurement_code,learned_weight,guessed_weight
CoQA / Llama-7B,inside_coqa_llama7b,Self-similarity of the trace,hurst_exponent,-0.5157445148296511,0.3120019105415705
CoQA / Llama-7B,inside_coqa_llama7b,Size of the biggest shift,cusum_max,0.3108054095396269,-0.11913406179231474
CoQA / Llama-7B,inside_coqa_llama7b,Where the biggest shift happens,cusum_shift_idx,0.47154401870555657,-0.26749790760161735
CoQA / Llama-7B,inside_coqa_llama7b,Average surprise per token,epr_spilled,-0.3530657924045247,-0.2310351354476443
CoQA / Llama-7B,inside_coqa_llama7b,Burstiest stretch (surprise),sw_var_peak_spilled,-0.10873039293783883,-0.2665362154563747
CoQA / Llama-7B,inside_coqa_llama7b,Size of biggest shift (surprise),cusum_max_spilled,0.1802743832152915,0.10741722850664745
CoQA / Llama-7B,inside_coqa_llama7b,Average vocabulary spread,epr_energy,-0.3865692346484488,-0.19244129756205644
CoQA / Llama-7B,inside_coqa_llama7b,Narrowest vocabulary moment,min_energy,-0.178770455605539,0.036666845921877154
CoQA / Llama-7B,inside_coqa_llama7b,Burstiest stretch (vocabulary spread),sw_var_peak_energy,0.30661820991156763,-0.036666845921877154
CoQA / Llama-7B,inside_coqa_llama7b,Size of biggest shift (vocabulary spread),cusum_max_energy,-0.13389068182763206,-0.11400050869081683
CoQA / Llama-7B,inside_coqa_llama7b,Confidence in the chosen word,mean_top1_logprob,0.276756964471495,0.23401719273127722
CoQA / Llama-7B,inside_coqa_llama7b,Spread across candidate words,mean_logprob_entropy,0.4197518003233878,0.23480462991933046
CoQA / Llama-7B,inside_coqa_llama7b,Variability of surprise,varentropy,0.5357419764577355,0.22977199832704134
CoQA / Llama-7B,inside_coqa_llama7b,Concentration of candidate words,renyi_entropy_2,0.40094986917328884,0.23451807832074065
CoQA / Llama-7B,inside_coqa_llama7b,Probability outside the top few words,topk_tail_mass,0.18953163635294945,0.16389766667493338
GSM8K / Qwen2.5-7B,internalstates_gsm8k_qwen25_7b,Average uncertainty per token,epr,-0.20367171996032346,-0.1889154703345046
GSM8K / Qwen2.5-7B,internalstates_gsm8k_qwen25_7b,Answer length,trace_length,-0.31902950578504435,0.1759465663082858
GSM8K / Qwen2.5-7B,internalstates_gsm8k_qwen25_7b,How flat the uncertainty rhythm is,spectral_entropy,0.2940176297352771,-0.1614875658983796
GSM8K / Qwen2.5-7B,internalstates_gsm8k_qwen25_7b,Slow drifts in uncertainty,low_band_power,0.26003063480374944,-0.20354370908507888
GSM8K / Qwen2.5-7B,internalstates_gsm8k_qwen25_7b,Fast jitter in uncertainty,high_band_power,0.12409766904097004,0.2476455676658031
GSM8K / Qwen2.5-7B,internalstates_gsm8k_qwen25_7b,Jitter-to-drift ratio,hl_ratio,-0.3640280136543396,0.24685534590900676
GSM8K / Qwen2.5-7B,internalstates_gsm8k_qwen25_7b,Speed of the strongest rhythm,dominant_freq,0.19361402796827912,0.13492038508087506
GSM8K / Qwen2.5-7B,internalstates_gsm8k_qwen25_7b,Average rhythm speed,spectral_centroid,0.4692393184676225,0.20377919424540564
GSM8K / Qwen2.5-7B,internalstates_gsm8k_qwen25_7b,Strongest local burst of jitter,stft_max_high_power,-0.16295076208671688,0.022780074564635582
GSM8K / Qwen2.5-7B,internalstates_gsm8k_qwen25_7b,Local rhythm flatness,stft_spectral_entropy,0.10580000384447848,0.17197542610573013
GSM8K / Qwen2.5-7B,internalstates_gsm8k_qwen25_7b,Late-answer uncertainty drift,rpdi,-0.027761889123794334,-0.123359650525639
GSM8K / Qwen2.5-7B,internalstates_gsm8k_qwen25_7b,Burstiest stretch of the answer,sw_var_peak,0.1257342625649025,-0.24993372573200445
GSM8K / Qwen2.5-7B,internalstates_gsm8k_qwen25_7b,Ordinal pattern complexity,pe_mean,0.035825288543523244,0.010192954407964595
GSM8K / Qwen2.5-7B,internalstates_gsm8k_qwen25_7b,Self-similarity of the trace,hurst_exponent,-0.5753098898216066,0.18503661492800605
GSM8K / Qwen2.5-7B,internalstates_gsm8k_qwen25_7b,Size of the biggest shift,cusum_max,-0.47970720862902505,-0.266016007040025
GSM8K / Qwen2.5-7B,internalstates_gsm8k_qwen25_7b,Where the biggest shift happens,cusum_shift_idx,0.16024143733458202,0.123359650525639
GSM8K / Qwen2.5-7B,internalstates_gsm8k_qwen25_7b,Average surprise per token,epr_spilled,-0.45075619082635626,0.18181922151509106
GSM8K / Qwen2.5-7B,internalstates_gsm8k_qwen25_7b,Burstiest stretch (surprise),sw_var_peak_spilled,0.09199025650036799,0.18762561132963487
GSM8K / Qwen2.5-7B,internalstates_gsm8k_qwen25_7b,Size of biggest shift (surprise),cusum_max_spilled,-0.10316453919977903,0.27073054316596706
GSM8K / Qwen2.5-7B,internalstates_gsm8k_qwen25_7b,Average vocabulary spread,epr_energy,-0.4814816587503235,0.13505142567140246
GSM8K / Qwen2.5-7B,internalstates_gsm8k_qwen25_7b,Narrowest vocabulary moment,min_energy,0.1204416405525295,0.13995565888818293
GSM8K / Qwen2.5-7B,internalstates_gsm8k_qwen25_7b,Burstiest stretch (vocabulary spread),sw_var_peak_energy,0.011859099269852059,-0.13995565888818293
GSM8K / Qwen2.5-7B,internalstates_gsm8k_qwen25_7b,Size of biggest shift (vocabulary spread),cusum_max_energy,0.14618831696634668,-0.13772810813599162
GSM8K / Qwen2.5-7B,internalstates_gsm8k_qwen25_7b,Confidence in the chosen word,mean_top1_logprob,-0.16096041991410337,-0.18715630010051162
GSM8K / Qwen2.5-7B,internalstates_gsm8k_qwen25_7b,Lead of first choice over second,logprob_margin,0.9476275584740519,-0.16952226035897217
GSM8K / Qwen2.5-7B,internalstates_gsm8k_qwen25_7b,Spread across candidate words,mean_logprob_entropy,-0.25979686168385524,-0.18880168690836252
GSM8K / Qwen2.5-7B,internalstates_gsm8k_qwen25_7b,Variability of surprise,varentropy,-0.5302563001749666,-0.1872914959575825
GSM8K / Qwen2.5-7B,internalstates_gsm8k_qwen25_7b,Concentration of candidate words,renyi_entropy_2,-0.22694491604836095,-0.18803707275947987
GSM8K / Qwen2.5-7B,internalstates_gsm8k_qwen25_7b,Probability outside the top few words,topk_tail_mass,0.747093590816139,-0.26069039826189283
GSM8K / Llama-3B,lapeigvals_gsm8k_llama3b,Average uncertainty per token,epr,0.07386629409200263,0.18075708479006636
GSM8K / Llama-3B,lapeigvals_gsm8k_llama3b,Answer length,trace_length,0.0283637769969251,-0.1471374843512551
GSM8K / Llama-3B,lapeigvals_gsm8k_llama3b,How flat the uncertainty rhythm is,spectral_entropy,0.16259331438681798,0.1471374843512551
GSM8K / Llama-3B,lapeigvals_gsm8k_llama3b,Slow drifts in uncertainty,low_band_power,0.10743140024440082,0.18824015113438772
GSM8K / Llama-3B,lapeigvals_gsm8k_llama3b,Fast jitter in uncertainty,high_band_power,-0.11881082145463488,-0.23111738589938277
GSM8K / Llama-3B,lapeigvals_gsm8k_llama3b,Jitter-to-drift ratio,hl_ratio,0.2850547492925819,-0.2346449902031421
GSM8K / Llama-3B,lapeigvals_gsm8k_llama3b,Speed of the strongest rhythm,dominant_freq,-0.06190755684224563,-0.15180330060259112
GSM8K / Llama-3B,lapeigvals_gsm8k_llama3b,Average rhythm speed,spectral_centroid,0.06396570571264912,-0.22520889965044233
GSM8K / Llama-3B,lapeigvals_gsm8k_llama3b,Strongest local burst of jitter,stft_max_high_power,-0.06400863695181667,-0.07972716759168645
GSM8K / Llama-3B,lapeigvals_gsm8k_llama3b,Local rhythm flatness,stft_spectral_entropy,-0.14192725439381698,-0.1864730562336288
GSM8K / Llama-3B,lapeigvals_gsm8k_llama3b,Late-answer uncertainty drift,rpdi,0.2167175893408191,0.16977918024315913
GSM8K / Llama-3B,lapeigvals_gsm8k_llama3b,Burstiest stretch of the answer,sw_var_peak,0.06065410921972793,0.1580344937800965
GSM8K / Llama-3B,lapeigvals_gsm8k_llama3b,Ordinal pattern complexity,pe_mean,-0.024040872211558057,-0.01912797563806266
GSM8K / Llama-3B,lapeigvals_gsm8k_llama3b,Self-similarity of the trace,hurst_exponent,-0.12295409996459856,-0.19658120863668682
GSM8K / Llama-3B,lapeigvals_gsm8k_llama3b,Size of the biggest shift,cusum_max,0.2399778488421447,0.29051884587132976
GSM8K / Llama-3B,lapeigvals_gsm8k_llama3b,Where the biggest shift happens,cusum_shift_idx,-0.08605205578862704,-0.0011148166788220275
GSM8K / Llama-3B,lapeigvals_gsm8k_llama3b,Average surprise per token,epr_spilled,0.19675702913310933,-0.1790476906016232
GSM8K / Llama-3B,lapeigvals_gsm8k_llama3b,Burstiest stretch (surprise),sw_var_peak_spilled,0.038770880967473054,-0.12350761376917371
GSM8K / Llama-3B,lapeigvals_gsm8k_llama3b,Size of biggest shift (surprise),cusum_max_spilled,0.32281359505489415,-0.2905959274937476
GSM8K / Llama-3B,lapeigvals_gsm8k_llama3b,Most confident single token,min_spilled,-0.052525343506724866,-0.06657067596645258
GSM8K / Llama-3B,lapeigvals_gsm8k_llama3b,Average vocabulary spread,epr_energy,-0.5486355915176012,-0.17106277919908872
GSM8K / Llama-3B,lapeigvals_gsm8k_llama3b,Narrowest vocabulary moment,min_energy,0.8375271127833603,-0.19219659599580122
GSM8K / Llama-3B,lapeigvals_gsm8k_llama3b,Burstiest stretch (vocabulary spread),sw_var_peak_energy,0.14231656080316984,0.1429230856888524
GSM8K / Llama-3B,lapeigvals_gsm8k_llama3b,Size of biggest shift (vocabulary spread),cusum_max_energy,0.44757109595492267,0.28367416259818595
GSM8K / Llama-3B,lapeigvals_gsm8k_llama3b,Confidence in the chosen word,mean_top1_logprob,-0.2473267551177686,0.17977082629114177
GSM8K / Llama-3B,lapeigvals_gsm8k_llama3b,Lead of first choice over second,logprob_margin,0.519988536597482,0.16367441025801258
GSM8K / Llama-3B,lapeigvals_gsm8k_llama3b,Spread across candidate words,mean_logprob_entropy,0.13827430957950415,0.18079600429566367
