cell,family,domain,method,arm,phase,selector,variant,n,n_pool,n_selected,n_kept,auroc,random_mean_auroc,delta_vs_matched_random_pp,random_percentile,random_repeats_completed,orientation_failure,selector_fallback,fit_residual,decomposition_converged,theorem_support_ok,nnz_pairs,sparse_fraction,mean_abs_spearman,max_abs_spearman,effective_rank,effective_rank_fraction
spilled_triviaqa_llama8b,triviaqa,QA,su_pcr,dufs_native,native,dufs,a2.dufs_pf,256,25,18,18,0.9239999999999999,0.9295833333333333,-0.5583333333333385,28.125,32,False,False,0.10456552812511354,True,True,0,0.0,0.719262275395175,0.9987590123598076,3.1148760640067445,0.17304867022259693
spilled_triviaqa_llama8b,triviaqa,QA,deployed_upcr,groupfs_native,native,groupfs,a2.select,256,25,25,22,0.9299999999999999,0.9299999999999999,0.0,50.0,32,False,False,0.06811509841243907,,,,,0.565580861325287,0.9987590123598076,5.57401247472703,0.22296049898908119
spilled_triviaqa_llama8b,triviaqa,QA,iu_pcr,groupfs_native,native,groupfs,a2.select,256,25,25,25,0.932,0.932,0.0,50.0,32,False,False,0.10277086296764727,,,,,0.565580861325287,0.9987590123598076,5.57401247472703,0.22296049898908119
spilled_triviaqa_llama8b,triviaqa,QA,su_pcr,groupfs_native,native,groupfs,a2.select,256,25,25,25,0.932,0.932,0.0,50.0,32,False,False,0.10475578389740661,True,True,0,0.0,0.565580861325287,0.9987590123598076,5.57401247472703,0.22296049898908119
spilled_triviaqa_llama8b,triviaqa,QA,deployed_upcr,lapscore_native,native,lapscore,lapscore_adapt,256,25,6,6,0.8813333333333333,0.8924583333333332,-1.112499999999994,32.8125,32,False,False,0.023774145423298094,,,,,0.970693570229648,0.9987590123598076,1.1695093438839121,0.19491822398065203
spilled_triviaqa_llama8b,triviaqa,QA,iu_pcr,lapscore_native,native,lapscore,lapscore_adapt,256,25,6,6,0.8786666666666667,0.889625,-1.0958333333333292,31.25,32,False,False,0.023774145423298094,,,,,0.970693570229648,0.9987590123598076,1.1695093438839121,0.19491822398065203
spilled_triviaqa_llama8b,triviaqa,QA,su_pcr,lapscore_native,native,lapscore,lapscore_adapt,256,25,6,6,0.8786666666666667,0.8594791666666666,1.9187500000000135,53.125,32,False,False,0.02381109860980214,True,True,0,0.0,0.970693570229648,0.9987590123598076,1.1695093438839121,0.19491822398065203
spilled_triviaqa_llama8b,triviaqa,QA,deployed_upcr,spec_native,native,spec,spec_adapt,256,25,6,6,0.8813333333333333,0.8924583333333332,-1.112499999999994,32.8125,32,False,False,0.023774145423298094,,,,,0.970693570229648,0.9987590123598076,1.1695093438839121,0.19491822398065203
spilled_triviaqa_llama8b,triviaqa,QA,iu_pcr,spec_native,native,spec,spec_adapt,256,25,6,6,0.8786666666666667,0.889625,-1.0958333333333292,31.25,32,False,False,0.023774145423298094,,,,,0.970693570229648,0.9987590123598076,1.1695093438839121,0.19491822398065203
spilled_triviaqa_llama8b,triviaqa,QA,su_pcr,spec_native,native,spec,spec_adapt,256,25,6,6,0.8786666666666667,0.8594791666666666,1.9187500000000135,53.125,32,False,False,0.02381109860980214,True,True,0,0.0,0.970693570229648,0.9987590123598076,1.1695093438839121,0.19491822398065203
