arm,feature,selected_cells,available_cells,selection_rate_over_all_cells
dpp_k6,cusum_max_energy,3,24,0.125
dpp_k6,cusum_max_spilled,1,24,0.041666666666666664
dpp_k6,dominant_freq,13,21,0.5416666666666666
dpp_k6,epr,1,24,0.041666666666666664
dpp_k6,epr_energy,4,24,0.16666666666666666
dpp_k6,epr_spilled,2,24,0.08333333333333333
dpp_k6,high_band_power,11,23,0.4583333333333333
dpp_k6,hl_ratio,8,23,0.3333333333333333
dpp_k6,hurst_exponent,10,23,0.4166666666666667
dpp_k6,logprob_margin,3,24,0.125
dpp_k6,mean_logprob_entropy,2,24,0.08333333333333333
dpp_k6,min_energy,2,24,0.08333333333333333
dpp_k6,min_spilled,11,12,0.4583333333333333
dpp_k6,spectral_centroid,3,23,0.125
dpp_k6,spectral_entropy,11,23,0.4583333333333333
dpp_k6,stft_max_high_power,14,18,0.5833333333333334
dpp_k6,sw_var_peak,1,24,0.041666666666666664
dpp_k6,sw_var_peak_energy,20,24,0.8333333333333334
dpp_k6,sw_var_peak_spilled,10,24,0.4166666666666667
dpp_k6,topk_tail_mass,7,24,0.2916666666666667
dpp_k6,trace_length,2,21,0.08333333333333333
dpp_k6,varentropy,3,24,0.125
decorr_k6,cusum_max_energy,4,24,0.16666666666666666
decorr_k6,cusum_max_spilled,3,24,0.125
decorr_k6,dominant_freq,8,21,0.3333333333333333
decorr_k6,epr_energy,8,24,0.3333333333333333
decorr_k6,epr_spilled,2,24,0.08333333333333333
decorr_k6,high_band_power,13,23,0.5416666666666666
decorr_k6,hl_ratio,2,23,0.08333333333333333
decorr_k6,hurst_exponent,13,23,0.5416666666666666
decorr_k6,logprob_margin,9,24,0.375
decorr_k6,low_band_power,5,23,0.20833333333333334
decorr_k6,mean_logprob_entropy,1,24,0.041666666666666664
decorr_k6,min_energy,8,24,0.3333333333333333
decorr_k6,min_spilled,6,12,0.25
decorr_k6,spectral_centroid,2,23,0.08333333333333333
decorr_k6,spectral_entropy,14,23,0.5833333333333334
decorr_k6,stft_max_high_power,16,18,0.6666666666666666
decorr_k6,sw_var_peak,1,24,0.041666666666666664
decorr_k6,sw_var_peak_energy,17,24,0.7083333333333334
decorr_k6,sw_var_peak_spilled,8,24,0.3333333333333333
decorr_k6,topk_tail_mass,1,24,0.041666666666666664
decorr_k6,trace_length,2,21,0.08333333333333333
decorr_k6,varentropy,1,24,0.041666666666666664
upcrres_native,cusum_max_energy,1,24,0.041666666666666664
upcrres_native,cusum_max_spilled,2,24,0.08333333333333333
upcrres_native,dominant_freq,2,21,0.08333333333333333
upcrres_native,epr,15,24,0.625
upcrres_native,epr_spilled,5,24,0.20833333333333334
upcrres_native,hl_ratio,2,23,0.08333333333333333
upcrres_native,hurst_exponent,1,23,0.041666666666666664
upcrres_native,logprob_margin,1,24,0.041666666666666664
upcrres_native,low_band_power,1,23,0.041666666666666664
upcrres_native,mean_logprob_entropy,14,24,0.5833333333333334
upcrres_native,mean_top1_logprob,14,24,0.5833333333333334
upcrres_native,min_energy,1,24,0.041666666666666664
upcrres_native,min_spilled,2,12,0.08333333333333333
upcrres_native,renyi_entropy_2,17,24,0.7083333333333334
upcrres_native,spectral_centroid,2,23,0.08333333333333333
upcrres_native,spectral_entropy,1,23,0.041666666666666664
upcrres_native,stft_max_high_power,1,18,0.041666666666666664
upcrres_native,sw_var_peak,2,24,0.08333333333333333
upcrres_native,sw_var_peak_energy,2,24,0.08333333333333333
upcrres_native,sw_var_peak_spilled,1,24,0.041666666666666664
upcrres_native,topk_tail_mass,2,24,0.08333333333333333
upcrres_native,varentropy,2,24,0.08333333333333333
