version,cell,family,contribution_family,budget,prior_strength,n_splits,mean_delta,std_delta,positive_fraction,mean_delta_norm,mean_cosine_to_cell_mean
harp-contribution-subspace-poc-v1-2026-08-12,lapeigvals_gsm8k_llama3b,gsm8k,entropy_level,all,0.3,30,0.06562901669705655,0.0112399719205905,1.0,0.1595088513815555,0.9770814712227323
harp-contribution-subspace-poc-v1-2026-08-12,lapeigvals_gsm8k_llama3b,gsm8k,entropy_dynamics,all,0.3,30,-0.04017268017639026,0.012480499612482914,0.0,0.1595088513815555,0.9770814712227323
harp-contribution-subspace-poc-v1-2026-08-12,lapeigvals_gsm8k_llama3b,gsm8k,sampled_token_energy,all,0.3,30,-0.015409545098639186,0.01675393959874439,0.16666666666666666,0.1595088513815555,0.9770814712227323
harp-contribution-subspace-poc-v1-2026-08-12,lapeigvals_gsm8k_llama3b,gsm8k,partition_energy,all,0.3,30,-0.10897606619924237,0.02352981287039874,0.0,0.1595088513815555,0.9770814712227323
harp-contribution-subspace-poc-v1-2026-08-12,lapeigvals_gsm8k_llama3b,gsm8k,topk_distribution,all,0.3,30,0.0761517944818645,0.011429246334412082,1.0,0.1595088513815555,0.9770814712227323
harp-contribution-subspace-poc-v1-2026-08-12,lapeigvals_gsm8k_llama3b,gsm8k,structural,all,0.3,30,0.04012142465901868,0.016284517124284876,1.0,0.1595088513815555,0.9770814712227323
harp-contribution-subspace-poc-v1-2026-08-12,lapeigvals_gsm8k_llama8b,gsm8k,entropy_level,all,0.3,30,-0.0035305378945976345,0.01503373527337418,0.43333333333333335,0.12814444686233908,0.9221335410744026
harp-contribution-subspace-poc-v1-2026-08-12,lapeigvals_gsm8k_llama8b,gsm8k,entropy_dynamics,all,0.3,30,0.012788455872397417,0.021401903024891273,0.7,0.12814444686233908,0.9221335410744026
harp-contribution-subspace-poc-v1-2026-08-12,lapeigvals_gsm8k_llama8b,gsm8k,sampled_token_energy,all,0.3,30,-0.09700392797440589,0.03792024773297645,0.0,0.12814444686233908,0.9221335410744026
harp-contribution-subspace-poc-v1-2026-08-12,lapeigvals_gsm8k_llama8b,gsm8k,partition_energy,all,0.3,30,0.08227884252338882,0.02894217916172399,1.0,0.12814444686233908,0.9221335410744026
harp-contribution-subspace-poc-v1-2026-08-12,lapeigvals_gsm8k_llama8b,gsm8k,topk_distribution,all,0.3,30,-0.008075942219625059,0.014587994884566356,0.26666666666666666,0.12814444686233908,0.9221335410744026
harp-contribution-subspace-poc-v1-2026-08-12,lapeigvals_gsm8k_llama8b,gsm8k,structural,all,0.3,30,0.00044626006132262306,0.02498126614252196,0.6,0.12814444686233908,0.9221335410744026
harp-contribution-subspace-poc-v1-2026-08-12,lapeigvals_gsm8k_mistral24b,gsm8k,entropy_level,all,0.3,30,-0.0018075270472717444,0.02018091773300986,0.5333333333333333,0.14323891110370335,0.948834066097098
harp-contribution-subspace-poc-v1-2026-08-12,lapeigvals_gsm8k_mistral24b,gsm8k,entropy_dynamics,all,0.3,30,-0.01768602319058312,0.01564251779844092,0.1,0.14323891110370335,0.948834066097098
harp-contribution-subspace-poc-v1-2026-08-12,lapeigvals_gsm8k_mistral24b,gsm8k,sampled_token_energy,all,0.3,30,-0.05318049258036709,0.026911321215401973,0.03333333333333333,0.14323891110370335,0.948834066097098
harp-contribution-subspace-poc-v1-2026-08-12,lapeigvals_gsm8k_mistral24b,gsm8k,partition_energy,all,0.3,30,0.038355727800351756,0.022060684911860248,0.9666666666666667,0.14323891110370335,0.948834066097098
harp-contribution-subspace-poc-v1-2026-08-12,lapeigvals_gsm8k_mistral24b,gsm8k,topk_distribution,all,0.3,30,0.006903620764008075,0.017539254302609532,0.6333333333333333,0.14323891110370335,0.948834066097098
harp-contribution-subspace-poc-v1-2026-08-12,lapeigvals_gsm8k_mistral24b,gsm8k,structural,all,0.3,30,0.12591400421721077,0.026808086209151268,1.0,0.14323891110370335,0.948834066097098
harp-contribution-subspace-poc-v1-2026-08-12,lapeigvals_gsm8k_nemo,gsm8k,entropy_level,all,0.3,30,0.033654111476061094,0.014330162173463409,0.9666666666666667,0.17592326633825944,0.975019892695706
harp-contribution-subspace-poc-v1-2026-08-12,lapeigvals_gsm8k_nemo,gsm8k,entropy_dynamics,all,0.3,30,-0.07038130551545296,0.014455589785658116,0.0,0.17592326633825944,0.975019892695706
harp-contribution-subspace-poc-v1-2026-08-12,lapeigvals_gsm8k_nemo,gsm8k,sampled_token_energy,all,0.3,30,-0.06934089161760904,0.020763652588230135,0.0,0.17592326633825944,0.975019892695706
