cell,contract,diagnostic,feature_a,feature_b,value,effective_rank,layer_distance
gsm8k_t1.0,resid-core-32,layer_correlation,6,17,0.2204098228546801,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,6,18,0.174468589477539,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,6,19,0.20404234357098605,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,6,20,0.17924190544283142,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,6,21,0.14957627604853754,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,6,22,0.10383357216073666,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,6,23,0.06923664520269661,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,6,24,0.0670210145080557,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,6,25,0.04633716646309414,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,6,26,0.017107138791081385,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,6,27,-0.028605079058319653,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,6,28,-0.06761043996264177,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,6,29,-0.22223408100365483,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,6,30,-0.24776663365826224,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,6,31,-0.2941807843833012,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,7,0,0.0768168517808189,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,7,1,0.21366117081525124,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,7,2,0.34057415425761167,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,7,3,0.38795978222250876,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,7,4,0.5275143935417546,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,7,5,0.4169890491943945,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,7,6,0.644499465946264,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,7,7,1.0,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,7,8,0.6580715568292393,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,7,9,0.4387944822408056,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,7,10,0.3358318148019632,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,7,11,0.4266071729162602,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,7,12,0.4867186704870395,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,7,13,0.3374246440362933,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,7,14,0.3529784675792701,5.740438404543392,
