variant,pool,cells,size_mean,frac_size3,frac_size4,spread_pp,median_spread_pp,max_spread_pp,frac_unstable,macro_spread_pp,macro_mean
mcfs_s5,h16,25,5.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.660779
mcfs_s6,c46,25,6.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.728135
mcfs_s6,h16,25,6.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.67877
random_s4,c46,25,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.71387
random_s4,h16,25,4.0,0.0,1.0,0.0,0.0,0.0001,0.0,0.0,0.675033
random_s5,c46,25,5.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.721236
random_s5,h16,25,5.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.675063
random_s6,c46,25,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.736001
random_s6,h16,25,6.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.700859
ref.ALL_H16,c46,25,15.32,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.691861
ref.ALL_H16,h16,25,15.32,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.691861
ref.GOOD_5,c46,25,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.751899
ref.GOOD_5,h16,25,5.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.751899
ref.GOOD_6,c46,25,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.759398
ref.LOCO_5,c46,24,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.770516
ref.STABLE_H9,c46,25,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.70255
ref.STABLE_H9,h16,25,9.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.70255
ref.consensus_4,c46,25,4.0,0.0,1.0,0.0,0.0,0.0001,0.0,0.0,0.730247
ref.consensus_4,h16,25,4.0,0.0,1.0,0.0,0.0,0.0001,0.0,0.0,0.730247
ref.top_macro_5,c46,25,5.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.74892
ref.top_macro_5,h16,25,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74892
spec_adapt,c46,25,6.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.726053
spec_adapt,h16,25,4.96,0.36,0.08,0.0,0.0,0.0001,0.0,0.0,0.664091
spec_s4,c46,25,4.0,0.0,1.0,0.0,0.0,0.0001,0.0,0.0,0.723243
spec_s4,h16,25,4.0,0.0,1.0,0.0,0.0,0.0002,0.0,0.0,0.665358
spec_s5,c46,25,5.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.723058
spec_s5,h16,25,5.0,0.0,0.0,0.0,0.0,0.0003,0.0,0.0,0.666887
spec_s6,c46,25,6.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.725258
spec_s6,h16,25,6.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.685804
