variant,pool,family,bench_csv_date,cells,macro_published,macro_today,drift_pp,max_cell_drift_pp,cells_differing,reproduces,macro_eigen,macro_complete,frac_size3,size_mean,replay_note,chosen_names_missing_from_pool
a5.mrmr_a0.5_adapt,c46,a5_mrmr,2026-07-23,25,0.736622,0.736622,0.0,0.0,0,True,0.736465,0.736631,0.0,8.0,,0
a5.mrmr_a0.5_s4,c46,a5_mrmr,2026-07-23,25,0.732584,0.732584,0.0,0.0,0,True,0.732637,0.732652,0.0,4.0,,0
a5.mrmr_a0.5_s5,c46,a5_mrmr,2026-07-23,25,0.734877,0.734877,0.0,0.0,0,True,0.734757,0.734877,0.0,5.0,,0
a5.mrmr_a0.5_s5,h16,a5_mrmr,2026-07-21,25,0.732458,0.732458,0.0,0.0,18,False,0.736679,0.730989,0.0,5.0,,0
a5.mrmr_a0.5_s6,c46,a5_mrmr,2026-07-23,25,0.735521,0.735521,0.0,0.0,0,True,0.735482,0.735543,0.0,6.0,,0
a5.mrmr_a0.5_s6,h16,a5_mrmr,2026-07-21,25,0.730921,0.730921,-0.0,0.0,17,False,0.730352,0.729572,0.0,6.0,,0
a5.mrmr_a0.7_adapt,c46,a5_mrmr,2026-07-23,25,0.737931,0.737931,0.0,0.0,0,True,0.737647,0.738091,0.0,8.0,,0
a5.mrmr_a0.7_s4,c46,a5_mrmr,2026-07-23,25,0.732749,0.732749,0.0,0.0,0,True,0.73279,0.732822,0.0,4.0,,0
a5.mrmr_a0.7_s5,c46,a5_mrmr,2026-07-23,25,0.735395,0.735395,0.0,0.0,0,True,0.735353,0.735395,0.0,5.0,,0
a5.mrmr_a0.7_s5,h16,a5_mrmr,2026-07-21,25,0.728846,0.728846,0.0,0.0,19,False,0.73053,0.726285,0.0,5.0,,0
a5.mrmr_a0.7_s6,c46,a5_mrmr,2026-07-23,25,0.735486,0.735486,0.0,0.0,0,True,0.735432,0.735503,0.0,6.0,,0
a5.mrmr_a0.7_s6,h16,a5_mrmr,2026-07-21,25,0.728971,0.728971,-0.0,0.0,19,False,0.728086,0.725267,0.0,6.0,,0
a6.dufs,c46,a6_pseudolabel_gates,2026-07-24,25,0.750776,0.750776,0.0,0.0,0,True,0.742671,0.741129,0.0,19.04,,0
a6.fp_dufs,c46,a6_pseudolabel_gates,2026-07-24,25,0.7508,0.7508,0.0,0.0,0,True,0.742067,0.741135,0.0,19.04,,0
a6.fp_rank,c46,a6_pseudolabel_gates,2026-07-24,25,0.750862,0.750862,0.0,0.0,0,True,0.748442,0.74912,0.0,19.04,,0
a6.pl_dufs,c46,a6_pseudolabel_gates,2026-07-24,25,0.752409,0.752409,0.0,0.0,0,True,0.73282,0.733979,0.0,20.2,,0
a6.pl_dufs@central4,c46,a6_pseudolabel_gates,2026-07-24,25,0.751737,0.751737,0.0,0.0,0,True,0.742988,0.74372,0.0,19.64,,0
a6.pl_dufs@loco5,c46,a6_pseudolabel_gates,2026-07-24,25,0.75199,0.75199,0.0,0.0,0,True,0.74361,0.743937,0.0,20.48,,0
a6.pl_dufs_noseed,c46,a6_pseudolabel_gates,2026-07-24,25,0.747772,0.747772,0.0,0.0,0,True,0.738436,0.741647,0.0,16.2,,0
a6.pl_rank,c46,a6_pseudolabel_gates,2026-07-24,25,0.748719,0.748719,0.0,0.0,0,True,0.734389,0.73451,0.0,20.2,,0
a6.pruned_dufs,c46,a6_pseudolabel_gates,2026-07-24,11,0.718635,0.718635,0.0,0.0,0,True,0.717702,0.719424,0.0,29.09,,0
decorr_s5,c46,simple_stats,2026-07-23,25,0.640106,0.640106,0.0,0.0,0,True,0.64853,0.642868,0.0,5.0,,0
decorr_s5,h16,simple_stats,2026-07-21,25,0.631485,0.631485,0.0,0.0,18,False,0.633925,0.639725,0.0,5.0,,0
decorr_s6,c46,simple_stats,2026-07-23,25,0.661724,0.661724,0.0,0.0,0,True,0.664997,0.660378,0.0,6.0,,0
decorr_s6,h16,simple_stats,2026-07-21,25,0.673629,0.673629,0.0,0.0,18,False,0.672666,0.66074,0.0,6.0,,0
kurtosis_s5,c46,simple_stats,2026-07-23,25,0.695911,0.695911,0.0,0.0,0,True,0.698449,0.697464,0.0,5.0,,0
kurtosis_s5,h16,simple_stats,2026-07-21,25,0.697016,0.697016,-0.0,0.0,19,False,0.7065,0.70429,0.0,5.0,,0
kurtosis_s6,c46,simple_stats,2026-07-23,25,0.729017,0.729017,0.0,0.0,0,True,0.723125,0.725902,0.0,6.0,,0
kurtosis_s6,h16,simple_stats,2026-07-21,25,0.697186,0.697186,0.0,0.0,19,False,0.691862,0.692924,0.0,6.0,,0
lapscore_s5,c46,classical_fs,2026-07-23,25,0.723058,0.723058,0.0,0.0,0,True,0.723329,0.722451,0.0,5.0,,0
lapscore_s5,h16,classical_fs,2026-07-21,25,0.666887,0.666887,-0.0,0.0,18,False,0.663825,0.666887,0.0,5.0,,0
lapscore_s6,c46,classical_fs,2026-07-23,25,0.725258,0.725258,0.0,0.0,0,True,0.724927,0.725301,0.0,6.0,,0
lapscore_s6,h16,classical_fs,2026-07-21,25,0.685804,0.685804,0.0,0.0,19,False,0.683474,0.685914,0.0,6.0,,0
mad_s5,c46,simple_stats,2026-07-23,25,0.671273,0.671273,0.0,0.0,0,True,0.685583,0.668029,0.0,5.0,,0
mad_s5,h16,simple_stats,2026-07-21,25,0.647378,0.647378,0.0,0.0,19,False,0.626926,0.644917,0.0,5.0,,0
mad_s6,c46,simple_stats,2026-07-23,25,0.677904,0.677904,0.0,0.0,0,True,0.668275,0.663088,0.0,6.0,,0
mad_s6,h16,simple_stats,2026-07-21,25,0.649048,0.649048,-0.0,0.0,19,False,0.644997,0.654295,0.0,6.0,,0
mcfs_s5,c46,classical_fs,2026-07-23,25,0.730576,0.730576,0.0,0.0,0,True,0.735104,0.723484,0.0,5.0,,0
mcfs_s5,h16,classical_fs,2026-07-21,25,0.660779,0.660779,0.0,0.0,19,False,0.658609,0.659829,0.0,5.0,,0
mcfs_s6,c46,classical_fs,2026-07-23,25,0.728135,0.728135,0.0,0.0,0,True,0.728228,0.719978,0.0,6.0,,0
mcfs_s6,h16,classical_fs,2026-07-21,25,0.67877,0.67877,-0.0,0.0,19,False,0.671362,0.672309,0.0,6.0,,0
random_s5,c46,simple_stats,2026-07-23,25,0.721237,0.721237,0.0,0.0,0,True,0.716375,0.716428,0.0,5.0,,0
random_s5,h16,simple_stats,2026-07-21,25,0.675064,0.675064,-0.0,0.0,19,False,0.669918,0.673632,0.0,5.0,,0
random_s6,c46,simple_stats,2026-07-23,25,0.736001,0.736001,0.0,0.0,0,True,0.735447,0.730312,0.0,6.0,,0
random_s6,h16,simple_stats,2026-07-21,25,0.700859,0.700859,-0.0,0.0,18,False,0.692182,0.696588,0.0,6.0,,0
ref.ALL_H16,c46,reference_macros,2026-07-22,25,0.691861,0.691861,0.0,0.0,0,True,0.695122,0.698556,0.0,15.32,,0
ref.ALL_H16,h16,reference_macros,2026-07-21,25,0.691861,0.691861,-0.0,0.0,16,False,0.695122,0.698556,0.0,15.32,,0
ref.GOOD_5,c46,reference_macros,2026-07-22,25,0.751899,0.751899,0.0,0.0,0,True,0.746955,0.741136,0.0,5.0,,0
ref.GOOD_5,h16,reference_macros,2026-07-21,25,0.751899,0.751899,0.0,0.0,19,False,0.746955,0.741136,0.0,5.0,,0
ref.GOOD_6,c46,reference_macros,2026-07-22,25,0.759398,0.759398,0.0,0.0,0,True,0.754769,0.758226,0.0,6.0,,0
ref.LOCO_5,c46,reference_macros,2026-07-22,24,0.770516,0.770516,0.0,0.0,0,True,0.762941,0.764449,0.0,5.0,,0
ref.STABLE_H9,c46,reference_macros,2026-07-22,25,0.70255,0.70255,0.0,0.0,0,True,0.696783,0.705096,0.0,9.0,,0
ref.STABLE_H9,h16,reference_macros,2026-07-21,25,0.70255,0.70255,-0.0,0.0,19,False,0.696783,0.705096,0.0,9.0,,0
ref.top_macro_5,c46,reference_macros,2026-07-22,25,0.74892,0.74892,0.0,0.0,0,True,0.748602,0.74565,0.0,5.0,,0
ref.top_macro_5,h16,reference_macros,2026-07-21,25,0.74892,0.74892,0.0,0.0,18,False,0.748602,0.74565,0.0,5.0,,0
spec_s5,c46,classical_fs,2026-07-23,25,0.723058,0.723058,0.0,0.0,0,True,0.723329,0.722451,0.0,5.0,,0
spec_s5,h16,classical_fs,2026-07-21,25,0.666887,0.666887,-0.0,0.0,18,False,0.663825,0.666887,0.0,5.0,,0
spec_s6,c46,classical_fs,2026-07-23,25,0.725258,0.725258,0.0,0.0,0,True,0.724927,0.725301,0.0,6.0,,0
spec_s6,h16,classical_fs,2026-07-21,25,0.685804,0.685804,0.0,0.0,19,False,0.683474,0.685914,0.0,6.0,,0
a2.groups@good5,c46,a2_groupfs,2026-07-24,25,0.737771,,,,,,,,0.0,5.0,groups override not stored in CSV — NOT REPLAYABLE,0
a2.groups@good5,h16,a2_groupfs,2026-07-21,25,0.73974,,,,,,,,0.0,5.0,groups override not stored in CSV — NOT REPLAYABLE,0
a2.select+groups,c46,a2_groupfs,2026-07-24,25,0.746218,,,,,,,,0.0,20.16,groups override not stored in CSV — NOT REPLAYABLE,0
a2.select+groups,h16,a2_groupfs,2026-07-21,25,0.682262,,,,,,,,0.0,12.0,groups override not stored in CSV — NOT REPLAYABLE,0
