domain,cell_key,feature,auroc
qa,spectral_phase9_cache_trivia_qa_traces_T1.0,hurst_exponent,56.0%
qa,spectral_phase9_cache_trivia_qa_traces_T1.0,cusum_max,83.0%
qa,spectral_phase9_cache_trivia_qa_traces_T1.0,cusum_shift_idx,84.5%
qa,spectral_phase9_cache_trivia_qa_cot_traces_T1.0,epr,66.0%
qa,spectral_phase9_cache_trivia_qa_cot_traces_T1.0,trace_length,52.5%
qa,spectral_phase9_cache_trivia_qa_cot_traces_T1.0,spectral_entropy,52.5%
qa,spectral_phase9_cache_trivia_qa_cot_traces_T1.0,low_band_power,50.4%
qa,spectral_phase9_cache_trivia_qa_cot_traces_T1.0,high_band_power,51.5%
qa,spectral_phase9_cache_trivia_qa_cot_traces_T1.0,hl_ratio,50.6%
qa,spectral_phase9_cache_trivia_qa_cot_traces_T1.0,dominant_freq,52.1%
qa,spectral_phase9_cache_trivia_qa_cot_traces_T1.0,spectral_centroid,52.3%
qa,spectral_phase9_cache_trivia_qa_cot_traces_T1.0,stft_max_high_power,51.4%
qa,spectral_phase9_cache_trivia_qa_cot_traces_T1.0,stft_spectral_entropy,50.9%
qa,spectral_phase9_cache_trivia_qa_cot_traces_T1.0,rpdi,63.3%
qa,spectral_phase9_cache_trivia_qa_cot_traces_T1.0,sw_var_peak,68.5%
qa,spectral_phase9_cache_trivia_qa_cot_traces_T1.0,pe_mean,52.1%
qa,spectral_phase9_cache_trivia_qa_cot_traces_T1.0,hurst_exponent,54.9%
qa,spectral_phase9_cache_trivia_qa_cot_traces_T1.0,cusum_max,60.6%
qa,spectral_phase9_cache_trivia_qa_cot_traces_T1.0,cusum_shift_idx,58.0%
qa,spectral_phase9_cache_webq_cot_traces_T1.0,epr,61.3%
qa,spectral_phase9_cache_webq_cot_traces_T1.0,trace_length,60.0%
qa,spectral_phase9_cache_webq_cot_traces_T1.0,spectral_entropy,57.9%
qa,spectral_phase9_cache_webq_cot_traces_T1.0,low_band_power,50.7%
qa,spectral_phase9_cache_webq_cot_traces_T1.0,high_band_power,55.6%
qa,spectral_phase9_cache_webq_cot_traces_T1.0,hl_ratio,53.7%
qa,spectral_phase9_cache_webq_cot_traces_T1.0,dominant_freq,55.6%
qa,spectral_phase9_cache_webq_cot_traces_T1.0,spectral_centroid,51.0%
qa,spectral_phase9_cache_webq_cot_traces_T1.0,stft_max_high_power,59.9%
qa,spectral_phase9_cache_webq_cot_traces_T1.0,stft_spectral_entropy,51.5%
qa,spectral_phase9_cache_webq_cot_traces_T1.0,rpdi,54.2%
qa,spectral_phase9_cache_webq_cot_traces_T1.0,sw_var_peak,60.4%
qa,spectral_phase9_cache_webq_cot_traces_T1.0,pe_mean,51.3%
qa,spectral_phase9_cache_webq_cot_traces_T1.0,hurst_exponent,52.3%
qa,spectral_phase9_cache_webq_cot_traces_T1.0,cusum_max,63.7%
qa,spectral_phase9_cache_webq_cot_traces_T1.0,cusum_shift_idx,51.7%
