held_family,fit_seed,feature,weight,kind
truthfulqa,29,sw_var_peak_energy,0.022037841820652913,seed
truthfulqa,29,sw_var_peak_spilled,0.042733564921815764,seed
truthfulqa,29,topk_tail_mass,0.06298859164521287,seed
truthfulqa,29,varentropy,0.08841999554796663,seed
truthfulqa,43,cusum_max,0.04114548002812721,seed
truthfulqa,43,cusum_max_energy,0.020515723119092614,seed
truthfulqa,43,cusum_max_spilled,0.03966551574755269,seed
truthfulqa,43,epr,0.08245739391881178,seed
truthfulqa,43,epr_energy,0.08009486826425666,seed
truthfulqa,43,epr_spilled,0.07191589282954246,seed
truthfulqa,43,logprob_margin,0.0864839024798742,seed
truthfulqa,43,mean_logprob_entropy,0.08220083104757642,seed
truthfulqa,43,mean_top1_logprob,0.07871360960527188,seed
truthfulqa,43,min_energy,0.06722014448017115,seed
truthfulqa,43,renyi_entropy_2,0.0801430912950941,seed
truthfulqa,43,sw_var_peak,0.06486257950424448,seed
truthfulqa,43,sw_var_peak_energy,0.022875025224977665,seed
truthfulqa,43,sw_var_peak_spilled,0.040340476470322344,seed
truthfulqa,43,topk_tail_mass,0.05799656880209458,seed
truthfulqa,43,varentropy,0.08336889718298976,seed
truthfulqa,ensemble,cusum_max,0.03842851402243445,ensemble
truthfulqa,ensemble,cusum_max_energy,0.015909265116259078,ensemble
truthfulqa,ensemble,cusum_max_spilled,0.03818644043329252,ensemble
truthfulqa,ensemble,epr,0.08402569767854778,ensemble
truthfulqa,ensemble,epr_energy,0.07417015613966359,ensemble
truthfulqa,ensemble,epr_spilled,0.07354556532401123,ensemble
truthfulqa,ensemble,logprob_margin,0.08628940816193514,ensemble
truthfulqa,ensemble,mean_logprob_entropy,0.08390490667055267,ensemble
truthfulqa,ensemble,mean_top1_logprob,0.07924825474683465,ensemble
truthfulqa,ensemble,min_energy,0.06430164082494604,ensemble
truthfulqa,ensemble,renyi_entropy_2,0.08103408348704406,ensemble
truthfulqa,ensemble,sw_var_peak,0.06684612986309638,ensemble
truthfulqa,ensemble,sw_var_peak_energy,0.02188871055001071,ensemble
truthfulqa,ensemble,sw_var_peak_spilled,0.04357848253266178,ensemble
truthfulqa,ensemble,topk_tail_mass,0.06150503553104072,ensemble
truthfulqa,ensemble,varentropy,0.08713770891766918,ensemble
gsm8k,17,cusum_max,0.038779110625303835,seed
gsm8k,17,cusum_max_energy,0.01205716649510042,seed
gsm8k,17,cusum_max_spilled,0.03975090324786756,seed
gsm8k,17,epr,0.0862666725109463,seed
gsm8k,17,epr_energy,0.07688510999293541,seed
gsm8k,17,epr_spilled,0.07491123794720621,seed
gsm8k,17,logprob_margin,0.08526234544389935,seed
gsm8k,17,mean_logprob_entropy,0.08544529521458048,seed
gsm8k,17,mean_top1_logprob,0.08088366805091403,seed
gsm8k,17,min_energy,0.0575691615898491,seed
gsm8k,17,renyi_entropy_2,0.08265119857305217,seed
gsm8k,17,sw_var_peak,0.06083252123322031,seed
gsm8k,17,sw_var_peak_energy,0.02348823265847168,seed
gsm8k,17,sw_var_peak_spilled,0.038476953714463816,seed
gsm8k,17,topk_tail_mass,0.06760616608959774,seed
gsm8k,17,varentropy,0.0891342566125916,seed
gsm8k,29,cusum_max,0.04065665043778113,seed
gsm8k,29,cusum_max_energy,0.01411243650420788,seed
gsm8k,29,cusum_max_spilled,0.040021893250363295,seed
gsm8k,29,epr,0.0854973223182864,seed
gsm8k,29,epr_energy,0.07407314410727224,seed
gsm8k,29,epr_spilled,0.07358577274339377,seed
gsm8k,29,logprob_margin,0.08483753421810433,seed
gsm8k,29,mean_logprob_entropy,0.08492907171722902,seed
gsm8k,29,mean_top1_logprob,0.079726839230218,seed
gsm8k,29,min_energy,0.06046713027745295,seed
gsm8k,29,renyi_entropy_2,0.08179157590791623,seed
gsm8k,29,sw_var_peak,0.06256096134626031,seed
gsm8k,29,sw_var_peak_energy,0.025090219703800123,seed
gsm8k,29,sw_var_peak_spilled,0.039698154629681445,seed
gsm8k,29,topk_tail_mass,0.06457068266479785,seed
gsm8k,29,varentropy,0.08838061094323503,seed
gsm8k,43,cusum_max,0.03842345964137121,seed
gsm8k,43,cusum_max_energy,0.01726068992524479,seed
gsm8k,43,cusum_max_spilled,0.03783849764144873,seed
gsm8k,43,epr,0.08271153867541578,seed
gsm8k,43,epr_energy,0.07188542149331456,seed
gsm8k,43,epr_spilled,0.07232379187636785,seed
gsm8k,43,logprob_margin,0.07601201913163945,seed
gsm8k,43,mean_logprob_entropy,0.08306916507555372,seed
gsm8k,43,mean_top1_logprob,0.07775124734178718,seed
gsm8k,43,min_energy,0.06612264337235373,seed
gsm8k,43,renyi_entropy_2,0.07980305693323027,seed
gsm8k,43,sw_var_peak,0.062171469501008166,seed
gsm8k,43,sw_var_peak_energy,0.03542113799317791,seed
gsm8k,43,sw_var_peak_spilled,0.046005421329896094,seed
gsm8k,43,topk_tail_mass,0.0666103604954227,seed
gsm8k,43,varentropy,0.08659007957276789,seed
gsm8k,ensemble,cusum_max,0.039286406901485396,ensemble
gsm8k,ensemble,cusum_max_energy,0.014476764308184363,ensemble
gsm8k,ensemble,cusum_max_spilled,0.03920376471322653,ensemble
gsm8k,ensemble,epr,0.08482517783488282,ensemble
gsm8k,ensemble,epr_energy,0.07428122519784074,ensemble
gsm8k,ensemble,epr_spilled,0.07360693418898928,ensemble
gsm8k,ensemble,logprob_margin,0.08203729959788104,ensemble
gsm8k,ensemble,mean_logprob_entropy,0.08448117733578775,ensemble
gsm8k,ensemble,mean_top1_logprob,0.07945391820763974,ensemble
gsm8k,ensemble,min_energy,0.06138631174655192,ensemble
gsm8k,ensemble,renyi_entropy_2,0.08141527713806622,ensemble
gsm8k,ensemble,sw_var_peak,0.061854984026829596,ensemble
gsm8k,ensemble,sw_var_peak_energy,0.02799986345181657,ensemble
gsm8k,ensemble,sw_var_peak_spilled,0.04139350989134712,ensemble
gsm8k,ensemble,topk_tail_mass,0.06626240308327276,ensemble
gsm8k,ensemble,varentropy,0.08803498237619817,ensemble
math500,17,cusum_max,0.03610217044182757,seed
math500,17,cusum_max_energy,0.012396450490462575,seed
math500,17,cusum_max_spilled,0.038284464467065266,seed
math500,17,epr,0.08601409626812466,seed
math500,17,epr_energy,0.0714823205882688,seed
math500,17,epr_spilled,0.07336818603024443,seed
math500,17,logprob_margin,0.07913600206219973,seed
math500,17,mean_logprob_entropy,0.08628726194912135,seed
math500,17,mean_top1_logprob,0.08202500714141699,seed
math500,17,min_energy,0.06129599373132323,seed
math500,17,renyi_entropy_2,0.08363662153862651,seed
math500,17,sw_var_peak,0.06535025609530526,seed
math500,17,sw_var_peak_energy,0.026034993165784472,seed
math500,17,sw_var_peak_spilled,0.04584043624271292,seed
math500,17,topk_tail_mass,0.06502576636795432,seed
math500,17,varentropy,0.0877199734195619,seed
math500,29,cusum_max,0.03934309406038159,seed
math500,29,cusum_max_energy,0.015985128683112453,seed
math500,29,cusum_max_spilled,0.03915023831577098,seed
math500,29,epr,0.08514852201179511,seed
math500,29,epr_energy,0.07401238132391379,seed
math500,29,epr_spilled,0.07211142904583022,seed
math500,29,logprob_margin,0.08100612385404322,seed
math500,29,mean_logprob_entropy,0.08506145203558697,seed
math500,29,mean_top1_logprob,0.0804417017631132,seed
math500,29,min_energy,0.0635948836372273,seed
