geometry_id,selector,trust_class,actuator,lambda_is_a_cross_parameter,mean_pp,ci_pp,positive_groups,worst_group_pp
residual_adaptive_k7,one_se,canonical,cross,False,0.21949294736064504,"[0.02044162276131199, 0.4246328756254183]",6,-0.17441696231668136
residual_adaptive_k7,one_se,v1,full,True,0.16823568993801163,"[0.04604868586856742, 0.2995936973277488]",6,-0.068108814122958
residual_adaptive_k7,one_se,v1,cross,False,0.14810696792966674,"[0.03946753788218746, 0.26969046316834]",6,-0.07027357357315411
residual_adaptive_k7,one_se,expanded,full,True,0.16823568993801163,"[0.045957346487282835, 0.2993349309555013]",6,-0.068108814122958
residual_adaptive_k7,one_se,expanded,cross,False,0.14810696792966674,"[0.0392921390489071, 0.2703859552213509]",6,-0.07027357357315411
residual_adaptive_k7,max_mean,canonical,full,True,0.30646602421781555,"[-0.08058712843487116, 0.7218127726213701]",4,-0.3830357172445361
residual_adaptive_k7,max_mean,canonical,cross,False,0.21729631420574275,"[-0.11576196134758282, 0.5806913659351984]",4,-0.5066208356698576
residual_adaptive_k7,max_mean,v1,full,True,0.30646602421781555,"[-0.08236427067101287, 0.7218127726213701]",4,-0.3830357172445361
residual_adaptive_k7,max_mean,v1,cross,False,0.21729631420574275,"[-0.11649057488341266, 0.5801104050233455]",4,-0.5066208356698576
residual_adaptive_k7,max_mean,expanded,full,True,0.30646602421781555,"[-0.08058712843487115, 0.7214489809378358]",4,-0.3830357172445361
residual_adaptive_k7,max_mean,expanded,cross,False,0.21729631420574275,"[-0.11561872147567448, 0.5817731183073684]",4,-0.5066208356698576
residual_mutual_k7,one_se,canonical,full,True,0.0723954188486998,"[-0.15789753189410782, 0.2906525143758537]",4,-0.5122984347446513
residual_mutual_k7,one_se,canonical,cross,False,0.056897408812164776,"[-0.1757600360236201, 0.2813959028187341]",4,-0.5168964509412066
residual_mutual_k7,one_se,v1,full,True,0.05753495065984317,"[-0.06063944245564316, 0.16952612767797387]",5,-0.24307395841927093
residual_mutual_k7,one_se,v1,cross,False,0.05107647064356124,"[-0.0643953202765804, 0.16178185281687713]",4,-0.2453338106618519
residual_mutual_k7,one_se,expanded,full,True,0.05753495065984317,"[-0.06063944245564316, 0.16993969451659652]",5,-0.24307395841927093
residual_mutual_k7,one_se,expanded,cross,False,0.05107647064356124,"[-0.0651054713144586, 0.16149367822916705]",4,-0.2453338106618519
residual_mutual_k7,max_mean,canonical,full,True,0.11372885038761307,"[-0.12411874793276148, 0.34107506837399965]",4,-0.4479485827677876
residual_mutual_k7,max_mean,canonical,cross,False,0.056897408812164776,"[-0.17563469321528793, 0.2824753563351448]",4,-0.5168964509412066
