cell,domain,family,schema,block_count,max_block_size,partition_count,graph_cka,graph_cka_min,edge_jaccard,score_spearman,score_spearman_min,rank_change,n_components,degree_min,t4_spearman_vs_final,t8_spearman_vs_final
lapeigvals_gsm8k_phi35,math,gsm8k,atomic_random,25,1,16,0.5197536207619029,0.34916716339447434,0.18957889626736238,0.9999131301580277,0.998521638654298,0.0004540853600005978,1,0.015788222943348494,nan,nan
lapeigvals_gsm8k_phi35,math,gsm8k,dependency_blocked,17,6,16,0.4728313347976266,0.3401499519221733,0.15789628577490078,0.9998580181146527,0.9976673366151992,0.001853128102078389,1,0.012919098683934368,0.9999323270753093,0.9999598020421842
lapeigvals_gsm8k_phi35,math,gsm8k,family_blocked,6,10,16,0.5538969006047378,0.3534001934649197,0.25272827851384316,0.999891715999415,0.9983629333307956,0.01270059508173824,1,0.02167055548669611,nan,nan
noise_gsm8k_mistral7b,math,gsm8k,atomic_random,25,1,16,0.5129315005195574,0.2529014765910663,0.22793563363953212,0.9999433400711675,0.9992961984456094,0.0035499128903337873,1,0.018625217866074406,nan,nan
noise_gsm8k_mistral7b,math,gsm8k,dependency_blocked,14,8,16,0.404578586142041,0.19532737413291956,0.15505021636364852,0.9997427267947655,0.9989017125156266,0.0037786799451188986,1,0.01486675529167451,0.9998620133325233,0.9998910361848559
noise_gsm8k_mistral7b,math,gsm8k,family_blocked,6,10,16,0.49755159591868003,0.24803878601819818,0.25753882863830635,0.9999366648151309,0.9983113563231281,0.007023953290135829,1,0.024144229077483186,nan,nan
noise_gsm8k_phi3mini,math,gsm8k,atomic_random,25,1,16,0.5343653453391439,0.4088536269537982,0.22300170440887906,0.9999521305963512,0.9995007075823694,0.00724582284578169,1,0.015466176104250023,nan,nan
noise_gsm8k_phi3mini,math,gsm8k,dependency_blocked,17,7,16,0.4302762312240439,0.2583479887559127,0.16516030435613943,0.9999008856519491,0.9991278502140527,0.00024945955220286004,1,0.013839483146847414,0.9997433856919534,0.9998950314027263
noise_gsm8k_phi3mini,math,gsm8k,family_blocked,6,10,16,0.5002075222923809,0.2800540168372084,0.2452745655569108,0.9999028754168703,0.9978709619930324,0.011395818161230193,1,0.021449155090653038,nan,nan
math500_dsmath7b,math,math500,atomic_random,26,1,16,0.7581200192800982,0.6879980902888073,0.4268426087334276,0.9998673318592428,0.9993071034122601,0.0024222222222222223,1,0.04755665407663197,nan,nan
math500_dsmath7b,math,math500,dependency_blocked,16,8,16,0.6114838914962019,0.5294450450923321,0.28063848167666217,0.9998937765975175,0.9992586584295381,0.005733333333333333,1,0.032899899880789084,0.9999617773530817,0.9999871109678996
math500_dsmath7b,math,math500,family_blocked,6,10,16,0.7097873652309836,0.6229640935785579,0.38218559691880605,0.999863998488872,0.996880409782331,0.008577777777777778,1,0.03950413601329308,nan,nan
math500_qwenmath7b,math,math500,atomic_random,24,1,16,0.6709701138482893,0.5850277561840083,0.3559975852507802,0.9982073134145935,0.9922919143546038,0.014355555555555555,1,0.04505910871475986,nan,nan
math500_qwenmath7b,math,math500,dependency_blocked,12,7,16,0.6172221258083123,0.4660104707083016,0.32980255039078565,0.996076845298281,0.9880603117812419,0.01571111111111111,1,0.042353706545481346,0.9998497761086234,0.9998733319259102
math500_qwenmath7b,math,math500,family_blocked,5,9,8,0.6993445803274665,0.5927503469563427,0.4636839504202928,0.9984588717652418,0.9898452205024499,0.010511111111111112,1,0.08048971673434488,nan,nan
math500_r1distill8b,math,math500,atomic_random,24,1,16,0.7112745342971055,0.5907502800627743,0.43958290821770674,0.9999444438271536,0.9995688840987121,0.00037777777777777777,1,0.05060569626264058,nan,nan
math500_r1distill8b,math,math500,dependency_blocked,12,9,16,0.5201568785288742,0.40566888564254866,0.2923258550934353,0.9992959921776907,0.9977848642762698,0.008044444444444444,1,0.041626553260600975,0.9998284425382504,0.9999791108790097
math500_r1distill8b,math,math500,family_blocked,5,9,8,0.6021464793057881,0.5798401832845542,0.36137103243636426,0.9998668874098602,0.9980639784886498,0.004711111111111111,1,0.055676517286421326,nan,nan
math500_r1distill8b_mn4096,math,math500,atomic_random,25,1,16,0.6758998274509265,0.5113509758957712,0.4093915045938314,0.9999186657629529,0.9987066522961366,0.0007777777777777778,1,0.0543266835109668,nan,nan
math500_r1distill8b_mn4096,math,math500,dependency_blocked,12,9,16,0.5229662033458327,0.3784005145037412,0.283106889112929,0.999497327748086,0.9980319781330903,0.0041555555555555556,1,0.03922052521363324,0.9999275547506082,0.9999204435604839
math500_r1distill8b_mn4096,math,math500,family_blocked,5,10,8,0.6476546483150546,0.5804083833786913,0.39954342147999783,0.999842664918499,0.9981670907454527,0.007022222222222221,1,0.05681528603056436,nan,nan
trace_gsm8k_llama8b_k10,math,gsm8k,atomic_random,25,1,16,0.49560975549005,0.3576274474711797,0.1468014976543195,0.9999892673435705,0.9986268220890728,0.00138952,1,0.009995329599757793,nan,nan
trace_gsm8k_llama8b_k10,math,gsm8k,dependency_blocked,16,7,16,0.4221808838296218,0.19157714596724912,0.11105453960857187,0.9997730040549201,0.9968033162241325,0.00232576,1,0.009039882836363929,0.9999745164149806,0.9999749914229995
trace_gsm8k_llama8b_k10,math,gsm8k,family_blocked,6,10,16,0.5153466533991913,0.3212008814956188,0.23045951586492608,0.9999600940464036,0.9971849407193975,0.0096624,1,0.013298312205496848,nan,nan
trace_math500_qwenmath15b_k10,math,math500,atomic_random,26,1,16,0.524687922027807,0.27898091540122083,0.22126234436477094,0.9999577184397463,0.9994569563841061,0.00038644444444444447,1,0.01611372067684907,nan,nan
trace_math500_qwenmath15b_k10,math,math500,dependency_blocked,13,9,16,0.34002333564344267,0.24580881526579978,0.1434380362059593,0.9999503642167069,0.9988828016536445,0.0072640000000000005,1,0.012145906806014259,0.9999895337766147,0.9999839008870999
trace_math500_qwenmath15b_k10,math,math500,family_blocked,6,10,16,0.5196666275440177,0.28863252126358835,0.2524242254944828,0.9999372788819196,0.99812495268055,0.0014697777777777777,1,0.020699591792504836,nan,nan
