conditioning,loading_estimator,weighting,test_set,test_set_code,auroc
no conditioning,low-rank plus sparse split,weight by signal (current),SQuAD-v2 / Llama-8B,se_squad_v2_llama8b,0.8109115464084126
no conditioning,low-rank plus sparse split,weight by signal (current),TriviaQA / OPT-30B,seiclr_triviaqa_opt30b,0.5654168049506806
no conditioning,low-rank plus sparse split,weight by signal (current),TriviaQA / Qwen3-8B,semenergy_triviaqa_qwen3_8b,0.8139645121416987
no conditioning,low-rank plus sparse split,weight by signal (current),TriviaQA / Llama-8B,spilled_triviaqa_llama8b,0.9373333333333334
no conditioning,low-rank plus sparse split,weight by signal (current),GSM8K / Llama-8B (10 samples),trace_gsm8k_llama8b_k10,0.8148824522397892
no conditioning,low-rank plus sparse split,weight by signal (current),MATH-500 / Qwen-Math-1.5B (10 samples),trace_math500_qwenmath15b_k10,0.6862937102525402
no conditioning,low-rank plus sparse split,weight by signal (current),TruthfulQA / Llama-8B,truthfulqa_llama8b,0.6641624775206245
no conditioning,low-rank plus sparse split,weight by signal over noise,GSM8K / R1-Distill-8B,ars_gsm8k_r1distill8b,0.7192550096961863
no conditioning,low-rank plus sparse split,weight by signal over noise,TriviaQA / Mistral-24B,epr_triviaqa_mistral24b,0.7436595219391764
no conditioning,low-rank plus sparse split,weight by signal over noise,CoQA / Llama-7B,inside_coqa_llama7b,0.5359537847703313
no conditioning,low-rank plus sparse split,weight by signal over noise,GSM8K / Qwen2.5-7B,internalstates_gsm8k_qwen25_7b,0.7116070224123643
no conditioning,low-rank plus sparse split,weight by signal over noise,GSM8K / Llama-3B,lapeigvals_gsm8k_llama3b,0.6986436544064942
no conditioning,low-rank plus sparse split,weight by signal over noise,GSM8K / Llama-8B,lapeigvals_gsm8k_llama8b,0.8155576907678758
no conditioning,low-rank plus sparse split,weight by signal over noise,GSM8K / Mistral-24B,lapeigvals_gsm8k_mistral24b,0.8482220031844718
no conditioning,low-rank plus sparse split,weight by signal over noise,GSM8K / Nemo,lapeigvals_gsm8k_nemo,0.8005606337599025
no conditioning,low-rank plus sparse split,weight by signal over noise,GSM8K / Phi-3.5,lapeigvals_gsm8k_phi35,0.81070052243256
no conditioning,low-rank plus sparse split,weight by signal over noise,HotpotQA / Mistral-7B,losnet_hotpotqa_mistral7b,0.5736605945762349
no conditioning,low-rank plus sparse split,weight by signal over noise,MATH-500 / DeepSeek-Math-7B,math500_dsmath7b,0.7930113349216663
no conditioning,low-rank plus sparse split,weight by signal over noise,MATH-500 / Qwen-Math-7B,math500_qwenmath7b,0.89927738336714
no conditioning,low-rank plus sparse split,weight by signal over noise,MATH-500 / R1-Distill-8B,math500_r1distill8b,0.8409584872853728
no conditioning,low-rank plus sparse split,weight by signal over noise,MATH-500 / R1-Distill-8B (long),math500_r1distill8b_mn4096,0.8325159964504227
no conditioning,low-rank plus sparse split,weight by signal over noise,GSM8K / Mistral-7B,noise_gsm8k_mistral7b,0.7860315723160543
no conditioning,low-rank plus sparse split,weight by signal over noise,GSM8K / Phi-3-mini,noise_gsm8k_phi3mini,0.6804579232777666
no conditioning,low-rank plus sparse split,weight by signal over noise,SciQ / Llama-8B,sciq_llama8b,0.7356727811325054
no conditioning,low-rank plus sparse split,weight by signal over noise,NQ-Open / Llama-8B,se_nq_open_llama8b,0.7452718605044673
no conditioning,low-rank plus sparse split,weight by signal over noise,SQuAD-v2 / Llama-8B,se_squad_v2_llama8b,0.8083570925628802
no conditioning,low-rank plus sparse split,weight by signal over noise,TriviaQA / OPT-30B,seiclr_triviaqa_opt30b,0.5681002405093625
no conditioning,low-rank plus sparse split,weight by signal over noise,TriviaQA / Qwen3-8B,semenergy_triviaqa_qwen3_8b,0.8136182952162214
no conditioning,low-rank plus sparse split,weight by signal over noise,TriviaQA / Llama-8B,spilled_triviaqa_llama8b,0.9339999999999999
no conditioning,low-rank plus sparse split,weight by signal over noise,GSM8K / Llama-8B (10 samples),trace_gsm8k_llama8b_k10,0.8136975049407115
no conditioning,low-rank plus sparse split,weight by signal over noise,MATH-500 / Qwen-Math-1.5B (10 samples),trace_math500_qwenmath15b_k10,0.6840560329692102
no conditioning,low-rank plus sparse split,weight by signal over noise,TruthfulQA / Llama-8B,truthfulqa_llama8b,0.6656175687640654
no conditioning,robust re-weighted fit,weight by signal (current),GSM8K / R1-Distill-8B,ars_gsm8k_r1distill8b,0.7104476405946994
no conditioning,robust re-weighted fit,weight by signal (current),TriviaQA / Mistral-24B,epr_triviaqa_mistral24b,0.746661429693637
no conditioning,robust re-weighted fit,weight by signal (current),CoQA / Llama-7B,inside_coqa_llama7b,0.5372237363784912
no conditioning,robust re-weighted fit,weight by signal (current),GSM8K / Qwen2.5-7B,internalstates_gsm8k_qwen25_7b,0.7139581044882544
no conditioning,robust re-weighted fit,weight by signal (current),GSM8K / Llama-3B,lapeigvals_gsm8k_llama3b,0.6966794202250957
no conditioning,robust re-weighted fit,weight by signal (current),GSM8K / Llama-8B,lapeigvals_gsm8k_llama8b,0.8162182720794299
no conditioning,robust re-weighted fit,weight by signal (current),GSM8K / Mistral-24B,lapeigvals_gsm8k_mistral24b,0.8490408673894911
no conditioning,robust re-weighted fit,weight by signal (current),GSM8K / Nemo,lapeigvals_gsm8k_nemo,0.796563071297989
no conditioning,robust re-weighted fit,weight by signal (current),GSM8K / Phi-3.5,lapeigvals_gsm8k_phi35,0.7979868101353697
no conditioning,robust re-weighted fit,weight by signal (current),HotpotQA / Mistral-7B,losnet_hotpotqa_mistral7b,0.5721768354815067
no conditioning,robust re-weighted fit,weight by signal (current),MATH-500 / DeepSeek-Math-7B,math500_dsmath7b,0.7832647462277091
no conditioning,robust re-weighted fit,weight by signal (current),MATH-500 / Qwen-Math-7B,math500_qwenmath7b,0.8915441176470588
no conditioning,robust re-weighted fit,weight by signal (current),MATH-500 / R1-Distill-8B,math500_r1distill8b,0.8363942621169311
no conditioning,robust re-weighted fit,weight by signal (current),MATH-500 / R1-Distill-8B (long),math500_r1distill8b_mn4096,0.8286394843771893
no conditioning,robust re-weighted fit,weight by signal (current),GSM8K / Mistral-7B,noise_gsm8k_mistral7b,0.7783339234557569
no conditioning,robust re-weighted fit,weight by signal (current),GSM8K / Phi-3-mini,noise_gsm8k_phi3mini,0.6757241525518287
no conditioning,robust re-weighted fit,weight by signal (current),SciQ / Llama-8B,sciq_llama8b,0.7390908055144125
no conditioning,robust re-weighted fit,weight by signal (current),NQ-Open / Llama-8B,se_nq_open_llama8b,0.7508110156609439
no conditioning,robust re-weighted fit,weight by signal (current),SQuAD-v2 / Llama-8B,se_squad_v2_llama8b,0.8007058511190885
no conditioning,robust re-weighted fit,weight by signal (current),TriviaQA / OPT-30B,seiclr_triviaqa_opt30b,0.5678528612937965
no conditioning,robust re-weighted fit,weight by signal (current),TriviaQA / Qwen3-8B,semenergy_triviaqa_qwen3_8b,0.79627440663074
no conditioning,robust re-weighted fit,weight by signal (current),TriviaQA / Llama-8B,spilled_triviaqa_llama8b,0.9346666666666666
no conditioning,robust re-weighted fit,weight by signal (current),GSM8K / Llama-8B (10 samples),trace_gsm8k_llama8b_k10,0.8152731801712778
no conditioning,robust re-weighted fit,weight by signal (current),MATH-500 / Qwen-Math-1.5B (10 samples),trace_math500_qwenmath15b_k10,0.6866379682961292
no conditioning,robust re-weighted fit,weight by signal (current),TruthfulQA / Llama-8B,truthfulqa_llama8b,0.6697841327851819
no conditioning,robust re-weighted fit,weight by signal over noise,GSM8K / R1-Distill-8B,ars_gsm8k_r1distill8b,0.6965295733678086
no conditioning,robust re-weighted fit,weight by signal over noise,TriviaQA / Mistral-24B,epr_triviaqa_mistral24b,0.7470261474581977
no conditioning,robust re-weighted fit,weight by signal over noise,CoQA / Llama-7B,inside_coqa_llama7b,0.5685113336300486
no conditioning,robust re-weighted fit,weight by signal over noise,GSM8K / Qwen2.5-7B,internalstates_gsm8k_qwen25_7b,0.6846273920333006
no conditioning,robust re-weighted fit,weight by signal over noise,GSM8K / Llama-3B,lapeigvals_gsm8k_llama3b,0.7083833701045419
no conditioning,robust re-weighted fit,weight by signal over noise,GSM8K / Llama-8B,lapeigvals_gsm8k_llama8b,0.7980422772039395
no conditioning,robust re-weighted fit,weight by signal over noise,GSM8K / Mistral-24B,lapeigvals_gsm8k_mistral24b,0.8529835468951399
no conditioning,robust re-weighted fit,weight by signal over noise,GSM8K / Nemo,lapeigvals_gsm8k_nemo,0.7722892545196018
no conditioning,robust re-weighted fit,weight by signal over noise,GSM8K / Phi-3.5,lapeigvals_gsm8k_phi35,0.7708327770806077
no conditioning,robust re-weighted fit,weight by signal over noise,HotpotQA / Mistral-7B,losnet_hotpotqa_mistral7b,0.5644720141582795
no conditioning,robust re-weighted fit,weight by signal over noise,MATH-500 / DeepSeek-Math-7B,math500_dsmath7b,0.7756840661324093
no conditioning,robust re-weighted fit,weight by signal over noise,MATH-500 / Qwen-Math-7B,math500_qwenmath7b,0.9229842799188641
no conditioning,robust re-weighted fit,weight by signal over noise,MATH-500 / R1-Distill-8B,math500_r1distill8b,0.8207454901108455
no conditioning,robust re-weighted fit,weight by signal over noise,MATH-500 / R1-Distill-8B (long),math500_r1distill8b_mn4096,0.8262108262108263
no conditioning,robust re-weighted fit,weight by signal over noise,GSM8K / Mistral-7B,noise_gsm8k_mistral7b,0.7454395798941459
no conditioning,robust re-weighted fit,weight by signal over noise,GSM8K / Phi-3-mini,noise_gsm8k_phi3mini,0.6703181138559727
no conditioning,robust re-weighted fit,weight by signal over noise,SciQ / Llama-8B,sciq_llama8b,0.7409137518514299
no conditioning,robust re-weighted fit,weight by signal over noise,NQ-Open / Llama-8B,se_nq_open_llama8b,0.7519483813948156
no conditioning,robust re-weighted fit,weight by signal over noise,SQuAD-v2 / Llama-8B,se_squad_v2_llama8b,0.7534923181697506
no conditioning,robust re-weighted fit,weight by signal over noise,TriviaQA / OPT-30B,seiclr_triviaqa_opt30b,0.5731555492770044
