domain,group,cell,method,auroc,auprc,delta_vs_iu_pp,nrm_delta_pp
processbench_qwen,olympiadbench,qwen3_8b__olympiadbench,node_permuted_03,0.7855042194940178,0.6383394011322955,0.2552671156154762,0.766247618027549
processbench_qwen,olympiadbench,qwen3_8b__olympiadbench,node_permuted_04,0.7804435042998228,0.6310060440843787,-0.250804403804028,0.766247618027549
processbench_qwen,olympiadbench,qwen3_8b__olympiadbench,node_permuted_05,0.7791180788918193,0.6298333586463575,-0.3833469446043791,0.766247618027549
processbench_qwen,olympiadbench,qwen3_8b__olympiadbench,node_permuted_06,0.7748829653827444,0.6255950744921083,-0.8068582955118697,0.766247618027549
processbench_qwen,olympiadbench,qwen3_8b__olympiadbench,node_permuted_07,0.7822999924133898,0.6331747390177629,-0.06515559244733016,0.766247618027549
processbench_qwen,olympiadbench,qwen3_8b__olympiadbench,node_permuted_08,0.7793144382115236,0.630624886968725,-0.36371101263394934,0.766247618027549
processbench_qwen,olympiadbench,qwen3_8b__olympiadbench,node_permuted_09,0.7774177856916534,0.6284163668072029,-0.5533762646209639,0.766247618027549
processbench_qwen,olympiadbench,qwen3_8b__olympiadbench,node_permuted_10,0.7773196060318014,0.6285226966835711,-0.5631942306061677,0.766247618027549
processbench_qwen,olympiadbench,qwen3_8b__olympiadbench,node_permuted_11,0.777471338233391,0.6303032267637381,-0.5480210104472083,0.766247618027549
processbench_qwen,olympiadbench,qwen3_8b__olympiadbench,node_permuted_12,0.7837503737521142,0.6367351981082257,0.07988254142511364,0.766247618027549
processbench_qwen,olympiadbench,qwen3_8b__olympiadbench,node_permuted_13,0.7831836093520589,0.635381400590328,0.02320610141958168,0.766247618027549
processbench_qwen,olympiadbench,qwen3_8b__olympiadbench,node_permuted_14,0.7821437974999886,0.6299850045422073,-0.08077508378744325,0.766247618027549
processbench_qwen,olympiadbench,qwen3_8b__olympiadbench,node_permuted_15,0.7840359873080477,0.637105556564258,0.10844389701846202,0.766247618027549
processbench_qwen,olympiadbench,qwen3_8b__olympiadbench,node_permuted_16,0.7827864280008391,0.6355078073893644,-0.016512033702398288,0.766247618027549
processbench_qwen,olympiadbench,qwen3_8b__olympiadbench,node_permuted_17,0.7758781501166999,0.6263434040607588,-0.7073398221163152,0.766247618027549
processbench_qwen,olympiadbench,qwen3_8b__olympiadbench,node_permuted_18,0.7792296466871058,0.6301746375262228,-0.37219016507572533,0.766247618027549
processbench_qwen,olympiadbench,qwen3_8b__olympiadbench,node_permuted_19,0.7812289415786398,0.6324580522486047,-0.17226067592233107,0.766247618027549
processbench_qwen,omnimath,qwen3_8b__omnimath,iu,0.8310454354113024,0.6446683195834833,0.0,0.1716606804104348
processbench_qwen,omnimath,qwen3_8b__omnimath,primary_one_se,0.8318108015023042,0.6484960188113579,0.07653660910018623,0.1716606804104348
processbench_qwen,omnimath,qwen3_8b__omnimath,max_mean_sensitivity,0.8327347077121567,0.6514229642330697,0.1689272300854361,0.1716606804104348
processbench_qwen,omnimath,qwen3_8b__omnimath,dufs_graph,0.8350854749916631,0.6497460030507672,0.4040039580360699,0.1716606804104348
processbench_qwen,omnimath,qwen3_8b__omnimath,contribution_graph,0.8362827262340161,0.6542150297239786,0.5237290822713736,0.1716606804104348
processbench_qwen,omnimath,qwen3_8b__omnimath,equal_cell_pooling,0.8328768471290571,0.6508860636604316,0.1831411717754694,0.1716606804104348
processbench_qwen,omnimath,qwen3_8b__omnimath,cross_only,0.8316795958867038,0.6481868341592654,0.06341604754014352,0.1716606804104348
processbench_qwen,omnimath,qwen3_8b__omnimath,node_permuted_00,0.8334454047966586,0.6485964498232297,0.23999693853562487,0.1716606804104348
processbench_qwen,omnimath,qwen3_8b__omnimath,node_permuted_01,0.8327347077121566,0.6472841347356009,0.16892723008542498,0.1716606804104348
processbench_qwen,omnimath,qwen3_8b__omnimath,node_permuted_02,0.825288789026837,0.6356805318618335,-0.575664638446538,0.1716606804104348
processbench_qwen,omnimath,qwen3_8b__omnimath,node_permuted_03,0.835818039678765,0.6510688350189875,0.4772604267462621,0.1716606804104348
processbench_qwen,omnimath,qwen3_8b__omnimath,node_permuted_04,0.8251903848151368,0.6380039649733501,-0.5855050596165534,0.1716606804104348
processbench_qwen,omnimath,qwen3_8b__omnimath,node_permuted_05,0.8238837955597833,0.6340302891305929,-0.7161639851519075,0.1716606804104348
processbench_qwen,omnimath,qwen3_8b__omnimath,node_permuted_06,0.8240806039831838,0.630139512150645,-0.6964831428118545,0.1716606804104348
processbench_qwen,omnimath,qwen3_8b__omnimath,node_permuted_07,0.8299137869767492,0.6445096414704828,-0.11316484345531563,0.1716606804104348
processbench_qwen,omnimath,qwen3_8b__omnimath,node_permuted_08,0.8249717087891362,0.6348745411130438,-0.6073726622166209,0.1716606804104348
processbench_qwen,omnimath,qwen3_8b__omnimath,node_permuted_09,0.8242118095987843,0.6328556523327038,-0.6833625812518118,0.1716606804104348
processbench_qwen,omnimath,qwen3_8b__omnimath,node_permuted_10,0.8224514675894794,0.6315431823744586,-0.8593967821822979,0.1716606804104348
processbench_qwen,omnimath,qwen3_8b__omnimath,node_permuted_11,0.8283721209934451,0.6387379706937649,-0.2673314417857231,0.1716606804104348
processbench_qwen,omnimath,qwen3_8b__omnimath,node_permuted_12,0.8338062202395595,0.6479119208308503,0.27607848282571457,0.1716606804104348
processbench_qwen,omnimath,qwen3_8b__omnimath,node_permuted_13,0.8314663867613532,0.6472450001725042,0.04209513500508244,0.1716606804104348
processbench_qwen,omnimath,qwen3_8b__omnimath,node_permuted_14,0.8251302489079866,0.636383273844566,-0.5915186503315795,0.1716606804104348
processbench_qwen,omnimath,qwen3_8b__omnimath,node_permuted_15,0.833560209710309,0.6476300236344723,0.25147742990065947,0.1716606804104348
processbench_qwen,omnimath,qwen3_8b__omnimath,node_permuted_16,0.8311493065236526,0.6461135711502926,0.010387111235021784,0.1716606804104348
processbench_qwen,omnimath,qwen3_8b__omnimath,node_permuted_17,0.821921178226428,0.630142236374676,-0.9124257184874418,0.1716606804104348
processbench_qwen,omnimath,qwen3_8b__omnimath,node_permuted_18,0.8256113361651879,0.6379727441654361,-0.5434099246114488,0.1716606804104348
processbench_qwen,omnimath,qwen3_8b__omnimath,node_permuted_19,0.828716535734396,0.6406296544663942,-0.23288996769064152,0.1716606804104348
processbench_llama,gsm8k,llama31_8b__gsm8k,iu,0.7734975344797377,0.7261264911568224,0.0,2.643237966508971
processbench_llama,gsm8k,llama31_8b__gsm8k,primary_one_se,0.7793046481940377,0.7374382941747257,0.5807113714299983,2.643237966508971
processbench_llama,gsm8k,llama31_8b__gsm8k,max_mean_sensitivity,0.7866886936497208,0.7559837219731618,1.3191159169983147,2.643237966508971
processbench_llama,gsm8k,llama31_8b__gsm8k,dufs_graph,0.7770518885634902,0.7354094566875989,0.3554354083752487,2.643237966508971
processbench_llama,gsm8k,llama31_8b__gsm8k,contribution_graph,0.7844359340191734,0.7473118159954044,1.0938399539435761,2.643237966508971
processbench_llama,gsm8k,llama31_8b__gsm8k,equal_cell_pooling,0.7829591249280368,0.7416710532742095,0.9461590448299084,2.643237966508971
processbench_llama,gsm8k,llama31_8b__gsm8k,cross_only,0.7790543415684213,0.7371379938649645,0.5556807088683668,2.643237966508971
processbench_llama,gsm8k,llama31_8b__gsm8k,node_permuted_00,0.7794047708442842,0.7358314847187083,0.5907236364546486,2.643237966508971
processbench_llama,gsm8k,llama31_8b__gsm8k,node_permuted_01,0.7707942229230808,0.725897491005182,-0.2703311556656929,2.643237966508971
