cell,feature,n_all,n_defect_free,population,pos_all,pos_defect_free,nonmono_gain_all,nonmono_gain_defect_free,folded_gain_all,folded_gain_defect_free
se_squad_v2_llama8b,pe_mean,2933,2933,all rows (no known defect),0.2796,0.2796,0.0983,0.0983,0.0983,0.0983
se_squad_v2_llama8b,hurst_exponent,2933,2933,all rows (no known defect),0.2796,0.2796,0.0579,0.0579,0.0579,0.0579
se_squad_v2_llama8b,cusum_max,2933,2933,all rows (no known defect),0.2796,0.2796,-0.0168,-0.0168,-0.0168,-0.0168
se_squad_v2_llama8b,cusum_shift_idx,2933,2933,all rows (no known defect),0.2796,0.2796,0.0799,0.0799,0.0799,0.0799
se_squad_v2_llama8b,epr_spilled,2933,2933,all rows (no known defect),0.2796,0.2796,-0.0125,-0.0125,-0.0125,-0.0125
se_squad_v2_llama8b,sw_var_peak_spilled,2933,2933,all rows (no known defect),0.2796,0.2796,-0.0267,-0.0267,-0.0267,-0.0267
se_squad_v2_llama8b,cusum_max_spilled,2933,2933,all rows (no known defect),0.2796,0.2796,-0.0175,-0.0175,-0.0175,-0.0175
se_squad_v2_llama8b,epr_energy,2933,2933,all rows (no known defect),0.2796,0.2796,-0.0248,-0.0248,-0.0248,-0.0248
se_squad_v2_llama8b,min_energy,2933,2933,all rows (no known defect),0.2796,0.2796,-0.0169,-0.0169,-0.0169,-0.0169
se_squad_v2_llama8b,sw_var_peak_energy,2933,2933,all rows (no known defect),0.2796,0.2796,-0.0107,-0.0107,-0.0098,-0.0098
se_squad_v2_llama8b,cusum_max_energy,2933,2933,all rows (no known defect),0.2796,0.2796,-0.0086,-0.0086,-0.0086,-0.0086
se_squad_v2_llama8b,mean_top1_logprob,2933,2933,all rows (no known defect),0.2796,0.2796,-0.0103,-0.0103,-0.0103,-0.0103
se_squad_v2_llama8b,logprob_margin,2933,2933,all rows (no known defect),0.2796,0.2796,-0.0141,-0.0141,-0.0141,-0.0141
se_squad_v2_llama8b,mean_logprob_entropy,2933,2933,all rows (no known defect),0.2796,0.2796,-0.0087,-0.0087,-0.0087,-0.0087
se_squad_v2_llama8b,varentropy,2933,2933,all rows (no known defect),0.2796,0.2796,-0.0206,-0.0206,-0.0206,-0.0206
se_squad_v2_llama8b,renyi_entropy_2,2933,2933,all rows (no known defect),0.2796,0.2796,-0.0266,-0.0266,-0.0266,-0.0266
se_squad_v2_llama8b,topk_tail_mass,2933,2933,all rows (no known defect),0.2796,0.2796,-0.0185,-0.0185,-0.0185,-0.0185
seiclr_triviaqa_opt30b,epr,5000,5000,all rows (no known defect),0.4648,0.4648,-0.0202,-0.0202,-0.0202,-0.0202
seiclr_triviaqa_opt30b,trace_length,5000,5000,all rows (no known defect),0.4648,0.4648,0.0142,0.0142,0.0142,0.0142
seiclr_triviaqa_opt30b,rpdi,5000,5000,all rows (no known defect),0.4648,0.4648,0.0008,0.0008,0.0008,0.0008
seiclr_triviaqa_opt30b,sw_var_peak,5000,5000,all rows (no known defect),0.4648,0.4648,-0.0012,-0.0012,-0.0012,-0.0012
seiclr_triviaqa_opt30b,cusum_max,5000,5000,all rows (no known defect),0.4648,0.4648,-0.0024,-0.0024,-0.0024,-0.0024
seiclr_triviaqa_opt30b,epr_spilled,5000,5000,all rows (no known defect),0.4648,0.4648,-0.014,-0.014,-0.014,-0.014
seiclr_triviaqa_opt30b,sw_var_peak_spilled,5000,5000,all rows (no known defect),0.4648,0.4648,-0.0066,-0.0066,-0.0066,-0.0066
seiclr_triviaqa_opt30b,cusum_max_spilled,5000,5000,all rows (no known defect),0.4648,0.4648,-0.0021,-0.0021,-0.0021,-0.0021
seiclr_triviaqa_opt30b,min_spilled,5000,5000,all rows (no known defect),0.4648,0.4648,-0.0015,-0.0015,-0.0015,-0.0015
seiclr_triviaqa_opt30b,epr_energy,5000,5000,all rows (no known defect),0.4648,0.4648,-0.0115,-0.0115,-0.0115,-0.0115
seiclr_triviaqa_opt30b,min_energy,5000,5000,all rows (no known defect),0.4648,0.4648,-0.0188,-0.0188,-0.0188,-0.0188
seiclr_triviaqa_opt30b,sw_var_peak_energy,5000,5000,all rows (no known defect),0.4648,0.4648,0.0159,0.0159,0.0159,0.0159
seiclr_triviaqa_opt30b,cusum_max_energy,5000,5000,all rows (no known defect),0.4648,0.4648,0.0117,0.0117,0.0117,0.0117
seiclr_triviaqa_opt30b,mean_top1_logprob,5000,5000,all rows (no known defect),0.4648,0.4648,-0.0146,-0.0146,-0.0146,-0.0146
seiclr_triviaqa_opt30b,logprob_margin,5000,5000,all rows (no known defect),0.4648,0.4648,-0.0149,-0.0149,-0.0149,-0.0149
seiclr_triviaqa_opt30b,mean_logprob_entropy,5000,5000,all rows (no known defect),0.4648,0.4648,-0.0166,-0.0166,-0.0166,-0.0166
seiclr_triviaqa_opt30b,varentropy,5000,5000,all rows (no known defect),0.4648,0.4648,-0.015,-0.015,-0.015,-0.015
seiclr_triviaqa_opt30b,renyi_entropy_2,5000,5000,all rows (no known defect),0.4648,0.4648,-0.0147,-0.0147,-0.0147,-0.0147
