cell,group,feature,auc_raw,auc_oriented,labelfree_sign,oracle_sign,sign_wrong,auc_binned,nonmono_gain,regime_signs,regime_sign_disagree
lapeigvals_gsm8k_phi35,math,spectral_centroid,0.3214,0.6786,-,-,1,0.6605,-0.0181,---,0
lapeigvals_gsm8k_phi35,math,stft_max_high_power,0.5618,0.5618,+,+,0,0.549,-0.0129,--+,1
lapeigvals_gsm8k_phi35,math,stft_spectral_entropy,0.4753,0.5247,-,-,1,0.5792,0.0545,---,0
lapeigvals_gsm8k_phi35,math,rpdi,0.5218,0.5218,+,+,0,0.5607,0.0389,+--,1
lapeigvals_gsm8k_phi35,math,sw_var_peak,0.7752,0.7752,+,+,0,0.7535,-0.0217,+++,0
lapeigvals_gsm8k_phi35,math,pe_mean,0.5065,0.5065,+,+,0,0.5883,0.0818,--+,1
lapeigvals_gsm8k_phi35,math,hurst_exponent,0.3721,0.6279,-,-,1,0.6068,-0.0211,---,0
lapeigvals_gsm8k_phi35,math,cusum_max,0.7566,0.7566,+,+,0,0.7288,-0.0279,+++,0
lapeigvals_gsm8k_phi35,math,cusum_shift_idx,0.3963,0.6037,-,-,1,0.5907,-0.013,-+-,1
lapeigvals_gsm8k_phi35,math,epr_spilled,0.2409,0.7591,-,-,1,0.7361,-0.023,---,0
lapeigvals_gsm8k_phi35,math,sw_var_peak_spilled,0.3057,0.6943,-,-,1,0.6764,-0.0179,---,0
lapeigvals_gsm8k_phi35,math,cusum_max_spilled,0.2556,0.7444,-,-,1,0.722,-0.0224,---,0
lapeigvals_gsm8k_phi35,math,epr_energy,0.5388,0.5388,+,+,0,0.5385,-0.0002,+--,1
lapeigvals_gsm8k_phi35,math,min_energy,0.5047,0.5047,+,+,0,0.5175,0.0129,-++,1
lapeigvals_gsm8k_phi35,math,sw_var_peak_energy,0.4714,0.5286,-,-,1,0.5418,0.0133,++-,1
lapeigvals_gsm8k_phi35,math,cusum_max_energy,0.5669,0.5669,+,+,0,0.5606,-0.0063,+++,0
lapeigvals_gsm8k_phi35,math,mean_top1_logprob,0.7641,0.7641,+,+,0,0.7283,-0.0358,+++,0
lapeigvals_gsm8k_phi35,math,logprob_margin,0.7667,0.7667,+,+,0,0.7384,-0.0283,+++,0
lapeigvals_gsm8k_phi35,math,mean_logprob_entropy,0.7708,0.7708,+,+,0,0.7443,-0.0265,+++,0
lapeigvals_gsm8k_phi35,math,varentropy,0.7843,0.7843,+,+,0,0.7513,-0.033,+++,0
lapeigvals_gsm8k_phi35,math,renyi_entropy_2,0.767,0.767,+,+,0,0.7362,-0.0308,+++,0
lapeigvals_gsm8k_phi35,math,topk_tail_mass,0.7904,0.7904,+,+,0,0.7653,-0.0252,+++,0
losnet_hotpotqa_mistral7b,QA,epr,0.5598,0.5598,+,+,0,0.5503,-0.0096,--+,1
losnet_hotpotqa_mistral7b,QA,trace_length,0.4277,0.5723,-,-,1,0.5996,0.0273,---,0
losnet_hotpotqa_mistral7b,QA,spectral_entropy,0.5748,0.5748,+,+,0,0.5504,-0.0244,+++,0
losnet_hotpotqa_mistral7b,QA,low_band_power,0.5001,0.5001,+,+,0,0.5194,0.0193,-+-,1
losnet_hotpotqa_mistral7b,QA,high_band_power,0.519,0.519,+,+,0,0.5331,0.0141,++-,1
losnet_hotpotqa_mistral7b,QA,hl_ratio,0.508,0.508,+,+,0,0.5201,0.0121,+++,0
losnet_hotpotqa_mistral7b,QA,dominant_freq,0.4674,0.5326,-,-,1,0.5571,0.0246,---,0
losnet_hotpotqa_mistral7b,QA,spectral_centroid,0.4956,0.5044,-,-,1,0.5474,0.043,+++,0
losnet_hotpotqa_mistral7b,QA,stft_max_high_power,0.571,0.571,+,+,0,0.5462,-0.0247,++-,1
losnet_hotpotqa_mistral7b,QA,stft_spectral_entropy,0.5346,0.5346,+,+,0,0.5412,0.0066,-++,1
losnet_hotpotqa_mistral7b,QA,rpdi,0.4991,0.5009,-,-,1,0.5333,0.0324,-+-,1
losnet_hotpotqa_mistral7b,QA,sw_var_peak,0.5834,0.5834,+,+,0,0.5545,-0.0289,+++,0
losnet_hotpotqa_mistral7b,QA,pe_mean,0.527,0.527,+,+,0,0.5312,0.0042,+++,0
losnet_hotpotqa_mistral7b,QA,hurst_exponent,0.4796,0.5204,-,-,1,0.5242,0.0039,-++,1
losnet_hotpotqa_mistral7b,QA,cusum_max,0.5452,0.5452,+,+,0,0.5308,-0.0144,+-+,1
losnet_hotpotqa_mistral7b,QA,cusum_shift_idx,0.464,0.536,-,-,1,0.5194,-0.0167,+--,1
losnet_hotpotqa_mistral7b,QA,epr_spilled,0.4406,0.5594,-,-,1,0.5402,-0.0193,++-,1
losnet_hotpotqa_mistral7b,QA,sw_var_peak_spilled,0.4046,0.5954,-,-,1,0.5746,-0.0208,---,0
losnet_hotpotqa_mistral7b,QA,cusum_max_spilled,0.4429,0.5571,-,-,1,0.53,-0.0271,-+-,1
losnet_hotpotqa_mistral7b,QA,epr_energy,0.4717,0.5283,-,-,1,0.5216,-0.0067,++-,1
losnet_hotpotqa_mistral7b,QA,min_energy,0.4578,0.5422,-,-,1,0.5315,-0.0107,---,0
losnet_hotpotqa_mistral7b,QA,sw_var_peak_energy,0.5421,0.5421,+,+,0,0.5471,0.005,+++,0
losnet_hotpotqa_mistral7b,QA,cusum_max_energy,0.5445,0.5445,+,+,0,0.5563,0.0118,+-+,1
losnet_hotpotqa_mistral7b,QA,mean_top1_logprob,0.5594,0.5594,+,+,0,0.5402,-0.0193,--+,1
losnet_hotpotqa_mistral7b,QA,logprob_margin,0.5444,0.5444,+,+,0,0.5366,-0.0077,--+,1
losnet_hotpotqa_mistral7b,QA,mean_logprob_entropy,0.5675,0.5675,+,+,0,0.553,-0.0145,-++,1
losnet_hotpotqa_mistral7b,QA,varentropy,0.5833,0.5833,+,+,0,0.5519,-0.0314,+++,0
losnet_hotpotqa_mistral7b,QA,renyi_entropy_2,0.5605,0.5605,+,+,0,0.552,-0.0086,--+,1
losnet_hotpotqa_mistral7b,QA,topk_tail_mass,0.5731,0.5731,+,+,0,0.5791,0.0059,-++,1
math500_dsmath7b,math,epr,0.7706,0.7706,+,+,0,0.7384,-0.0322,+++,0
math500_dsmath7b,math,trace_length,0.2877,0.7123,-,-,1,0.6809,-0.0313,---,0
math500_dsmath7b,math,spectral_entropy,0.6123,0.6123,+,+,0,0.5775,-0.0348,+++,0
math500_dsmath7b,math,low_band_power,0.6021,0.6021,+,+,0,0.5635,-0.0386,+++,0
math500_dsmath7b,math,high_band_power,0.3977,0.6023,-,-,1,0.5845,-0.0178,---,0
math500_dsmath7b,math,hl_ratio,0.3912,0.6088,-,-,1,0.5823,-0.0265,---,0
math500_dsmath7b,math,dominant_freq,0.2993,0.7007,-,-,1,0.6545,-0.0462,---,0
math500_dsmath7b,math,spectral_centroid,0.3608,0.6392,-,-,1,0.6257,-0.0135,---,0
math500_dsmath7b,math,stft_max_high_power,0.5101,0.5101,+,+,0,0.5349,0.0248,+--,1
math500_dsmath7b,math,stft_spectral_entropy,0.4333,0.5667,-,-,1,0.5747,0.0081,---,0
math500_dsmath7b,math,rpdi,0.6729,0.6729,+,+,0,0.6483,-0.0246,+++,0
math500_dsmath7b,math,sw_var_peak,0.7002,0.7002,+,+,0,0.6592,-0.041,+-+,1
math500_dsmath7b,math,pe_mean,0.5306,0.5306,+,+,0,0.6008,0.0702,+-+,1
math500_dsmath7b,math,hurst_exponent,0.3558,0.6442,-,-,1,0.6398,-0.0045,---,0
math500_dsmath7b,math,cusum_max,0.7528,0.7528,+,+,0,0.6905,-0.0623,+++,0
math500_dsmath7b,math,cusum_shift_idx,0.4847,0.5153,-,-,1,0.5593,0.044,+--,1
math500_dsmath7b,math,epr_spilled,0.2327,0.7673,-,-,1,0.7423,-0.025,---,0
math500_dsmath7b,math,sw_var_peak_spilled,0.3904,0.6096,-,-,1,0.6243,0.0148,---,0
math500_dsmath7b,math,cusum_max_spilled,0.2379,0.7621,-,-,1,0.7367,-0.0255,---,0
math500_dsmath7b,math,min_spilled,0.3638,0.6362,-,-,1,0.6276,-0.0086,-+-,1
math500_dsmath7b,math,epr_energy,0.6063,0.6063,+,+,0,0.622,0.0157,+--,1
math500_dsmath7b,math,min_energy,0.4055,0.5945,-,-,1,0.5541,-0.0404,---,0
math500_dsmath7b,math,sw_var_peak_energy,0.654,0.654,+,+,0,0.6394,-0.0146,+++,0
math500_dsmath7b,math,cusum_max_energy,0.715,0.715,+,+,0,0.698,-0.017,+++,0
math500_dsmath7b,math,mean_top1_logprob,0.7769,0.7769,+,+,0,0.7569,-0.02,+++,0
math500_dsmath7b,math,logprob_margin,0.7698,0.7698,+,+,0,0.7364,-0.0334,+++,0
math500_dsmath7b,math,mean_logprob_entropy,0.7732,0.7732,+,+,0,0.7503,-0.0229,+++,0
math500_dsmath7b,math,varentropy,0.7436,0.7436,+,+,0,0.7241,-0.0196,-++,1
math500_dsmath7b,math,renyi_entropy_2,0.775,0.775,+,+,0,0.7576,-0.0173,+++,0
math500_dsmath7b,math,topk_tail_mass,0.7803,0.7803,+,+,0,0.7635,-0.0168,+++,0
math500_qwenmath7b,math,epr,0.9306,0.9306,+,+,0,0.8716,-0.059,+-+,1
math500_qwenmath7b,math,spectral_entropy,0.1139,0.8861,-,-,1,0.8661,-0.02,+--,1
math500_qwenmath7b,math,low_band_power,0.906,0.906,+,+,0,0.9123,0.0064,--+,1
math500_qwenmath7b,math,high_band_power,0.0962,0.9038,-,-,1,0.9103,0.0065,++-,1
math500_qwenmath7b,math,hl_ratio,0.0959,0.9041,-,-,1,0.9057,0.0016,++-,1
math500_qwenmath7b,math,spectral_centroid,0.0963,0.9037,-,-,1,0.9053,0.0016,++-,1
math500_qwenmath7b,math,stft_max_high_power,0.2128,0.7872,-,-,1,0.8075,0.0203,++-,1
math500_qwenmath7b,math,stft_spectral_entropy,0.1346,0.8654,-,-,1,0.8916,0.0263,++-,1
math500_qwenmath7b,math,rpdi,0.7133,0.7133,+,+,0,0.7722,0.0589,-++,1
math500_qwenmath7b,math,sw_var_peak,0.8695,0.8695,+,+,0,0.8423,-0.0272,--+,1
math500_qwenmath7b,math,pe_mean,0.4823,0.5177,-,-,1,0.5922,0.0745,---,0
math500_qwenmath7b,math,hurst_exponent,0.0809,0.9191,-,-,1,0.8952,-0.0239,+--,1
math500_qwenmath7b,math,cusum_max,0.9277,0.9277,+,+,0,0.9216,-0.006,-++,1
math500_qwenmath7b,math,cusum_shift_idx,0.8392,0.8392,+,+,0,0.8025,-0.0367,--+,1
math500_qwenmath7b,math,epr_spilled,0.0714,0.9286,-,-,1,0.8772,-0.0515,-+-,1
math500_qwenmath7b,math,sw_var_peak_spilled,0.4053,0.5947,-,-,1,0.6162,0.0215,++-,1
math500_qwenmath7b,math,cusum_max_spilled,0.0671,0.9329,-,-,1,0.9173,-0.0156,+--,1
math500_qwenmath7b,math,min_spilled,0.2717,0.7283,-,-,1,0.7197,-0.0086,---,0
math500_qwenmath7b,math,epr_energy,0.0948,0.9052,-,-,1,0.8674,-0.0378,---,0
math500_qwenmath7b,math,min_energy,0.1942,0.8058,-,-,1,0.7614,-0.0444,+--,1
math500_qwenmath7b,math,sw_var_peak_energy,0.329,0.671,-,-,1,0.6663,-0.0047,---,0
math500_qwenmath7b,math,cusum_max_energy,0.7961,0.7961,+,+,0,0.7609,-0.0352,+++,0
math500_qwenmath7b,math,mean_top1_logprob,0.9233,0.9233,+,+,0,0.8595,-0.0638,+-+,1
math500_qwenmath7b,math,logprob_margin,0.936,0.936,+,+,0,0.8984,-0.0376,+-+,1
math500_qwenmath7b,math,mean_logprob_entropy,0.9307,0.9307,+,+,0,0.8783,-0.0524,+-+,1
math500_qwenmath7b,math,varentropy,0.1905,0.8095,-,-,1,0.8035,-0.0061,+++,0
math500_qwenmath7b,math,renyi_entropy_2,0.9257,0.9257,+,+,0,0.8583,-0.0674,+-+,1
math500_qwenmath7b,math,topk_tail_mass,0.9264,0.9264,+,+,0,0.8593,-0.0671,+-+,1
math500_r1distill8b,math,epr,0.8218,0.8218,+,+,0,0.8042,-0.0176,+++,0
math500_r1distill8b,math,spectral_entropy,0.8182,0.8182,+,+,0,0.7744,-0.0438,+++,0
math500_r1distill8b,math,low_band_power,0.687,0.687,+,+,0,0.6583,-0.0286,-++,1
math500_r1distill8b,math,high_band_power,0.3151,0.6849,-,-,1,0.6515,-0.0333,---,0
math500_r1distill8b,math,hl_ratio,0.3007,0.6993,-,-,1,0.6793,-0.02,---,0
math500_r1distill8b,math,spectral_centroid,0.2965,0.7035,-,-,1,0.6687,-0.0347,---,0
math500_r1distill8b,math,stft_max_high_power,0.7114,0.7114,+,+,0,0.6983,-0.0131,-++,1
math500_r1distill8b,math,stft_spectral_entropy,0.4273,0.5727,-,-,1,0.5654,-0.0073,+--,1
math500_r1distill8b,math,rpdi,0.8073,0.8073,+,+,0,0.787,-0.0203,+++,0
math500_r1distill8b,math,sw_var_peak,0.806,0.806,+,+,0,0.8024,-0.0035,-++,1
math500_r1distill8b,math,pe_mean,0.3895,0.6105,-,-,1,0.6068,-0.0037,+--,1
math500_r1distill8b,math,hurst_exponent,0.4199,0.5801,-,-,1,0.5387,-0.0415,++-,1
math500_r1distill8b,math,cusum_max,0.8402,0.8402,+,+,0,0.8097,-0.0305,+++,0
math500_r1distill8b,math,cusum_shift_idx,0.4712,0.5288,-,-,1,0.6144,0.0856,-+-,1
math500_r1distill8b,math,epr_spilled,0.1806,0.8194,-,-,1,0.7984,-0.021,---,0
math500_r1distill8b,math,sw_var_peak_spilled,0.3962,0.6038,-,-,1,0.6238,0.0201,++-,1
math500_r1distill8b,math,cusum_max_spilled,0.162,0.838,-,-,1,0.8103,-0.0277,---,0
math500_r1distill8b,math,min_spilled,0.6999,0.6999,+,+,0,0.6695,-0.0305,+++,0
math500_r1distill8b,math,epr_energy,0.2222,0.7778,-,-,1,0.7376,-0.0401,++-,1
math500_r1distill8b,math,min_energy,0.2698,0.7302,-,-,1,0.7149,-0.0154,++-,1
math500_r1distill8b,math,sw_var_peak_energy,0.6834,0.6834,+,+,0,0.6908,0.0074,+++,0
math500_r1distill8b,math,cusum_max_energy,0.8543,0.8543,+,+,0,0.8429,-0.0114,+++,0
math500_r1distill8b,math,mean_top1_logprob,0.8252,0.8252,+,+,0,0.8056,-0.0196,+++,0
math500_r1distill8b,math,logprob_margin,0.8167,0.8167,+,+,0,0.7997,-0.017,+++,0
math500_r1distill8b,math,mean_logprob_entropy,0.8212,0.8212,+,+,0,0.7968,-0.0244,+++,0
math500_r1distill8b,math,varentropy,0.8029,0.8029,+,+,0,0.7844,-0.0186,+-+,1
math500_r1distill8b,math,renyi_entropy_2,0.8234,0.8234,+,+,0,0.805,-0.0184,+++,0
math500_r1distill8b,math,topk_tail_mass,0.8224,0.8224,+,+,0,0.7945,-0.0279,+++,0
math500_r1distill8b_mn4096,math,epr,0.819,0.819,+,+,0,0.7977,-0.0213,+++,0
math500_r1distill8b_mn4096,math,spectral_entropy,0.8269,0.8269,+,+,0,0.8115,-0.0153,+++,0
math500_r1distill8b_mn4096,math,low_band_power,0.6696,0.6696,+,+,0,0.67,0.0005,-++,1
math500_r1distill8b_mn4096,math,high_band_power,0.3576,0.6424,-,-,1,0.6496,0.0072,+--,1
math500_r1distill8b_mn4096,math,hl_ratio,0.3365,0.6635,-,-,1,0.6916,0.0281,+--,1
math500_r1distill8b_mn4096,math,dominant_freq,0.1877,0.8123,-,-,1,0.7661,-0.0463,---,0
math500_r1distill8b_mn4096,math,spectral_centroid,0.3349,0.6651,-,-,1,0.7171,0.052,+--,1
math500_r1distill8b_mn4096,math,stft_max_high_power,0.6696,0.6696,+,+,0,0.6381,-0.0314,+++,0
math500_r1distill8b_mn4096,math,stft_spectral_entropy,0.4176,0.5824,-,-,1,0.6491,0.0668,+--,1
math500_r1distill8b_mn4096,math,rpdi,0.783,0.783,+,+,0,0.7727,-0.0103,-++,1
math500_r1distill8b_mn4096,math,sw_var_peak,0.7495,0.7495,+,+,0,0.7205,-0.029,-++,1
math500_r1distill8b_mn4096,math,pe_mean,0.4577,0.5423,-,-,1,0.5716,0.0293,--+,1
math500_r1distill8b_mn4096,math,hurst_exponent,0.4578,0.5422,-,-,1,0.6574,0.1153,++-,1
math500_r1distill8b_mn4096,math,cusum_max,0.8049,0.8049,+,+,0,0.795,-0.0099,-++,1
math500_r1distill8b_mn4096,math,cusum_shift_idx,0.5635,0.5635,+,+,0,0.5799,0.0164,-+-,1
math500_r1distill8b_mn4096,math,epr_spilled,0.1815,0.8185,-,-,1,0.8048,-0.0138,---,0
math500_r1distill8b_mn4096,math,sw_var_peak_spilled,0.4057,0.5943,-,-,1,0.6301,0.0358,+-+,1
math500_r1distill8b_mn4096,math,cusum_max_spilled,0.1819,0.8181,-,-,1,0.8016,-0.0165,+--,1
math500_r1distill8b_mn4096,math,min_spilled,0.6107,0.6107,+,+,0,0.6189,0.0082,-+-,1
math500_r1distill8b_mn4096,math,epr_energy,0.2005,0.7995,-,-,1,0.7662,-0.0333,+--,1
math500_r1distill8b_mn4096,math,min_energy,0.1963,0.8037,-,-,1,0.7943,-0.0093,+--,1
math500_r1distill8b_mn4096,math,sw_var_peak_energy,0.7317,0.7317,+,+,0,0.694,-0.0377,+++,0
math500_r1distill8b_mn4096,math,cusum_max_energy,0.8272,0.8272,+,+,0,0.8052,-0.022,+++,0
math500_r1distill8b_mn4096,math,mean_top1_logprob,0.8203,0.8203,+,+,0,0.7996,-0.0207,+++,0
math500_r1distill8b_mn4096,math,logprob_margin,0.8154,0.8154,+,+,0,0.8015,-0.0139,+++,0
math500_r1distill8b_mn4096,math,mean_logprob_entropy,0.8194,0.8194,+,+,0,0.8045,-0.015,+++,0
math500_r1distill8b_mn4096,math,varentropy,0.8061,0.8061,+,+,0,0.7859,-0.0202,+++,0
math500_r1distill8b_mn4096,math,renyi_entropy_2,0.8199,0.8199,+,+,0,0.8069,-0.013,+++,0
math500_r1distill8b_mn4096,math,topk_tail_mass,0.8213,0.8213,+,+,0,0.8031,-0.0182,+++,0
noise_gsm8k_mistral7b,math,epr,0.7431,0.7431,+,+,0,0.7271,-0.016,+++,0
noise_gsm8k_mistral7b,math,trace_length,0.2316,0.7684,-,-,1,0.7512,-0.0172,---,0
noise_gsm8k_mistral7b,math,spectral_entropy,0.759,0.759,+,+,0,0.7422,-0.0168,+++,0
noise_gsm8k_mistral7b,math,low_band_power,0.6128,0.6128,+,+,0,0.5972,-0.0156,+++,0
noise_gsm8k_mistral7b,math,high_band_power,0.4155,0.5845,-,-,1,0.5839,-0.0006,---,0
noise_gsm8k_mistral7b,math,hl_ratio,0.3922,0.6078,-,-,1,0.5844,-0.0234,---,0
noise_gsm8k_mistral7b,math,dominant_freq,0.3808,0.6192,-,-,1,0.6054,-0.0138,---,0
noise_gsm8k_mistral7b,math,spectral_centroid,0.3608,0.6392,-,-,1,0.6137,-0.0254,---,0
noise_gsm8k_mistral7b,math,stft_max_high_power,0.6129,0.6129,+,+,0,0.6058,-0.0071,+++,0
noise_gsm8k_mistral7b,math,stft_spectral_entropy,0.4745,0.5255,-,-,1,0.5386,0.0131,---,0
noise_gsm8k_mistral7b,math,rpdi,0.6552,0.6552,+,+,0,0.6477,-0.0075,+++,0
noise_gsm8k_mistral7b,math,sw_var_peak,0.7543,0.7543,+,+,0,0.7388,-0.0154,+++,0
noise_gsm8k_mistral7b,math,pe_mean,0.5244,0.5244,+,+,0,0.5342,0.0098,-++,1
noise_gsm8k_mistral7b,math,hurst_exponent,0.4394,0.5606,-,-,1,0.5526,-0.008,---,0
noise_gsm8k_mistral7b,math,cusum_max,0.7264,0.7264,+,+,0,0.7113,-0.015,+++,0
noise_gsm8k_mistral7b,math,cusum_shift_idx,0.4127,0.5873,-,-,1,0.5742,-0.0131,+--,1
noise_gsm8k_mistral7b,math,epr_spilled,0.2906,0.7094,-,-,1,0.6974,-0.012,---,0
noise_gsm8k_mistral7b,math,sw_var_peak_spilled,0.3446,0.6554,-,-,1,0.6388,-0.0166,---,0
noise_gsm8k_mistral7b,math,cusum_max_spilled,0.2871,0.7129,-,-,1,0.7013,-0.0117,---,0
noise_gsm8k_mistral7b,math,epr_energy,0.2499,0.7501,-,-,1,0.7303,-0.0198,---,0
noise_gsm8k_mistral7b,math,min_energy,0.2877,0.7123,-,-,1,0.7,-0.0123,---,0
noise_gsm8k_mistral7b,math,sw_var_peak_energy,0.5683,0.5683,+,+,0,0.5576,-0.0107,+++,0
noise_gsm8k_mistral7b,math,cusum_max_energy,0.7062,0.7062,+,+,0,0.6973,-0.0089,+++,0
noise_gsm8k_mistral7b,math,mean_top1_logprob,0.7386,0.7386,+,+,0,0.7249,-0.0137,+++,0
noise_gsm8k_mistral7b,math,logprob_margin,0.7216,0.7216,+,+,0,0.7018,-0.0198,+++,0
noise_gsm8k_mistral7b,math,mean_logprob_entropy,0.7454,0.7454,+,+,0,0.7311,-0.0143,+++,0
noise_gsm8k_mistral7b,math,varentropy,0.7517,0.7517,+,+,0,0.7302,-0.0215,+++,0
noise_gsm8k_mistral7b,math,renyi_entropy_2,0.7413,0.7413,+,+,0,0.7287,-0.0125,+++,0
noise_gsm8k_mistral7b,math,topk_tail_mass,0.7656,0.7656,+,+,0,0.7548,-0.0108,+++,0
noise_gsm8k_phi3mini,math,epr,0.6683,0.6683,+,+,0,0.6608,-0.0075,+++,0
noise_gsm8k_phi3mini,math,trace_length,0.4233,0.5767,-,-,1,0.5394,-0.0373,---,0
noise_gsm8k_phi3mini,math,spectral_entropy,0.565,0.565,+,+,0,0.5427,-0.0223,+++,0
noise_gsm8k_phi3mini,math,low_band_power,0.5808,0.5808,+,+,0,0.5607,-0.0201,+++,0
noise_gsm8k_phi3mini,math,high_band_power,0.4192,0.5808,-,-,1,0.5672,-0.0136,---,0
noise_gsm8k_phi3mini,math,hl_ratio,0.4067,0.5933,-,-,1,0.5863,-0.007,---,0
noise_gsm8k_phi3mini,math,dominant_freq,0.4904,0.5096,-,-,1,0.5339,0.0243,-+-,1
noise_gsm8k_phi3mini,math,spectral_centroid,0.3986,0.6014,-,-,1,0.6026,0.0012,---,0
noise_gsm8k_phi3mini,math,stft_max_high_power,0.543,0.543,+,+,0,0.5297,-0.0133,+++,0
noise_gsm8k_phi3mini,math,stft_spectral_entropy,0.542,0.542,+,+,0,0.5478,0.0057,--+,1
noise_gsm8k_phi3mini,math,rpdi,0.5315,0.5315,+,+,0,0.5499,0.0185,+++,0
noise_gsm8k_phi3mini,math,sw_var_peak,0.655,0.655,+,+,0,0.6386,-0.0165,+++,0
noise_gsm8k_phi3mini,math,pe_mean,0.5185,0.5185,+,+,0,0.528,0.0095,+++,0
noise_gsm8k_phi3mini,math,hurst_exponent,0.4928,0.5072,-,-,1,0.537,0.0298,--+,1
noise_gsm8k_phi3mini,math,cusum_max,0.5701,0.5701,+,+,0,0.5496,-0.0205,+++,0
noise_gsm8k_phi3mini,math,cusum_shift_idx,0.4041,0.5959,-,-,1,0.5807,-0.0152,---,0
noise_gsm8k_phi3mini,math,epr_spilled,0.3562,0.6438,-,-,1,0.6298,-0.014,-+-,1
noise_gsm8k_phi3mini,math,sw_var_peak_spilled,0.4003,0.5997,-,-,1,0.5888,-0.011,-+-,1
noise_gsm8k_phi3mini,math,cusum_max_spilled,0.4085,0.5915,-,-,1,0.5839,-0.0076,-+-,1
noise_gsm8k_phi3mini,math,epr_energy,0.5882,0.5882,+,+,0,0.5894,0.0012,+--,1
noise_gsm8k_phi3mini,math,min_energy,0.4811,0.5189,-,-,1,0.5307,0.0118,-+-,1
noise_gsm8k_phi3mini,math,sw_var_peak_energy,0.5216,0.5216,+,+,0,0.5149,-0.0067,+-+,1
noise_gsm8k_phi3mini,math,cusum_max_energy,0.5043,0.5043,+,+,0,0.5344,0.0301,++-,1
noise_gsm8k_phi3mini,math,mean_top1_logprob,0.6645,0.6645,+,+,0,0.6529,-0.0116,+++,0
noise_gsm8k_phi3mini,math,logprob_margin,0.6516,0.6516,+,+,0,0.6468,-0.0048,+++,0
noise_gsm8k_phi3mini,math,mean_logprob_entropy,0.6699,0.6699,+,+,0,0.6618,-0.0081,+++,0
noise_gsm8k_phi3mini,math,varentropy,0.6735,0.6735,+,+,0,0.6663,-0.0072,+++,0
noise_gsm8k_phi3mini,math,renyi_entropy_2,0.6666,0.6666,+,+,0,0.6546,-0.0121,+++,0
noise_gsm8k_phi3mini,math,topk_tail_mass,0.6765,0.6765,+,+,0,0.6653,-0.0112,+++,0
sciq_llama8b,QA,epr,0.7389,0.7389,+,+,0,0.7221,-0.0167,+++,0
sciq_llama8b,QA,trace_length,0.2985,0.7015,-,-,1,0.6819,-0.0197,---,0
sciq_llama8b,QA,spectral_entropy,0.6947,0.6947,+,+,0,0.6647,-0.03,+++,0
sciq_llama8b,QA,low_band_power,0.5972,0.5972,+,+,0,0.56,-0.0373,+++,0
sciq_llama8b,QA,high_band_power,0.5232,0.5232,+,+,0,0.5806,0.0574,++-,1
sciq_llama8b,QA,hl_ratio,0.4165,0.5835,-,-,1,0.5595,-0.024,+--,1
sciq_llama8b,QA,dominant_freq,0.3939,0.6061,-,-,1,0.5954,-0.0107,--+,1
sciq_llama8b,QA,spectral_centroid,0.412,0.588,-,-,1,0.5977,0.0096,--+,1
sciq_llama8b,QA,stft_max_high_power,0.6322,0.6322,+,+,0,0.5657,-0.0665,+-+,1
sciq_llama8b,QA,stft_spectral_entropy,0.5927,0.5927,+,+,0,0.6646,0.0719,+++,0
sciq_llama8b,QA,rpdi,0.4394,0.5606,-,-,1,0.566,0.0054,+--,1
sciq_llama8b,QA,sw_var_peak,0.6906,0.6906,+,+,0,0.6673,-0.0233,+-+,1
sciq_llama8b,QA,pe_mean,0.4974,0.5026,-,-,1,0.645,0.1425,++-,1
sciq_llama8b,QA,hurst_exponent,0.3423,0.6577,-,-,1,0.6503,-0.0074,---,0
sciq_llama8b,QA,cusum_max,0.7195,0.7195,+,+,0,0.704,-0.0155,+++,0
sciq_llama8b,QA,cusum_shift_idx,0.522,0.522,+,+,0,0.5476,0.0255,+--,1
sciq_llama8b,QA,epr_spilled,0.3056,0.6944,-,-,1,0.6814,-0.0131,-+-,1
sciq_llama8b,QA,sw_var_peak_spilled,0.3356,0.6644,-,-,1,0.6229,-0.0414,+--,1
sciq_llama8b,QA,cusum_max_spilled,0.2904,0.7096,-,-,1,0.6822,-0.0273,---,0
sciq_llama8b,QA,min_spilled,0.439,0.561,-,-,1,0.6002,0.0392,-+-,1
sciq_llama8b,QA,epr_energy,0.2781,0.7219,-,-,1,0.696,-0.0259,---,0
sciq_llama8b,QA,min_energy,0.3059,0.6941,-,-,1,0.6479,-0.0462,---,0
sciq_llama8b,QA,sw_var_peak_energy,0.4128,0.5872,-,-,1,0.5619,-0.0253,---,0
sciq_llama8b,QA,cusum_max_energy,0.6503,0.6503,+,+,0,0.6388,-0.0115,+++,0
sciq_llama8b,QA,mean_top1_logprob,0.7279,0.7279,+,+,0,0.7046,-0.0233,+++,0
sciq_llama8b,QA,logprob_margin,0.7409,0.7409,+,+,0,0.6865,-0.0545,+++,0
sciq_llama8b,QA,mean_logprob_entropy,0.7354,0.7354,+,+,0,0.7321,-0.0033,+++,0
sciq_llama8b,QA,varentropy,0.7438,0.7438,+,+,0,0.7223,-0.0215,+++,0
sciq_llama8b,QA,renyi_entropy_2,0.7308,0.7308,+,+,0,0.7122,-0.0186,+++,0
sciq_llama8b,QA,topk_tail_mass,0.7236,0.7236,+,+,0,0.7049,-0.0187,+++,0
se_nq_open_llama8b,QA,epr,0.7416,0.7416,+,+,0,0.7243,-0.0173,+++,0
se_nq_open_llama8b,QA,trace_length,0.3782,0.6218,-,-,1,0.617,-0.0047,---,0
