file,cell,variant,auroc_now,auroc_csv,delta,K_now,K_csv,p_pool_csv,p_pool_now,stale
a1_residual__c46.csv,ars_gsm8k_r1distill8b,a1.good5+K_ah,0.7500404007756949,0.7426874595992243,0.007352941176470562,3,4,30,30,True
a1_residual__c46.csv,ars_gsm8k_r1distill8b,a1.good5+K_kn,0.7500404007756949,0.7426874595992243,0.007352941176470562,3,4,30,30,True
a1_residual__c46.csv,ars_gsm8k_r1distill8b,a1.minres+K_ah,0.5089891725921137,0.5089891725921137,0.0,2,2,30,30,False
a1_residual__c46.csv,inside_coqa_llama7b,a1.relres_greedy,0.5710803317129327,0.5710803317129327,0.0,2,2,27,27,False
a1_residual__c46.csv,inside_coqa_llama7b,a1.upcrres_greedy,0.6035812635350106,0.6035812635350106,0.0,2,2,27,27,False
a1_residual__c46.csv,inside_coqa_llama7b,a1.good5+K_ah,0.6840627757131781,0.5959497586698771,0.08811301704330099,2,4,27,27,True
a1_residual__c46.csv,inside_coqa_llama7b,a1.good5+K_kn,0.6840627757131781,0.5959497586698771,0.08811301704330099,2,4,27,27,True
a1_residual__c46.csv,inside_coqa_llama7b,a1.minres+K_ah,0.5710803317129327,0.5710803317129327,0.0,2,2,27,27,False
a1_residual__c46.csv,lapeigvals_gsm8k_llama3b,a1.relres_greedy,0.6097667122815837,0.6097667122815837,0.0,2,2,30,30,False
a1_residual__c46.csv,lapeigvals_gsm8k_llama3b,a1.upcrres_greedy,0.6401029593841056,0.6401029593841056,0.0,2,2,30,30,False
a1_residual__c46.csv,lapeigvals_gsm8k_llama3b,a1.good5+K_ah,0.6845053574254569,0.6845053574254569,0.0,2,2,30,30,False
a1_residual__c46.csv,lapeigvals_gsm8k_llama3b,a1.good5+K_kn,0.6845053574254569,0.6930767726980759,-0.008571415272618954,2,4,30,30,True
a1_residual__c46.csv,lapeigvals_gsm8k_llama3b,a1.minres+K_ah,0.6097667122815837,0.6097667122815837,0.0,2,2,30,30,False
a1_residual__c46.csv,lapeigvals_gsm8k_llama8b,a1.relres_greedy,0.7935383137160701,0.7935383137160701,0.0,2,2,29,29,False
a1_residual__c46.csv,lapeigvals_gsm8k_llama8b,a1.upcrres_greedy,0.7811674273360557,0.7811674273360557,0.0,2,2,29,29,False
a1_residual__c46.csv,lapeigvals_gsm8k_llama8b,a1.good5+K_ah,0.8152374089198494,0.8146568980703018,0.0005805108495475775,3,4,29,29,True
a1_residual__c46.csv,lapeigvals_gsm8k_llama8b,a1.good5+K_kn,0.8152374089198494,0.8146568980703018,0.0005805108495475775,3,4,29,29,True
a1_residual__c46.csv,lapeigvals_gsm8k_llama8b,a1.minres+K_ah,0.7935383137160701,0.7935383137160701,0.0,2,2,29,29,False
a1_residual__c46.csv,lapeigvals_gsm8k_mistral24b,a1.relres_greedy,0.8279626961862159,0.8279626961862159,0.0,2,2,30,30,False
a1_residual__c46.csv,lapeigvals_gsm8k_mistral24b,a1.upcrres_greedy,0.6653195845022366,0.6653195845022366,0.0,2,2,30,30,False
a1_residual__c46.csv,lapeigvals_gsm8k_mistral24b,a1.good5+K_ah,0.8006065660777921,0.8006065660777921,0.0,2,2,30,30,False
a1_residual__c46.csv,lapeigvals_gsm8k_mistral24b,a1.good5+K_kn,0.8006065660777921,0.8071119872621123,-0.0065054211843201815,2,4,30,30,True
a1_residual__c46.csv,lapeigvals_gsm8k_mistral24b,a1.minres+K_ah,0.8279626961862159,0.8279626961862159,0.0,2,2,30,30,False
a1_residual__c46.csv,lapeigvals_gsm8k_nemo,a1.relres_greedy,0.748933577087142,0.748933577087142,0.0,2,2,29,29,False
a1_residual__c46.csv,lapeigvals_gsm8k_nemo,a1.upcrres_greedy,0.7634938045906967,0.7634938045906967,0.0,2,2,29,29,False
a1_residual__c46.csv,lapeigvals_gsm8k_nemo,a1.good5+K_ah,0.7820434694292099,0.7226569165143206,0.05938655291488926,3,2,29,29,True
a1_residual__c46.csv,lapeigvals_gsm8k_nemo,a1.good5+K_kn,0.7820434694292099,0.7755636806825107,0.006479788746699189,3,4,29,29,True
a1_residual__c46.csv,lapeigvals_gsm8k_nemo,a1.minres+K_ah,0.748933577087142,0.748933577087142,0.0,2,2,29,29,False
a1_residual__c46.csv,lapeigvals_gsm8k_phi35,a1.relres_greedy,0.5849286661504641,0.5849286661504641,0.0,2,2,29,29,False
a1_residual__c46.csv,lapeigvals_gsm8k_phi35,a1.upcrres_greedy,0.772265684101852,0.772265684101852,0.0,2,2,29,29,False
a1_residual__c46.csv,lapeigvals_gsm8k_phi35,a1.good5+K_ah,0.803166635516514,0.7426018387490099,0.06056479676750415,4,2,29,29,True
a1_residual__c46.csv,lapeigvals_gsm8k_phi35,a1.good5+K_kn,0.803166635516514,0.803166635516514,0.0,4,4,29,29,False
a1_residual__c46.csv,lapeigvals_gsm8k_phi35,a1.minres+K_ah,0.5849286661504641,0.5849286661504641,0.0,2,2,29,29,False
a1_residual__c46.csv,losnet_hotpotqa_mistral7b,a1.relres_greedy,0.5332415667065911,0.5332415667065911,0.0,2,2,29,29,False
a1_residual__c46.csv,losnet_hotpotqa_mistral7b,a1.upcrres_greedy,0.5029228266504585,0.5029228266504585,0.0,2,2,29,29,False
a1_residual__c46.csv,losnet_hotpotqa_mistral7b,a1.good5+K_ah,0.5753946262893509,0.5753946262893509,0.0,2,2,29,29,False
