auroc,budget,cell_id,eligibility,error_auprc,error_prevalence,final_auroc_same_cohort,method_id,n,n_correct,n_error,ordered_id_sha256,population_id,positive_class,prevalence_normalized_ap,recovered_above_chance_signal
,512,processbench@e8024636bcab::llama31_8b::gsm8k,final_length_strictly_greater_than_budget,1.0,1.0,,unified28,1,0,1,349a474ba1135878e996a2ee5442cfee99e8246427c976da8fab3136f2a2bcb5,prefix_historical_common_v1::processbench@e8024636bcab::llama31_8b::gsm8k::f3b478b8f258f8bb,error/risk,,
0.5788772280526403,16,processbench@e8024636bcab::llama31_8b::math,final_length_strictly_greater_than_budget,0.5796822469659494,0.5077821011673151,0.7272727272727273,historical_deepconf_entropy_w64_proxy,514,253,261,d8c9868f6437ab66ec3f68ac9db40dcea795427da2c400acf29d7b1fbce2c93d,prefix_historical_common_v1::processbench@e8024636bcab::llama31_8b::math::d8c9868f6437ab66,error/risk,0.14607381399406325,0.3470598034316173
0.5806339254615117,32,processbench@e8024636bcab::llama31_8b::math,final_length_strictly_greater_than_budget,0.5865130971470004,0.5077821011673151,0.7272727272727273,historical_deepconf_entropy_w64_proxy,514,253,261,d8c9868f6437ab66ec3f68ac9db40dcea795427da2c400acf29d7b1fbce2c93d,prefix_historical_common_v1::processbench@e8024636bcab::llama31_8b::math::d8c9868f6437ab66,error/risk,0.15995150961880716,0.3547892720306515
0.6239809990806007,64,processbench@e8024636bcab::llama31_8b::math,final_length_strictly_greater_than_budget,0.6496424735988942,0.5088062622309197,0.7276892430278884,historical_deepconf_entropy_w64_proxy,511,251,260,2272b7c330fcfe7780da0f97089171647663170380ac3bc46bf6eb6dfce7da97,prefix_historical_common_v1::processbench@e8024636bcab::llama31_8b::math::d8c9868f6437ab66,error/risk,0.2867223267292228,0.5445184736523321
0.628690029272165,128,processbench@e8024636bcab::llama31_8b::math,final_length_strictly_greater_than_budget,0.6363900628739821,0.5142276422764228,0.7268096647758281,historical_deepconf_entropy_w64_proxy,492,239,253,81db785341c0afa9a39b9d8fa79a06da7acdbedffabf924e4beaf26371a283dd,prefix_historical_common_v1::processbench@e8024636bcab::llama31_8b::math::d8c9868f6437ab66,error/risk,0.2514807988870259,0.5673921761639142
0.6176470588235294,256,processbench@e8024636bcab::llama31_8b::math,final_length_strictly_greater_than_budget,0.6625072212384028,0.5566750629722922,0.7056766762649116,historical_deepconf_entropy_w64_proxy,397,176,221,77502f458a76aa52f59b3b9e708a4fa7768bf5ab7772e246de20eb31a3c05cd9,prefix_historical_common_v1::processbench@e8024636bcab::llama31_8b::math::d8c9868f6437ab66,error/risk,0.23872367517980628,0.5720000000000001
0.6465846994535519,512,processbench@e8024636bcab::llama31_8b::math,final_length_strictly_greater_than_budget,0.774377934473473,0.6629834254143646,0.6967213114754098,historical_deepconf_entropy_w64_proxy,181,61,120,93d317bc5a2b9db994742635b7ecc47e6980acf1b97c8fcfe128427b1af315c5,prefix_historical_common_v1::processbench@e8024636bcab::llama31_8b::math::d8c9868f6437ab66,error/risk,0.3305312481917807,0.7451388888888889
0.593506277164448,16,processbench@e8024636bcab::llama31_8b::math,final_length_strictly_greater_than_budget,0.5880777869337032,0.5077821011673151,0.7043447972983206,iu28_no_length,514,253,261,d8c9868f6437ab66ec3f68ac9db40dcea795427da2c400acf29d7b1fbce2c93d,prefix_historical_common_v1::processbench@e8024636bcab::llama31_8b::math::d8c9868f6437ab66,error/risk,0.16313036554910448,0.4575906918145771
0.6027592264473823,32,processbench@e8024636bcab::llama31_8b::math,final_length_strictly_greater_than_budget,0.6028823095290614,0.5077821011673151,0.7043447972983206,iu28_no_length,514,253,261,d8c9868f6437ab66ec3f68ac9db40dcea795427da2c400acf29d7b1fbce2c93d,prefix_historical_common_v1::processbench@e8024636bcab::llama31_8b::math::d8c9868f6437ab66,error/risk,0.19320753793651216,0.502871753066291
0.5934875881091021,64,processbench@e8024636bcab::llama31_8b::math,final_length_strictly_greater_than_budget,0.613034016043077,0.5088062622309197,0.7012258657676984,iu28_no_length,511,251,260,2272b7c330fcfe7780da0f97089171647663170380ac3bc46bf6eb6dfce7da97,prefix_historical_common_v1::processbench@e8024636bcab::llama31_8b::math::d8c9868f6437ab66,error/risk,0.2121927577610053,0.4645903137374354
