variant,pool_mode,n_cells,macro_auroc,macro_repgrid,delta_vs_good5,wilcoxon_p,wins,ties,losses,sign_p,mean_pctile,frac_cells_above_random,gap_captured,gap_captured_rag_gpqa,n_nan_auroc,n_fallback,mean_size,mean_seconds,G_floor,G_macro,G_domain
a1.minres+K_ah,c46,25,0.6955,0.6955,-0.0413,0.00202,5,0,14,0.06357,,,-0.607,,0,0,3.12,20.94,n/a,FAIL,n/a
a1.relres_greedy,c46,25,0.6952,0.6952,-0.0416,0.00202,5,0,14,0.06357,,,-0.608,,0,0,3.12,20.94,n/a,FAIL,n/a
ref.ALL_H16,c46,25,0.6919,0.6919,-0.0449,1e-05,1,0,18,8e-05,,,-0.833,,0,0,15.32,0.0,n/a,FAIL,n/a
a3.cae_k6,c46,25,0.691,0.691,-0.0458,0.00097,5,0,14,0.06357,,,-0.594,,0,0,6.0,53.233,n/a,FAIL,n/a
a1.router@minres,c46,25,0.6851,0.6851,-0.0517,0.00034,4,0,15,0.01921,,,-0.679,,0,0,3.12,20.94,n/a,FAIL,n/a
kurtosis_s4,c46,25,0.6804,0.6804,-0.0564,0.00618,5,0,14,0.06357,,,-0.52,,0,0,4.0,0.009,n/a,FAIL,n/a
mad_s6,c46,25,0.6779,0.6779,-0.0589,0.00021,3,0,16,0.00443,,,-0.696,,0,0,6.0,0.009,n/a,FAIL,n/a
mad_s5,c46,25,0.6713,0.6713,-0.0655,0.00016,1,0,18,8e-05,,,-0.708,,0,0,5.0,0.009,n/a,FAIL,n/a
decorr_s6,c46,25,0.6617,0.6617,-0.0751,0.0,0,0,19,0.0,,,-0.976,,0,0,6.0,0.009,n/a,FAIL,n/a
a6.dufs,c46,51,0.6523,0.6523,-0.0844,0.67943,11,0,8,0.64761,,,0.084,,0,0,18.57,98.351,n/a,FAIL,n/a
a6.pl_dufs_noseed,c46,51,0.652,0.652,-0.0848,0.67943,9,0,10,1.0,,,0.021,,0,0,15.71,98.351,n/a,FAIL,n/a
a6.pl_dufs,c46,51,0.651,0.651,-0.0858,0.25793,13,0,6,0.16707,,,0.15,,0,0,19.71,98.351,n/a,FAIL,n/a
mad_s4,c46,25,0.6503,0.6503,-0.0865,1e-05,1,0,18,8e-05,,,-0.873,,0,0,4.0,0.009,n/a,FAIL,n/a
a6.pl_rank,c46,51,0.6402,0.6402,-0.0965,0.14458,13,1,5,0.09625,,,0.315,,0,0,19.71,98.351,n/a,FAIL,n/a
decorr_s5,c46,25,0.6401,0.6401,-0.0967,0.0,0,0,19,0.0,,,-0.94,,0,0,5.0,0.009,n/a,FAIL,n/a
decorr_s4,c46,25,0.6284,0.6284,-0.1084,0.0,0,0,19,0.0,,,-0.905,,0,0,4.0,0.009,n/a,FAIL,n/a
ref.top_macro_5,h16,57,0.687,0.7489,0.0141,0.31588,30,0,21,0.26244,80.95,0.902,-0.016,0.02,0,0,5.0,0.0,PASS,PASS,FAIL
ref.GOOD_5,h16,57,0.6863,0.7519,0.0134,0.73183,30,1,20,0.20264,79.99,0.882,-0.0,0.0,0,0,5.0,0.0,PASS,PASS,FAIL
a1.good5+K_kn,h16,57,0.6858,0.7467,0.0129,0.75519,17,13,21,0.6271,,,-0.042,0.019,0,0,5.0,15.168,n/a,PASS,FAIL
a1.router@good5,h16,57,0.6853,0.7496,0.0124,0.86585,29,1,21,0.32224,83.42,0.892,-0.028,-0.064,0,0,5.0,15.168,PASS,PASS,FAIL
a4.good5+K_intrinsic_kn,h16,57,0.6842,0.7472,0.0113,0.23192,18,8,25,0.36038,,,-0.053,-0.01,0,0,5.0,0.052,n/a,PASS,FAIL
a1.good5+K_ah,h16,57,0.6831,0.7445,0.0102,0.36218,16,15,20,0.61772,,,-0.056,0.001,0,0,5.0,15.168,n/a,PASS,FAIL
a4.good5+K_intrinsic_ah,h16,57,0.6814,0.7413,0.0085,0.12832,10,28,13,0.67764,,,-0.103,-0.055,0,0,5.0,0.052,n/a,PASS,FAIL
a2.groups@good5,h16,57,0.681,0.7397,0.008,0.06044,18,1,32,0.06491,,,-0.083,0.01,0,0,5.0,18.014,n/a,PASS,FAIL
ref.consensus_4,h16,57,0.6791,0.7242,0.0062,0.05706,17,0,34,0.02409,71.67,0.804,-0.297,-0.017,0,0,4.0,0.0,PASS,PASS,FAIL
a4.anchor_s4,h16,57,0.6746,0.7398,0.0017,0.1175,25,0,26,1.0,75.58,0.824,-0.181,-0.134,0,0,4.0,0.052,PASS,PASS,FAIL
a5.mrmr_a0.0_s4,h16,57,0.6746,0.7398,0.0017,0.1175,25,0,26,1.0,75.58,0.824,-0.181,-0.134,0,0,4.0,0.014,PASS,PASS,FAIL
a4.anchor_adapt,h16,57,0.6737,0.7391,0.0008,0.13612,20,0,31,0.16078,74.8,0.804,-0.193,-0.123,0,0,3.67,0.052,PASS,PASS,FAIL
a5.mrmr_a0.3_s5,h16,57,0.6725,0.7358,-0.0004,0.05234,23,0,28,0.57585,72.0,0.765,-0.231,-0.122,0,0,5.0,0.014,PASS,PASS,FAIL
a4.anchor_s5,h16,57,0.6722,0.7363,-0.0007,0.03659,23,0,28,0.57585,73.35,0.784,-0.205,-0.106,0,0,5.0,0.052,PASS,PASS,FAIL
a5.mrmr_a0.0_s5,h16,57,0.6722,0.7363,-0.0007,0.03659,23,0,28,0.57585,73.35,0.784,-0.205,-0.106,0,0,5.0,0.014,PASS,PASS,FAIL
a5.mrmr_a0.3_s4,h16,57,0.6713,0.7319,-0.0016,0.02447,21,0,30,0.26244,72.51,0.784,-0.244,-0.121,0,0,4.0,0.014,PASS,PASS,FAIL
a5.mrmr_a0.5_s5,h16,57,0.6711,0.7325,-0.0018,0.02896,21,0,30,0.26244,71.36,0.765,-0.25,-0.1,0,0,5.0,0.014,PASS,PASS,FAIL
a4.intrinsic_k_ah,h16,57,0.6706,0.7379,-0.0023,0.09338,23,0,28,0.57585,,,-0.198,-0.12,0,0,4.4,0.052,n/a,PASS,FAIL
a5.mrmr_a0.7_s5,h16,57,0.6693,0.7288,-0.0036,0.01817,21,0,30,0.26244,70.37,0.745,-0.289,-0.121,0,0,5.0,0.014,PASS,PASS,FAIL
a5.mrmr_a0.7_adapt,h16,57,0.6689,0.7303,-0.004,0.01169,17,0,34,0.02409,69.36,0.725,-0.292,-0.12,0,0,5.77,0.014,PASS,PASS,FAIL
a5.mrmr_a0.5_s4,h16,57,0.6685,0.7297,-0.0045,0.00438,17,0,34,0.02409,70.14,0.725,-0.32,-0.168,0,0,4.0,0.014,PASS,PASS,FAIL
a4.anchor_s6,h16,57,0.6683,0.7346,-0.0046,0.01684,21,0,30,0.26244,71.72,0.784,-0.282,-0.134,0,0,6.0,0.052,PASS,PASS,FAIL
a5.mrmr_a0.0_s6,h16,57,0.6683,0.7346,-0.0046,0.01684,21,0,30,0.26244,71.72,0.784,-0.282,-0.134,0,0,6.0,0.014,PASS,PASS,FAIL
a5.mrmr_a0.3_s6,h16,57,0.6679,0.7307,-0.005,0.01817,19,0,32,0.09191,70.49,0.745,-0.305,-0.126,0,0,6.0,0.014,PASS,PASS,FAIL
a5.mrmr_a0.5_s6,h16,57,0.6678,0.7309,-0.0051,0.02507,20,0,31,0.16078,70.69,0.745,-0.265,-0.145,0,0,6.0,0.014,PASS,FAIL,FAIL
a5.mrmr_a0.7_s6,h16,57,0.6673,0.729,-0.0056,0.00413,15,0,36,0.0046,70.28,0.784,-0.337,-0.155,0,0,6.0,0.014,PASS,FAIL,FAIL
a5.mrmr_a0.3_adapt,h16,57,0.6663,0.7245,-0.0067,0.0013,14,0,37,0.00177,68.05,0.765,-0.355,-0.121,0,0,7.65,0.014,PASS,FAIL,FAIL
a5.mrmr_a0.5_adapt,h16,57,0.6651,0.7275,-0.0078,0.00734,16,0,35,0.01097,69.07,0.745,-0.328,-0.151,0,0,6.86,0.014,PASS,FAIL,FAIL
a5.mrmr_a0.7_s4,h16,57,0.6636,0.7284,-0.0093,0.00356,16,0,35,0.01097,68.73,0.706,-0.362,-0.153,0,0,4.0,0.014,PASS,FAIL,FAIL
a5.mrmr_a0.0_adapt,h16,57,0.6626,0.7217,-0.0103,0.0002,14,0,37,0.00177,66.0,0.765,-0.368,-0.161,0,0,8.0,0.014,PASS,FAIL,FAIL
epr.alone,h16,51,0.6603,0.7125,-0.0126,0.07492,19,0,32,0.09191,,,-0.233,-0.065,0,0,1.0,0.0,n/a,FAIL,FAIL
kurtosis_s6,h16,57,0.6552,0.6972,-0.0177,0.00144,17,0,34,0.02409,63.94,0.706,-0.345,-0.073,0,0,6.0,0.002,PASS,FAIL,FAIL
ref.STABLE_H9,h16,57,0.6548,0.7025,-0.0181,1e-05,11,0,40,6e-05,54.83,0.569,-0.489,-0.101,0,0,8.95,0.0,PASS,FAIL,FAIL
ref.ALL_H16,h16,57,0.652,0.6919,-0.0209,8e-05,14,0,37,0.00177,50.0,0.0,-0.474,-0.107,0,0,15.26,0.0,FAIL,FAIL,FAIL
kurtosis_s5,h16,57,0.6516,0.697,-0.0213,3e-05,13,0,38,0.00062,61.96,0.627,-0.426,-0.213,0,0,5.0,0.002,PASS,FAIL,FAIL
a2.dufs,h16,57,0.6463,0.6828,-0.0266,0.0001,14,0,37,0.00177,52.11,0.51,-0.45,-0.113,0,0,10.26,18.014,PASS,FAIL,FAIL
a2.select,h16,57,0.6461,0.6786,-0.0268,7e-05,17,0,34,0.02409,50.78,0.235,-0.468,-0.125,0,0,11.51,18.014,FAIL,FAIL,FAIL
random_s6,h16,57,0.6457,0.7009,-0.0272,4e-05,13,0,38,0.00062,54.6,0.529,-0.537,-0.118,0,0,6.0,0.002,PASS,FAIL,FAIL
lapscore_s6,h16,57,0.6447,0.6858,-0.0282,9e-05,16,0,35,0.01097,56.13,0.569,-0.434,-0.085,0,0,6.0,0.139,PASS,FAIL,FAIL
a2.select+groups,h16,57,0.6446,0.6823,-0.0283,9e-05,16,0,35,0.01097,,,-0.472,-0.168,0,0,11.51,18.014,n/a,FAIL,FAIL
spec_s6,h16,57,0.6446,0.6858,-0.0283,8e-05,16,0,35,0.01097,56.08,0.569,-0.436,-0.088,0,0,6.0,0.139,PASS,FAIL,FAIL
kurtosis_s4,h16,57,0.641,0.6796,-0.032,0.0,8,0,43,0.0,59.87,0.627,-0.495,-0.199,0,0,4.0,0.002,PASS,FAIL,FAIL
a3.cae_k3,h16,57,0.6346,0.6932,-0.0383,0.0,8,0,43,0.0,59.98,0.588,-0.529,-0.262,0,0,3.0,51.017,PASS,FAIL,FAIL
decorr_s6,h16,57,0.6346,0.6736,-0.0383,1e-05,10,0,41,1e-05,42.3,0.392,-0.588,-0.26,0,0,6.0,0.002,FAIL,FAIL,FAIL
a3.cae,h16,57,0.633,0.6836,-0.0399,9e-05,12,0,39,0.0002,56.84,0.647,-0.508,-0.13,0,0,5.35,51.017,PASS,FAIL,FAIL
spec_adapt,h16,57,0.6323,0.6646,-0.0406,4e-05,16,0,35,0.01097,55.17,0.667,-0.466,-0.11,0,0,5.3,0.139,PASS,FAIL,FAIL
a3.cae_k8,h16,57,0.6322,0.6977,-0.0407,0.0,10,0,41,1e-05,44.97,0.392,-0.558,-0.315,0,0,8.0,51.017,FAIL,FAIL,FAIL
lapscore_adapt,h16,57,0.631,0.6646,-0.0419,1e-05,15,0,36,0.0046,54.11,0.647,-0.487,-0.16,0,0,5.25,0.139,PASS,FAIL,FAIL
a3.cae_k7,h16,57,0.63,0.6885,-0.0429,2e-05,14,0,37,0.00177,50.43,0.431,-0.525,-0.284,0,0,7.0,51.017,FAIL,FAIL,FAIL
spec_s4,h16,57,0.63,0.6743,-0.0429,0.0,8,0,43,0.0,53.96,0.627,-0.516,-0.183,0,0,4.0,0.139,PASS,FAIL,FAIL
lapscore_s4,h16,57,0.6297,0.6743,-0.0432,0.0,8,0,43,0.0,53.83,0.627,-0.521,-0.194,0,0,4.0,0.139,PASS,FAIL,FAIL
lapscore_s5,h16,57,0.6293,0.6669,-0.0436,2e-05,13,0,38,0.00062,53.65,0.529,-0.478,-0.164,0,0,5.0,0.139,PASS,FAIL,FAIL
spec_s5,h16,57,0.6293,0.6669,-0.0436,2e-05,13,0,38,0.00062,53.66,0.529,-0.478,-0.163,0,0,5.0,0.139,PASS,FAIL,FAIL
a3.cae_k5,h16,57,0.6292,0.6902,-0.0437,0.0,8,0,43,0.0,52.47,0.608,-0.621,-0.286,0,0,5.0,51.017,PASS,FAIL,FAIL
a4.recon_s5,h16,57,0.629,0.6749,-0.0439,1e-05,11,0,40,6e-05,51.24,0.549,-0.556,-0.243,0,0,5.0,0.052,PASS,FAIL,FAIL
a3.cae_k4,h16,57,0.6272,0.6843,-0.0458,3e-05,11,0,40,6e-05,58.75,0.686,-0.5,-0.098,0,0,4.0,51.017,PASS,FAIL,FAIL
