variant,pool_mode,n_cells,macro_all,macro_qa,macro_math,delta_vs_good5_all,wilcoxon_p,wins,ties,losses,G_macro
spec_s5,h16,25,0.6669,0.6221,0.6968,-0.085,0.0,2,0,23,FAIL
a1.relres_exh_s5,h16,19,0.6662,0.655,0.6786,-0.0706,2e-05,2,0,17,FAIL
lapscore_adapt,h16,25,0.6646,0.619,0.6951,-0.0873,0.0,2,0,23,FAIL
spec_adapt,h16,25,0.6646,0.619,0.6951,-0.0873,0.0,2,0,23,FAIL
a1.relres_exh_s6,h16,19,0.6644,0.6321,0.7004,-0.0724,0.0,0,0,19,FAIL
random_s4,h16,25,0.6637,0.6391,0.6801,-0.0882,0.0,1,0,24,FAIL
mcfs_adapt,h16,25,0.6633,0.6284,0.6866,-0.0886,0.0,3,0,22,FAIL
a4.recon_adapt,h16,25,0.6629,0.5998,0.705,-0.089,0.0,3,0,22,FAIL
a1.relres_exh_s4,h16,19,0.6616,0.6368,0.689,-0.0752,1e-05,1,0,18,FAIL
mcfs_s5,h16,25,0.6608,0.629,0.6819,-0.0911,0.0,2,0,23,FAIL
a1.minres_exh_s6,h16,19,0.6604,0.6443,0.6783,-0.0764,1e-05,1,0,18,FAIL
a1.minres_exh_s5,h16,19,0.6578,0.6518,0.6645,-0.079,0.0,0,0,19,FAIL
a1.minres_exh_s4,h16,19,0.6576,0.6338,0.6841,-0.0791,1e-05,1,0,18,FAIL
a4.recon_s4,h16,25,0.6574,0.6069,0.691,-0.0945,0.0,2,0,23,FAIL
a1.upcrres_greedy,h16,25,0.6559,0.6455,0.6628,-0.096,0.0,2,0,23,FAIL
mcfs_s4,h16,25,0.654,0.6292,0.6706,-0.0979,0.0,1,0,24,FAIL
mad_s6,h16,25,0.649,0.6555,0.6448,-0.1029,0.0,2,0,23,FAIL
mad_s5,h16,25,0.6474,0.6367,0.6545,-0.1045,0.0,2,0,23,FAIL
decorr_s5,h16,25,0.6315,0.5805,0.6655,-0.1204,0.0,0,0,25,FAIL
mad_s4,h16,25,0.6231,0.6225,0.6234,-0.1288,0.0,3,0,22,FAIL
decorr_s4,h16,25,0.618,0.6045,0.6271,-0.1339,0.0,0,0,25,FAIL
