domain,cell,size,n,objective,spearman
math500,DeepSeek-R1-Distill-Llama-8B_T1.5,5,34,upcr_k1,-0.125
math500,DeepSeek-R1-Distill-Llama-8B_T1.5,6,34,upcr_k1,-0.3916
gsm8k,Llama-8B_T1.0,3,560,eq14_raw,-0.195
gsm8k,Llama-8B_T1.0,3,560,eq14_rel,-0.3981
gsm8k,Llama-8B_T1.0,3,560,rho_mean,0.3156
gsm8k,Llama-8B_T1.0,3,560,rho_max,0.2064
gsm8k,Llama-8B_T1.0,4,1820,eq14_raw,0.1016
gsm8k,Llama-8B_T1.0,4,1820,eq14_rel,-0.2107
gsm8k,Llama-8B_T1.0,4,1820,rho_mean,0.2394
gsm8k,Llama-8B_T1.0,4,1820,rho_max,0.0806
gsm8k,Llama-8B_T1.0,4,1820,K,-0.0807
gsm8k,Llama-8B_T1.0,5,4368,eq14_raw,0.2538
gsm8k,Llama-8B_T1.0,5,4368,eq14_rel,0.0207
gsm8k,Llama-8B_T1.0,5,4368,rho_mean,0.2119
gsm8k,Llama-8B_T1.0,5,4368,rho_max,0.074
gsm8k,Llama-8B_T1.0,5,4368,K,-0.0705
gsm8k,Llama-8B_T1.0,6,8008,eq14_raw,0.2977
gsm8k,Llama-8B_T1.0,6,8008,eq14_rel,0.1753
gsm8k,Llama-8B_T1.0,6,8008,rho_mean,0.2049
gsm8k,Llama-8B_T1.0,6,8008,rho_max,0.1119
gsm8k,Llama-8B_T1.0,6,8008,K,0.04
gsm8k,Llama-8B_T1.0,7,11440,eq14_raw,0.3055
gsm8k,Llama-8B_T1.0,7,11440,eq14_rel,0.2338
gsm8k,Llama-8B_T1.0,7,11440,rho_mean,0.2008
gsm8k,Llama-8B_T1.0,7,11440,rho_max,0.1421
gsm8k,Llama-8B_T1.0,7,11440,K,0.1
gsm8k,Llama-8B_T1.0,8,12870,eq14_raw,0.2929
gsm8k,Llama-8B_T1.0,8,12870,eq14_rel,0.2363
gsm8k,Llama-8B_T1.0,8,12870,rho_mean,0.1844
gsm8k,Llama-8B_T1.0,8,12870,rho_max,0.1686
gsm8k,Llama-8B_T1.0,8,12870,K,0.149
gsm8k,Llama-8B_T1.0,9,11440,eq14_raw,0.2821
gsm8k,Llama-8B_T1.0,9,11440,eq14_rel,0.2236
gsm8k,Llama-8B_T1.0,9,11440,rho_mean,0.1777
gsm8k,Llama-8B_T1.0,9,11440,rho_max,0.2168
gsm8k,Llama-8B_T1.0,9,11440,K,0.1914
gsm8k,Llama-8B_T1.0,10,8008,eq14_raw,0.289
gsm8k,Llama-8B_T1.0,10,8008,eq14_rel,0.238
gsm8k,Llama-8B_T1.0,10,8008,rho_mean,0.1868
gsm8k,Llama-8B_T1.0,10,8008,rho_max,0.2752
gsm8k,Llama-8B_T1.0,10,8008,K,0.2514
gsm8k,Llama-8B_T1.0,11,4368,eq14_raw,0.2778
gsm8k,Llama-8B_T1.0,11,4368,eq14_rel,0.2431
gsm8k,Llama-8B_T1.0,11,4368,rho_mean,0.1773
gsm8k,Llama-8B_T1.0,11,4368,rho_max,0.3096
gsm8k,Llama-8B_T1.0,11,4368,K,0.3429
gsm8k,Llama-8B_T1.0,12,1820,eq14_raw,0.2577
gsm8k,Llama-8B_T1.0,12,1820,eq14_rel,0.2475
gsm8k,Llama-8B_T1.0,12,1820,rho_mean,0.1512
gsm8k,Llama-8B_T1.0,12,1820,rho_max,0.331
gsm8k,Llama-8B_T1.0,12,1820,K,0.4291
gsm8k,Llama-8B_T1.0,13,560,eq14_raw,0.2225
gsm8k,Llama-8B_T1.0,13,560,eq14_rel,0.2592
gsm8k,Llama-8B_T1.0,13,560,rho_mean,0.0969
gsm8k,Llama-8B_T1.0,13,560,rho_max,0.3416
gsm8k,Llama-8B_T1.0,13,560,K,0.4601
gsm8k,Llama-8B_T1.0,14,120,eq14_raw,0.1053
gsm8k,Llama-8B_T1.0,14,120,eq14_rel,0.1388
gsm8k,Llama-8B_T1.0,14,120,rho_mean,-0.0057
gsm8k,Llama-8B_T1.0,14,120,rho_max,0.3474
gsm8k,Llama-8B_T1.0,14,120,K,0.4709
gsm8k,Llama-8B_T1.0,4,34,upcr_k1,0.0463
gsm8k,Llama-8B_T1.0,5,34,upcr_k1,0.4365
gsm8k,Llama-8B_T1.0,6,34,upcr_k1,0.3375
gpqa,Llama-8B_T1.0,3,560,eq14_raw,0.1308
gpqa,Llama-8B_T1.0,3,560,eq14_rel,-0.0868
gpqa,Llama-8B_T1.0,3,560,rho_mean,0.1422
gpqa,Llama-8B_T1.0,3,560,rho_max,0.1968
gpqa,Llama-8B_T1.0,4,1820,eq14_raw,0.2162
gpqa,Llama-8B_T1.0,4,1820,eq14_rel,0.0172
gpqa,Llama-8B_T1.0,4,1820,rho_mean,0.2269
gpqa,Llama-8B_T1.0,4,1820,rho_max,0.2085
gpqa,Llama-8B_T1.0,4,1820,K,-0.0375
gpqa,Llama-8B_T1.0,5,4368,eq14_raw,0.2586
gpqa,Llama-8B_T1.0,5,4368,eq14_rel,0.1628
gpqa,Llama-8B_T1.0,5,4368,rho_mean,0.2228
gpqa,Llama-8B_T1.0,5,4368,rho_max,0.2775
gpqa,Llama-8B_T1.0,5,4368,K,-0.0457
gpqa,Llama-8B_T1.0,6,8008,eq14_raw,0.2825
gpqa,Llama-8B_T1.0,6,8008,eq14_rel,0.2333
gpqa,Llama-8B_T1.0,6,8008,rho_mean,0.2278
gpqa,Llama-8B_T1.0,6,8008,rho_max,0.3301
gpqa,Llama-8B_T1.0,6,8008,K,0.0205
gpqa,Llama-8B_T1.0,7,11440,eq14_raw,0.3053
gpqa,Llama-8B_T1.0,7,11440,eq14_rel,0.2539
gpqa,Llama-8B_T1.0,7,11440,rho_mean,0.2613
gpqa,Llama-8B_T1.0,7,11440,rho_max,0.3614
gpqa,Llama-8B_T1.0,7,11440,K,0.0604
gpqa,Llama-8B_T1.0,8,12870,eq14_raw,0.3262
gpqa,Llama-8B_T1.0,8,12870,eq14_rel,0.2708
gpqa,Llama-8B_T1.0,8,12870,rho_mean,0.2932
gpqa,Llama-8B_T1.0,8,12870,rho_max,0.3629
gpqa,Llama-8B_T1.0,8,12870,K,0.0753
gpqa,Llama-8B_T1.0,9,11440,eq14_raw,0.3467
gpqa,Llama-8B_T1.0,9,11440,eq14_rel,0.2905
gpqa,Llama-8B_T1.0,9,11440,rho_mean,0.3177
gpqa,Llama-8B_T1.0,9,11440,rho_max,0.3462
gpqa,Llama-8B_T1.0,9,11440,K,0.1238
gpqa,Llama-8B_T1.0,10,8008,eq14_raw,0.3515
gpqa,Llama-8B_T1.0,10,8008,eq14_rel,0.2973
gpqa,Llama-8B_T1.0,10,8008,rho_mean,0.3224
gpqa,Llama-8B_T1.0,10,8008,rho_max,0.3244
gpqa,Llama-8B_T1.0,10,8008,K,0.1531
gpqa,Llama-8B_T1.0,11,4368,eq14_raw,0.3492
gpqa,Llama-8B_T1.0,11,4368,eq14_rel,0.2948
gpqa,Llama-8B_T1.0,11,4368,rho_mean,0.3279
gpqa,Llama-8B_T1.0,11,4368,rho_max,0.2961
gpqa,Llama-8B_T1.0,11,4368,K,0.168
gpqa,Llama-8B_T1.0,12,1820,eq14_raw,0.3663
gpqa,Llama-8B_T1.0,12,1820,eq14_rel,0.3209
gpqa,Llama-8B_T1.0,12,1820,rho_mean,0.3344
gpqa,Llama-8B_T1.0,12,1820,rho_max,0.2931
gpqa,Llama-8B_T1.0,12,1820,K,0.2285
gpqa,Llama-8B_T1.0,13,560,eq14_raw,0.3568
gpqa,Llama-8B_T1.0,13,560,eq14_rel,0.3232
gpqa,Llama-8B_T1.0,13,560,rho_mean,0.3056
gpqa,Llama-8B_T1.0,13,560,rho_max,0.28
gpqa,Llama-8B_T1.0,13,560,K,0.301
gpqa,Llama-8B_T1.0,14,120,eq14_raw,0.4036
gpqa,Llama-8B_T1.0,14,120,eq14_rel,0.3805
gpqa,Llama-8B_T1.0,14,120,rho_mean,0.3443
gpqa,Llama-8B_T1.0,14,120,rho_max,0.3364
gpqa,Llama-8B_T1.0,14,120,K,0.3682
gpqa,Llama-8B_T1.0,4,34,upcr_k1,0.0946
gpqa,Llama-8B_T1.0,5,34,upcr_k1,0.2662
gpqa,Llama-8B_T1.0,6,34,upcr_k1,0.063
gpqa,Qwen-7B_T1.0,3,560,eq14_raw,-0.0255
gpqa,Qwen-7B_T1.0,3,560,eq14_rel,0.1117
gpqa,Qwen-7B_T1.0,3,560,rho_mean,-0.1725
gpqa,Qwen-7B_T1.0,3,560,rho_max,-0.2021
gpqa,Qwen-7B_T1.0,4,1820,eq14_raw,-0.0866
gpqa,Qwen-7B_T1.0,4,1820,eq14_rel,0.0915
gpqa,Qwen-7B_T1.0,4,1820,rho_mean,-0.2058
gpqa,Qwen-7B_T1.0,4,1820,rho_max,-0.1783
gpqa,Qwen-7B_T1.0,4,1820,K,0.1393
gpqa,Qwen-7B_T1.0,5,4368,eq14_raw,-0.1837
gpqa,Qwen-7B_T1.0,5,4368,eq14_rel,-0.023
