method,cell,answers,clean,erroneous,clean_accuracy,error_exact_accuracy,f1,valid_decisions
shrinkage__near,pb_omnimath_q8,1000.0,241.0,759.0,0.44398340248962653,0.2318840579710145,0.3046534389180532,1000.0
diagonal__old,pb_gsm8k_q4,400.0,193.0,207.0,0.5906735751295337,0.34299516908212563,0.4339830031366451,400.0
diagonal__old,pb_gsm8k_q8,400.0,193.0,207.0,0.41968911917098445,0.3961352657004831,0.4075721780750468,400.0
diagonal__old,pb_math_q4,1000.0,406.0,594.0,0.5665024630541872,0.24579124579124578,0.3428349736594928,1000.0
diagonal__old,pb_math_q8,1000.0,406.0,594.0,0.4630541871921182,0.24915824915824916,0.3239869585468095,1000.0
diagonal__old,pb_olympiadbench_q4,1000.0,339.0,661.0,0.5309734513274337,0.23751891074130105,0.3282172784446264,1000.0
diagonal__old,pb_olympiadbench_q8,1000.0,339.0,661.0,0.4690265486725664,0.2344931921331316,0.3126665144249067,1000.0
diagonal__old,pb_omnimath_q4,1000.0,241.0,759.0,0.5062240663900415,0.2872200263504611,0.3664976298092823,1000.0
diagonal__old,pb_omnimath_q8,1000.0,241.0,759.0,0.44398340248962653,0.2872200263504611,0.3487973921690305,1000.0
diagonal__near,pb_gsm8k_q4,400.0,193.0,207.0,0.5906735751295337,0.30434782608695654,0.40171155298263284,400.0
diagonal__near,pb_gsm8k_q8,400.0,193.0,207.0,0.41968911917098445,0.28019323671497587,0.336039483566396,400.0
diagonal__near,pb_math_q4,1000.0,406.0,594.0,0.5665024630541872,0.2138047138047138,0.3104441444984111,1000.0
diagonal__near,pb_math_q8,1000.0,406.0,594.0,0.4630541871921182,0.2222222222222222,0.30031948881789133,1000.0
diagonal__near,pb_olympiadbench_q4,1000.0,339.0,661.0,0.5309734513274337,0.12254160363086233,0.19912728166676913,1000.0
diagonal__near,pb_olympiadbench_q8,1000.0,339.0,661.0,0.4690265486725664,0.12859304084720122,0.20184596084053946,1000.0
diagonal__near,pb_omnimath_q4,1000.0,241.0,759.0,0.5062240663900415,0.18708827404479578,0.27320611890868945,1000.0
diagonal__near,pb_omnimath_q8,1000.0,241.0,759.0,0.44398340248962653,0.19367588932806323,0.269701646090535,1000.0
length__old,pb_gsm8k_q4,400.0,193.0,207.0,0.5906735751295337,0.2898550724637681,0.38887941326965714,400.0
length__old,pb_gsm8k_q8,400.0,193.0,207.0,0.41968911917098445,0.357487922705314,0.3860993912847434,400.0
length__old,pb_math_q4,1000.0,406.0,594.0,0.5665024630541872,0.24915824915824916,0.34609675254692235,1000.0
length__old,pb_math_q8,1000.0,406.0,594.0,0.4630541871921182,0.27441077441077444,0.3446050042170368,1000.0
length__old,pb_olympiadbench_q4,1000.0,339.0,661.0,0.5309734513274337,0.2027231467473525,0.29341994817707384,1000.0
length__old,pb_olympiadbench_q8,1000.0,339.0,661.0,0.4690265486725664,0.2118003025718608,0.2918215247871315,1000.0
length__old,pb_omnimath_q4,1000.0,241.0,759.0,0.5062240663900415,0.24110671936758893,0.32663989290495316,1000.0
length__old,pb_omnimath_q8,1000.0,241.0,759.0,0.44398340248962653,0.24769433465085638,0.31798673737956545,1000.0
random__old,pb_gsm8k_q4,400.0,193.0,207.0,0.5906735751295337,0.15458937198067632,0.2450460133001948,400.0
random__old,pb_gsm8k_q8,400.0,193.0,207.0,0.41968911917098445,0.14492753623188406,0.2154541827370661,400.0
random__old,pb_math_q4,1000.0,406.0,594.0,0.5665024630541872,0.13468013468013468,0.2176227084565346,1000.0
random__old,pb_math_q8,1000.0,406.0,594.0,0.4630541871921182,0.1717171717171717,0.25052912126675553,1000.0
random__old,pb_olympiadbench_q4,1000.0,339.0,661.0,0.5309734513274337,0.1043872919818457,0.17447373411720085,1000.0
random__old,pb_olympiadbench_q8,1000.0,339.0,661.0,0.4690265486725664,0.09833585476550681,0.16258435980933503,1000.0
random__old,pb_omnimath_q4,1000.0,241.0,759.0,0.5062240663900415,0.08695652173913043,0.14841849148418493,1000.0
random__old,pb_omnimath_q8,1000.0,241.0,759.0,0.44398340248962653,0.13570487483530963,0.20787279791768837,1000.0
rbm6__logit_old,pb_gsm8k_q4,400.0,193.0,207.0,0.5906735751295337,0.3333333333333333,0.42616822429906537,400.0
rbm6__logit_old,pb_gsm8k_q8,400.0,193.0,207.0,0.41968911917098445,0.3526570048309179,0.38326419497018416,400.0
rbm6__logit_old,pb_math_q4,1000.0,406.0,594.0,0.5665024630541872,0.24242424242424243,0.33954604170511166,1000.0
rbm6__logit_old,pb_math_q8,1000.0,406.0,594.0,0.4630541871921182,0.26262626262626265,0.3351618211738892,1000.0
rbm6__logit_old,pb_olympiadbench_q4,1000.0,339.0,661.0,0.5309734513274337,0.22995461422087746,0.3209233584347948,1000.0
rbm6__logit_old,pb_olympiadbench_q8,1000.0,339.0,661.0,0.4690265486725664,0.23600605143721634,0.31400846926568043,1000.0
rbm6__logit_old,pb_omnimath_q4,1000.0,241.0,759.0,0.5062240663900415,0.25559947299077734,0.33968654917044605,1000.0
rbm6__logit_old,pb_omnimath_q8,1000.0,241.0,759.0,0.44398340248962653,0.2740447957839262,0.3389040741276524,1000.0
rbm6__logit_near,pb_gsm8k_q4,400.0,193.0,207.0,0.5906735751295337,0.3333333333333333,0.42616822429906537,400.0
rbm6__logit_near,pb_gsm8k_q8,400.0,193.0,207.0,0.41968911917098445,0.3333333333333333,0.37155963302752293,400.0
rbm6__logit_near,pb_math_q4,1000.0,406.0,594.0,0.5665024630541872,0.24074074074074073,0.3378912871510905,1000.0
rbm6__logit_near,pb_math_q8,1000.0,406.0,594.0,0.4630541871921182,0.27441077441077444,0.3446050042170368,1000.0
rbm6__logit_near,pb_olympiadbench_q4,1000.0,339.0,661.0,0.5309734513274337,0.21936459909228442,0.3104648050673566,1000.0
rbm6__logit_near,pb_olympiadbench_q8,1000.0,339.0,661.0,0.4690265486725664,0.22844175491679275,0.30724047911547914,1000.0
rbm6__logit_near,pb_omnimath_q4,1000.0,241.0,759.0,0.5062240663900415,0.2595520421607378,0.3431590219525254,1000.0
rbm6__logit_near,pb_omnimath_q8,1000.0,241.0,759.0,0.44398340248962653,0.27140974967061926,0.3368816818101926,1000.0
initial6__logit_old,pb_gsm8k_q4,400.0,193.0,207.0,0.5906735751295337,0.21739130434782608,0.31781432952327854,400.0
initial6__logit_old,pb_gsm8k_q8,400.0,193.0,207.0,0.41968911917098445,0.19806763285024154,0.2691247974068071,400.0
initial6__logit_old,pb_math_q4,1000.0,406.0,594.0,0.5665024630541872,0.1835016835016835,0.27720954918893814,1000.0
initial6__logit_old,pb_math_q8,1000.0,406.0,594.0,0.4630541871921182,0.1835016835016835,0.2628426304785603,1000.0
initial6__logit_old,pb_olympiadbench_q4,1000.0,339.0,661.0,0.5309734513274337,0.08472012102874432,0.14612507610681047,1000.0
initial6__logit_old,pb_olympiadbench_q8,1000.0,339.0,661.0,0.4690265486725664,0.07866868381240545,0.1347380771957271,1000.0
initial6__logit_old,pb_omnimath_q4,1000.0,241.0,759.0,0.5062240663900415,0.10144927536231885,0.16902523503216232,1000.0
initial6__logit_old,pb_omnimath_q8,1000.0,241.0,759.0,0.44398340248962653,0.09881422924901186,0.1616509547981629,1000.0
initial6__logit_near,pb_gsm8k_q4,400.0,193.0,207.0,0.5906735751295337,0.18840579710144928,0.2856867469879518,400.0
initial6__logit_near,pb_gsm8k_q8,400.0,193.0,207.0,0.41968911917098445,0.17391304347826086,0.24592030360531306,400.0
initial6__logit_near,pb_math_q4,1000.0,406.0,594.0,0.5665024630541872,0.17676767676767677,0.2694560669456067,1000.0
initial6__logit_near,pb_math_q8,1000.0,406.0,594.0,0.4630541871921182,0.18013468013468015,0.2593705274830125,1000.0
