split,held_group,cell,family,domain,n,error_rate,method,auroc,error_auprc
family,gsm8k,lapeigvals_gsm8k_nemo,gsm8k,math,1319,0.17058377558756635,epr_risk,0.7656022750355475,0.4627169266015443
family,gsm8k,lapeigvals_gsm8k_nemo,gsm8k,math,1319,0.17058377558756635,mean_confidence_risk,0.7987487304489134,0.5003265323146623
family,gsm8k,lapeigvals_gsm8k_nemo,gsm8k,math,1319,0.17058377558756635,iu_pcr_risk,0.7965021328458257,0.509267100213683
family,gsm8k,lapeigvals_gsm8k_nemo,gsm8k,math,1319,0.17058377558756635,shared_direction,0.796965265082267,0.4969994443637571
family,gsm8k,lapeigvals_gsm8k_nemo,gsm8k,math,1319,0.17058377558756635,balanced_logistic,0.7984887263863498,0.49904458932974444
family,gsm8k,lapeigvals_gsm8k_nemo,gsm8k,math,1319,0.17058377558756635,ppca_manifold_k4,0.7732683323176925,0.45289534096495887
family,gsm8k,lapeigvals_gsm8k_nemo,gsm8k,math,1319,0.17058377558756635,knn_manifold_k5,0.7929311395490556,0.44794572342354244
family,gsm8k,lapeigvals_gsm8k_phi35,gsm8k,math,1319,0.15238817285822592,epr_risk,0.7702142240496979,0.4413747537243394
family,gsm8k,lapeigvals_gsm8k_phi35,gsm8k,math,1319,0.15238817285822592,mean_confidence_risk,0.7984006621632447,0.4556994331478536
family,gsm8k,lapeigvals_gsm8k_phi35,gsm8k,math,1319,0.15238817285822592,iu_pcr_risk,0.8121067293229737,0.45221448773686573
family,gsm8k,lapeigvals_gsm8k_phi35,gsm8k,math,1319,0.15238817285822592,shared_direction,0.7989658149324932,0.45894080429427675
family,gsm8k,lapeigvals_gsm8k_phi35,gsm8k,math,1319,0.15238817285822592,balanced_logistic,0.7770316574551215,0.43141088575800346
family,gsm8k,lapeigvals_gsm8k_phi35,gsm8k,math,1319,0.15238817285822592,ppca_manifold_k4,0.7317615856317696,0.35321783239000043
family,gsm8k,lapeigvals_gsm8k_phi35,gsm8k,math,1319,0.15238817285822592,knn_manifold_k5,0.7827810856273196,0.4320296718574439
family,gsm8k,noise_gsm8k_mistral7b,gsm8k,math,1319,0.5011372251705838,epr_risk,0.7430875205201661,0.7568292633735345
family,gsm8k,noise_gsm8k_mistral7b,gsm8k,math,1319,0.5011372251705838,mean_confidence_risk,0.7727492194289761,0.7806025967359778
family,gsm8k,noise_gsm8k_mistral7b,gsm8k,math,1319,0.5011372251705838,iu_pcr_risk,0.783711701437906,0.791304365491114
family,gsm8k,noise_gsm8k_mistral7b,gsm8k,math,1319,0.5011372251705838,shared_direction,0.7697832794559224,0.7786102285695736
family,gsm8k,noise_gsm8k_mistral7b,gsm8k,math,1319,0.5011372251705838,balanced_logistic,0.7760876262823666,0.7841494196397562
family,gsm8k,noise_gsm8k_mistral7b,gsm8k,math,1319,0.5011372251705838,ppca_manifold_k4,0.7337413608376366,0.7382823270681923
family,gsm8k,noise_gsm8k_mistral7b,gsm8k,math,1319,0.5011372251705838,knn_manifold_k5,0.774625348900303,0.7802659881401965
family,gsm8k,noise_gsm8k_phi3mini,gsm8k,math,1319,0.29037149355572406,epr_risk,0.6682985204525675,0.46189970303393924
family,gsm8k,noise_gsm8k_phi3mini,gsm8k,math,1319,0.29037149355572406,mean_confidence_risk,0.6743126687643659,0.48253461207979187
family,gsm8k,noise_gsm8k_phi3mini,gsm8k,math,1319,0.29037149355572406,iu_pcr_risk,0.6754479926803687,0.488203108273907
family,gsm8k,noise_gsm8k_phi3mini,gsm8k,math,1319,0.29037149355572406,shared_direction,0.6776879560822119,0.4817364417183035
family,gsm8k,noise_gsm8k_phi3mini,gsm8k,math,1319,0.29037149355572406,balanced_logistic,0.6583958179911182,0.472991778182709
