candidate,discovery_macro_auroc,confirmation_macro_auroc,all_macro_auroc,all_macro_auprc,mean_n_kept,fallback_cells
target_gap__q90__spread4_p1,0.7759436137258876,0.7564710477819077,0.7654583859098986,0.6295045809636316,4.923076923076923,1
kl_to_final__std__organic_top8_p1,0.7759104184391573,0.7568108920495229,0.7656260580755081,0.6255083330823232,4.769230769230769,3
target_nll__std__spread4_p1,0.775773085326524,0.7604922266189632,0.7675449306378377,0.6310984253178312,4.923076923076923,1
target_nll__q90__organic_all_p1,0.7755735952200498,0.7580549416147405,0.7661404740479603,0.629592966982263,4.923076923076923,1
target_gap__cvar80__flat_top8_p1,0.7753955243999644,0.7587960825716065,0.7664573634154639,0.6321026713985263,5.0,0
target_excess_over_entropy__std__flat_top8_p1,0.7753254232203094,0.7593147869339792,0.766704311373824,0.631738186739035,4.923076923076923,1
target_excess_over_entropy__q90__spread8_p1,0.7753214612484455,0.7586419433220073,0.7663401823649788,0.6280557530981076,4.846153846153846,2
target_gap__mean__spread4_p1,0.7752906587759152,0.7570860675386453,0.7654881865712315,0.6281949565284134,4.923076923076923,1
entropy_excess_over_top1__max__flat_top3_p2,0.7752656205181593,0.7707867341117084,0.7728539124531473,0.6338108288865351,4.923076923076923,1
entropy_excess_over_top1__mean__organic_all_p1,0.7752244105520117,0.7564590612947767,0.7651199917211928,0.6252233031211893,4.923076923076923,1
kl_to_final__cvar80__organic_top8_p1,0.7751800062863502,0.7549943698793756,0.7643108174518255,0.6268688111172561,4.923076923076923,1
entropy_excess_over_top1__q90__flat_top8_p1,0.7750984923852277,0.7560248968171276,0.7648280947716354,0.6205159349312998,4.923076923076923,1
top1_surprisal__cvar80__organic_top8_p1,0.7750791519933197,0.7531070884420562,0.7632480408503317,0.6222559639529235,4.923076923076923,1
entropy_excess_over_top1__max__organic_all_p1,0.7750404738450899,0.7675469799391786,0.7710055155880607,0.6349134856772964,4.923076923076923,1
kl_to_final__cvar80__spread8_p1,0.775038939197963,0.7574213115862066,0.7655525243300942,0.6278600180314261,4.923076923076923,1
target_excess_over_entropy__cvar80__flat_top8_p1,0.7749796140502362,0.7559279200056868,0.7647210095647097,0.6284242338920945,4.769230769230769,3
entropy__max__flat_top3_p2,0.7749731800937129,0.7696874875989478,0.772127037981147,0.6260624140376495,4.923076923076923,1
target_nll__max__organic_all_p1,0.7749529284806372,0.7651409796128579,0.7696695713979866,0.6318542220368524,4.923076923076923,1
entropy__cvar80__organic_top8_p1,0.7749481779931954,0.7583220442158086,0.7659956444207563,0.6243669208891114,4.923076923076923,1
target_nll__max__flat_top5_p1,0.7749412946508124,0.7647634726632871,0.7694609289652221,0.6318508397854091,4.923076923076923,1
target_nll__max__flat_top3_p2,0.7749174545695086,0.7634729766758113,0.7687550433959793,0.6305697259270272,4.923076923076923,1
target_gap__std__spread4_p1,0.7748266062349854,0.7597985804435232,0.7667345923472748,0.6270574243236298,4.923076923076923,1
