source,world,group,budget,reference,candidate,n_units,mean_delta,median_delta,ci95_low,ci95_high,wins,losses,catastrophic_losses_5pp
synthetic,family_shift,all,10,upcr,local_active2,12,-0.0014385198281309426,-0.0013448085481188032,-0.0016709817713522264,-0.0012206119218489948,0,12,0
real,real,all,10,upcr,pooled_domain_lofo,24,-0.014373327920638885,-0.01321520290649797,-0.020117415464172558,-0.009206037818323074,1,23,1
real,real,QA,10,upcr,pooled_domain_lofo,9,-0.01731816344883165,-0.014011180992313244,-0.026088606021979276,-0.00939680381311583,0,9,0
real,real,math,10,upcr,pooled_domain_lofo,15,-0.012606426603723226,-0.009667417035800097,-0.02024498692757569,-0.006246528907138904,1,14,1
synthetic,upcr_sufficient,all,10,upcr,pooled_domain_lofo,12,-0.003886472910398601,-0.003931454356363329,-0.004137448258399128,-0.0036376381142424097,0,12,0
synthetic,shared_correction,all,10,upcr,pooled_domain_lofo,12,0.47280392256872866,0.4743482745460628,0.4650656713856234,0.4801761451444184,12,0,0
synthetic,family_shift,all,10,upcr,pooled_domain_lofo,12,-0.00434935224262024,-0.004359137177497696,-0.004707279882706177,-0.004007493418247588,0,12,0
real,real,all,10,upcr,pooled_all_lofo,24,-0.009552162151053928,-0.008561747028085875,-0.013526796462010666,-0.00576974717245599,3,21,0
real,real,QA,10,upcr,pooled_all_lofo,9,-0.009557809553297658,-0.008898482850434375,-0.013440494182653159,-0.005502749318559373,1,8,0
real,real,math,10,upcr,pooled_all_lofo,15,-0.009548773709707688,-0.008225011205737376,-0.01545483624365121,-0.0040081277725618975,2,13,0
synthetic,upcr_sufficient,all,10,upcr,pooled_all_lofo,12,-0.0039040385520368037,-0.004089866179840307,-0.004141201351228365,-0.0036463940028332,0,12,0
synthetic,shared_correction,all,10,upcr,pooled_all_lofo,12,0.4733998951213471,0.47492702428605127,0.4655532273380759,0.4809033707402631,12,0,0
synthetic,family_shift,all,10,upcr,pooled_all_lofo,12,-0.0038513648155986033,-0.003930891809194481,-0.004141249966183436,-0.003531826181313611,0,12,0
real,real,all,10,upcr,hybrid_domain_uniform,24,-0.011617966286930898,-0.011615140198382556,-0.016458836384451305,-0.007206598479395979,4,20,0
real,real,QA,10,upcr,hybrid_domain_uniform,9,-0.013799173537709986,-0.011804703876849065,-0.019452724093230435,-0.008360172359953899,1,8,0
real,real,math,10,upcr,hybrid_domain_uniform,15,-0.010309241936463447,-0.007913495687468242,-0.017250442402153645,-0.004350636389698539,3,12,0
synthetic,upcr_sufficient,all,10,upcr,hybrid_domain_uniform,12,-0.0028264427920195825,-0.0028618112497809656,-0.003029494562072416,-0.0026422330194404158,0,12,0
synthetic,shared_correction,all,10,upcr,hybrid_domain_uniform,12,0.4738580595421315,0.4750048003062172,0.46576011480733287,0.48157722976550965,12,0,0
synthetic,family_shift,all,10,upcr,hybrid_domain_uniform,12,-0.0033044437918924954,-0.003372114052727637,-0.0035635205311272443,-0.0030013650363344625,0,12,0
real,real,all,10,upcr,hybrid_domain_active,24,-0.0037173900055805322,-0.0041032461190675384,-0.006544208098924568,-0.0010623183411027689,8,16,0
real,real,QA,10,upcr,hybrid_domain_active,9,-0.006313875774500575,-0.006382978723404098,-0.011416735658380282,-0.0021155913809456067,2,7,0
real,real,math,10,upcr,hybrid_domain_active,15,-0.002159498544228507,-0.003611285266457598,-0.00526224658245564,0.0010325725544630031,6,9,0
synthetic,upcr_sufficient,all,10,upcr,hybrid_domain_active,12,-0.00033572853945498804,-0.00029876334013401173,-0.00044643822931367516,-0.00023173412936259528,1,11,0
synthetic,shared_correction,all,10,upcr,hybrid_domain_active,12,0.4761105521469298,0.47781439901101497,0.46771823739607243,0.48416749421621086,12,0,0
synthetic,family_shift,all,10,upcr,hybrid_domain_active,12,-0.0004472142148864988,-0.0004024542128289177,-0.0005824004686019342,-0.00031638546132760673,0,12,0
real,real,all,10,local_uniform2,local_active2,24,-0.0023786094588581406,-0.0013099315068494932,-0.004392373323342472,-0.0004962970635202964,8,16,0
real,real,QA,10,local_uniform2,local_active2,9,-0.0011014195182007772,0.00045443406561729294,-0.004477855093120556,0.00202825779521438,5,4,0
real,real,math,10,local_uniform2,local_active2,15,-0.0031449234232525584,-0.00136986301369868,-0.005577941307406098,-0.0008887905237452595,3,12,0
synthetic,upcr_sufficient,all,10,local_uniform2,local_active2,12,-0.0005644294543187452,-0.00047374173280301246,-0.000952955382557958,-0.0001978276758582277,2,10,0
synthetic,shared_correction,all,10,local_uniform2,local_active2,12,0.07942398284969966,0.07842559539777305,0.06637118494793119,0.0938057851662678,12,0,0
synthetic,family_shift,all,10,local_uniform2,local_active2,12,-0.00092331061555694,-0.0009920444836337694,-0.0011847615563501228,-0.0006842292807389857,0,12,0
real,real,all,10,local_uniform2,hybrid_domain_uniform,24,-0.011502538984712124,-0.010701372312762636,-0.016355007891190584,-0.007218488000978334,3,21,0
real,real,QA,10,local_uniform2,hybrid_domain_uniform,9,-0.013368059099743911,-0.010788591941445103,-0.020104397888626335,-0.00766110922164659,0,9,0
real,real,math,10,local_uniform2,hybrid_domain_uniform,15,-0.010383226915693052,-0.007749873160832088,-0.016919655805524767,-0.004883344174024837,3,12,0
