method,environment,held_out_feature,partner_feature,actual,prediction,squared_error
missing_pca_full,ars_gsm8k_r1distill8b,high_band_power,topk_tail_mass,-0.2707988666953331,-0.2615520041844103,8.550446629590898e-05
missing_pca_full,ars_gsm8k_r1distill8b,hl_ratio,epr,-0.5752622491224181,-0.41197730724792575,0.026661972242956338
missing_pca_full,ars_gsm8k_r1distill8b,hl_ratio,trace_length,0.1613441856326809,0.04997145986348389,0.01240388404526076
missing_pca_full,ars_gsm8k_r1distill8b,hl_ratio,spectral_entropy,0.05378640641658354,0.07529750362620755,0.00046272730316189366
missing_pca_full,ars_gsm8k_r1distill8b,hl_ratio,low_band_power,0.714148040980573,0.5537143355178125,0.025738973848511818
missing_pca_full,ars_gsm8k_r1distill8b,hl_ratio,high_band_power,0.8280365766637715,0.610565039593718,0.04729386943561166
missing_pca_full,ars_gsm8k_r1distill8b,hl_ratio,dominant_freq,0.19013463522465354,0.25581112347521917,0.004313401108926685
missing_pca_full,ars_gsm8k_r1distill8b,hl_ratio,spectral_centroid,0.8472270916541541,0.601223552608107,0.06051774122318002
missing_pca_full,ars_gsm8k_r1distill8b,hl_ratio,stft_max_high_power,-0.27909666405307226,-0.13660976766079663,0.02030251564350309
missing_pca_full,ars_gsm8k_r1distill8b,hl_ratio,stft_spectral_entropy,-0.2469862033222236,0.07311132644611286,0.10246242856379104
missing_pca_full,ars_gsm8k_r1distill8b,hl_ratio,rpdi,-0.18315706096269724,0.024231337331451865,0.043009947747012625
missing_pca_full,ars_gsm8k_r1distill8b,hl_ratio,sw_var_peak,-0.02197621401001467,-0.056947263854428075,0.0012229743272204469
missing_pca_full,ars_gsm8k_r1distill8b,hl_ratio,pe_mean,0.0213259229640719,0.0473900959947175,0.0006793411157714336
missing_pca_full,ars_gsm8k_r1distill8b,hl_ratio,hurst_exponent,0.2723447756441351,0.19698665118952646,0.005678846921316287
missing_pca_full,ars_gsm8k_r1distill8b,hl_ratio,cusum_max,0.1927402341305843,-0.12009152886942853,0.09786371194169619
missing_pca_full,ars_gsm8k_r1distill8b,hl_ratio,cusum_shift_idx,-0.04401605467828223,-0.007560734977693764,0.0013289903344721131
missing_pca_full,ars_gsm8k_r1distill8b,hl_ratio,epr_spilled,-0.5623996322777561,-0.3703238415924888,0.03689310936737062
