method,stratum,n,sla_micro_descriptive,longest_step_agreement,mae
top5__all__hard__binary_lsml,error_relative_quarter_1,1314,0.3074581430745814,0.34779299847793,2.361491628614916
top5__all__hard__binary_lsml,error_relative_quarter_2,1290,0.29534883720930233,0.3635658914728682,1.7302325581395348
top5__all__hard__binary_lsml,error_relative_quarter_3,1122,0.3163992869875223,0.37254901960784315,1.5864527629233511
top5__all__hard__binary_lsml,error_relative_quarter_4,716,0.29329608938547486,0.4092178770949721,2.64804469273743
top5__all__soft__equal,steps_2_to_5,1312,0.42073170731707316,0.5541158536585366,0.9009146341463414
top5__all__soft__equal,steps_6_to_10,2308,0.2885615251299827,0.40771230502599654,1.9432409012131715
top5__all__soft__equal,steps_11_plus,822,0.14476885644768855,0.3223844282238443,4.482968369829684
top5__all__soft__equal,error_relative_quarter_1,1314,0.3203957382039574,0.4101978691019787,2.295281582952816
top5__all__soft__equal,error_relative_quarter_2,1290,0.26124031007751936,0.42790697674418604,1.8883720930232557
top5__all__soft__equal,error_relative_quarter_3,1122,0.3083778966131907,0.4474153297682709,1.7771836007130124
top5__all__soft__equal,error_relative_quarter_4,716,0.3254189944134078,0.4748603351955307,2.6620111731843576
top5__all__soft__spectral,steps_2_to_5,1312,0.36890243902439024,0.5053353658536586,1.0426829268292683
top5__all__soft__spectral,steps_6_to_10,2308,0.20363951473136915,0.3054592720970537,2.3258232235701906
top5__all__soft__spectral,steps_11_plus,822,0.0851581508515815,0.25669099756691,5.119221411192214
top5__all__soft__spectral,error_relative_quarter_1,1314,0.3850837138508371,0.3569254185692542,1.3013698630136987
top5__all__soft__spectral,error_relative_quarter_2,1290,0.1558139534883721,0.3449612403100775,2.0426356589147288
top5__all__soft__spectral,error_relative_quarter_3,1122,0.17201426024955438,0.3449197860962567,2.8859180035650622
top5__all__soft__spectral,error_relative_quarter_4,716,0.17318435754189945,0.388268156424581,4.694134078212291
top5__all__soft__continuous_lsml,steps_2_to_5,1312,0.3628048780487805,0.5053353658536586,1.0571646341463414
top5__all__soft__continuous_lsml,steps_6_to_10,2308,0.19800693240901213,0.31845753899480067,2.330155979202773
top5__all__soft__continuous_lsml,steps_11_plus,822,0.08880778588807786,0.26277372262773724,5.068126520681266
top5__all__soft__continuous_lsml,error_relative_quarter_1,1314,0.3858447488584475,0.3569254185692542,1.2359208523592085
top5__all__soft__continuous_lsml,error_relative_quarter_2,1290,0.15193798449612403,0.3550387596899225,2.0286821705426354
top5__all__soft__continuous_lsml,error_relative_quarter_3,1122,0.16488413547237077,0.357397504456328,2.9171122994652405
top5__all__soft__continuous_lsml,error_relative_quarter_4,716,0.164804469273743,0.3994413407821229,4.772346368715084
top5__all__hard__continuous_lsml,steps_2_to_5,1312,0.2507621951219512,0.3170731707317073,1.2751524390243902
top5__all__hard__continuous_lsml,steps_6_to_10,2308,0.09965337954939342,0.1789428076256499,2.6906412478336224
top5__all__hard__continuous_lsml,steps_11_plus,822,0.06326034063260341,0.1897810218978102,5.240875912408759
top5__all__hard__continuous_lsml,error_relative_quarter_1,1314,0.423896499238965,0.2724505327245053,0.819634703196347
top5__all__hard__continuous_lsml,error_relative_quarter_2,1290,0.02248062015503876,0.19689922480620156,2.1891472868217052
top5__all__hard__continuous_lsml,error_relative_quarter_3,1122,0.013368983957219251,0.18538324420677363,3.6818181818181817
top5__all__hard__continuous_lsml,error_relative_quarter_4,716,0.013966480446927373,0.23044692737430167,5.808659217877095
top5__errors__hard__ds,steps_2_to_5,1312,0.4192073170731707,0.46722560975609756,0.8696646341463414
top5__errors__hard__ds,steps_6_to_10,2308,0.28812824956672445,0.31802426343154244,1.8123916811091854
top5__errors__hard__ds,steps_11_plus,822,0.17883211678832117,0.2396593673965937,4.190997566909975
top5__errors__hard__ds,error_relative_quarter_1,1314,0.22907153729071536,0.3211567732115677,2.819634703196347
top5__errors__hard__ds,error_relative_quarter_2,1290,0.30930232558139537,0.34108527131782945,1.7209302325581395
top5__errors__hard__ds,error_relative_quarter_3,1122,0.36363636363636365,0.375222816399287,1.2754010695187166
