cell,family,domain,contract,filter,exclude_frac,n_input,n_kept,kept_fraction,dufs_effective_count,weight_cosine_vs_iu
lapeigvals_gsm8k_llama8b,gsm8k,math,mixed_v2,rho_max_over_2,2.0,29,21,0.7241379310344828,20.265970264381167,0.9978267348243612
lapeigvals_gsm8k_llama8b,gsm8k,math,mixed_v2,rho_max_over_1p5,1.5,29,17,0.5862068965517241,16.791866419455218,0.9846871056230595
lapeigvals_gsm8k_mistral24b,gsm8k,math,fixed_stable_v1,full,,26,26,1.0,21.633426788960367,0.9996558672365905
lapeigvals_gsm8k_mistral24b,gsm8k,math,fixed_stable_v1,rho_max_over_3,3.0,26,21,0.8076923076923077,20.206679016327552,0.9978617133309091
lapeigvals_gsm8k_mistral24b,gsm8k,math,fixed_stable_v1,rho_max_over_2p5,2.5,26,21,0.8076923076923077,20.206679016327552,0.9978617133309091
lapeigvals_gsm8k_mistral24b,gsm8k,math,fixed_stable_v1,rho_max_over_2,2.0,26,20,0.7692307692307693,19.02535641721514,0.9995318357155916
lapeigvals_gsm8k_mistral24b,gsm8k,math,fixed_stable_v1,rho_max_over_1p5,1.5,26,17,0.6538461538461539,16.539848638015314,0.9999787210971935
lapeigvals_gsm8k_mistral24b,gsm8k,math,mixed_v2,full,,30,30,1.0,21.534661841604123,0.9999207204112339
lapeigvals_gsm8k_mistral24b,gsm8k,math,mixed_v2,rho_max_over_3,3.0,30,22,0.7333333333333333,20.43463516014458,0.9997826812473412
lapeigvals_gsm8k_mistral24b,gsm8k,math,mixed_v2,rho_max_over_2p5,2.5,30,21,0.7,20.206679016327552,0.9978617133309089
lapeigvals_gsm8k_mistral24b,gsm8k,math,mixed_v2,rho_max_over_2,2.0,30,20,0.6666666666666666,19.02535641721514,0.9995318357155915
lapeigvals_gsm8k_mistral24b,gsm8k,math,mixed_v2,rho_max_over_1p5,1.5,30,17,0.5666666666666667,16.539848638015314,0.9999787210971935
lapeigvals_gsm8k_nemo,gsm8k,math,fixed_stable_v1,full,,25,25,1.0,17.316496771576116,0.9952462089080304
lapeigvals_gsm8k_nemo,gsm8k,math,fixed_stable_v1,rho_max_over_3,3.0,25,20,0.8,14.915440439831594,0.9945644776934051
lapeigvals_gsm8k_nemo,gsm8k,math,fixed_stable_v1,rho_max_over_2p5,2.5,25,20,0.8,14.915440439831594,0.9945644776934051
lapeigvals_gsm8k_nemo,gsm8k,math,fixed_stable_v1,rho_max_over_2,2.0,25,19,0.76,15.202921013496388,0.9961285500521936
lapeigvals_gsm8k_nemo,gsm8k,math,fixed_stable_v1,rho_max_over_1p5,1.5,25,15,0.6,13.0671972729809,0.9985924466090571
lapeigvals_gsm8k_nemo,gsm8k,math,mixed_v2,full,,29,29,1.0,17.905509866252636,0.9952187356287633
lapeigvals_gsm8k_nemo,gsm8k,math,mixed_v2,rho_max_over_3,3.0,29,20,0.6896551724137931,14.915440439831594,0.9945644776934047
lapeigvals_gsm8k_nemo,gsm8k,math,mixed_v2,rho_max_over_2p5,2.5,29,20,0.6896551724137931,14.915440439831594,0.9945644776934047
lapeigvals_gsm8k_nemo,gsm8k,math,mixed_v2,rho_max_over_2,2.0,29,19,0.6551724137931034,15.202921013496388,0.9961285500521938
lapeigvals_gsm8k_nemo,gsm8k,math,mixed_v2,rho_max_over_1p5,1.5,29,15,0.5172413793103449,13.0671972729809,0.9985924466090571
lapeigvals_gsm8k_phi35,gsm8k,math,fixed_stable_v1,full,,25,25,1.0,16.545981816010922,0.999828171399105
lapeigvals_gsm8k_phi35,gsm8k,math,fixed_stable_v1,rho_max_over_3,3.0,25,18,0.72,15.467906029004633,0.9998239440835269
lapeigvals_gsm8k_phi35,gsm8k,math,fixed_stable_v1,rho_max_over_2p5,2.5,25,18,0.72,15.467906029004633,0.9998239440835269
lapeigvals_gsm8k_phi35,gsm8k,math,fixed_stable_v1,rho_max_over_2,2.0,25,16,0.64,14.38067040540116,0.9999151275857815
lapeigvals_gsm8k_phi35,gsm8k,math,fixed_stable_v1,rho_max_over_1p5,1.5,25,13,0.52,12.539344724909784,0.9998783476521188
lapeigvals_gsm8k_phi35,gsm8k,math,mixed_v2,full,,29,29,1.0,16.61369820086878,0.9997823425499326
lapeigvals_gsm8k_phi35,gsm8k,math,mixed_v2,rho_max_over_3,3.0,29,18,0.6206896551724138,15.467906029004633,0.9998239440835271
lapeigvals_gsm8k_phi35,gsm8k,math,mixed_v2,rho_max_over_2p5,2.5,29,18,0.6206896551724138,15.467906029004633,0.9998239440835271
lapeigvals_gsm8k_phi35,gsm8k,math,mixed_v2,rho_max_over_2,2.0,29,17,0.5862068965517241,15.432959167678025,0.9998206707909134
lapeigvals_gsm8k_phi35,gsm8k,math,mixed_v2,rho_max_over_1p5,1.5,29,13,0.4482758620689655,12.539344724909784,0.9998783476521186
noise_gsm8k_mistral7b,gsm8k,math,fixed_stable_v1,full,,25,25,1.0,18.459982479181033,0.9991622341806379
noise_gsm8k_mistral7b,gsm8k,math,fixed_stable_v1,rho_max_over_3,3.0,25,21,0.84,17.040156519832127,0.9979467028284273
noise_gsm8k_mistral7b,gsm8k,math,fixed_stable_v1,rho_max_over_2p5,2.5,25,20,0.8,16.892723792402442,0.9989347391686916
noise_gsm8k_mistral7b,gsm8k,math,fixed_stable_v1,rho_max_over_2,2.0,25,20,0.8,16.892723792402442,0.9989347391686916
noise_gsm8k_mistral7b,gsm8k,math,fixed_stable_v1,rho_max_over_1p5,1.5,25,15,0.6,14.262132549811275,0.9999847304573909
noise_gsm8k_mistral7b,gsm8k,math,mixed_v2,full,,29,29,1.0,19.02554414109523,0.9985897260570473
