locator,variant,scope,n_clean,n_erroneous,argmax_sla,argmax_early,argmax_late,false_alarm_budget,false_alarm,theta,detected,exact,early_stop,no_stop,mean_delay_steps,median_delay_steps,mean_delay_tokens
ct7,offline,cell=pb_olympiadbench_q8,339,661,0.3767019667170953,0.32526475037821484,0.2980332829046899,0.2,0.1504424778761062,1.7543859988038821,0.0832072617246596,0.05143721633888049,0.036308623298033284,0.8804841149773072,1.981818181818182,0.0,122.0909090909091
ct7,offline,cell=pb_olympiadbench_q8,339,661,0.3767019667170953,0.32526475037821484,0.2980332829046899,0.3,0.28023598820059,1.5964280282962213,0.1361573373676248,0.09228441754916793,0.08018154311649017,0.783661119515885,1.2222222222222223,0.0,82.88888888888889
ct7,offline,cell=pb_omnimath_q4,241,759,0.3715415019762846,0.24110671936758893,0.38735177865612647,0.05,0.016597510373443983,1.9955247062604848,0.028985507246376812,0.017127799736495388,0.005270092226613966,0.9657444005270093,2.4545454545454546,0.0,145.04545454545453
ct7,offline,cell=pb_omnimath_q4,241,759,0.3715415019762846,0.24110671936758893,0.38735177865612647,0.1,0.07883817427385892,1.8408389058384784,0.048748353096179184,0.026350461133069828,0.014492753623188406,0.9367588932806324,1.9189189189189189,0.0,121.97297297297297
ct7,offline,cell=pb_omnimath_q4,241,759,0.3715415019762846,0.24110671936758893,0.38735177865612647,0.2,0.1908713692946058,1.6425087670782392,0.12121212121212122,0.061923583662714096,0.03820816864295125,0.8405797101449275,1.9673913043478262,0.0,156.70652173913044
ct7,offline,cell=pb_omnimath_q4,241,759,0.3715415019762846,0.24110671936758893,0.38735177865612647,0.3,0.27800829875518673,1.5555567172600586,0.1541501976284585,0.08036890645586298,0.048748353096179184,0.7971014492753623,1.6666666666666667,0.0,146.86324786324786
ct7,offline,cell=pb_omnimath_q8,241,759,0.3702239789196311,0.25559947299077734,0.37417654808959155,0.05,0.03319502074688797,1.9955247062604848,0.025032938076416336,0.015810276679841896,0.003952569169960474,0.9710144927536232,1.894736842105263,0.0,110.42105263157895
ct7,offline,cell=pb_omnimath_q8,241,759,0.3702239789196311,0.25559947299077734,0.37417654808959155,0.1,0.08713692946058091,1.8408389058384784,0.05138339920948617,0.030303030303030304,0.00922266139657444,0.9393939393939394,1.7179487179487178,0.0,111.33333333333333
ct7,offline,cell=pb_omnimath_q8,241,759,0.3702239789196311,0.25559947299077734,0.37417654808959155,0.2,0.1908713692946058,1.6425087670782392,0.11067193675889328,0.06060606060606061,0.039525691699604744,0.849802371541502,1.7738095238095237,0.0,139.02380952380952
ct7,offline,cell=pb_omnimath_q8,241,759,0.3702239789196311,0.25559947299077734,0.37417654808959155,0.3,0.23651452282157676,1.5964280282962213,0.12779973649538867,0.06982872200263504,0.04479578392621871,0.8274044795783926,1.690721649484536,0.0,132.91752577319588
token_lsml,offline,macro8_all,2358,4442,0.3313822602431337,0.22534894191805493,0.44326879783881135,0.05,0.0275657336726039,2.0757280053704514,0.03444394416929311,0.01575866726699685,0.007203962179198559,0.9583520936515083,3.196078431372549,1.0,237.63398692810458
token_lsml,offline,macro8_all,2358,4442,0.3313822602431337,0.22534894191805493,0.44326879783881135,0.1,0.06870229007633588,1.9074790916232125,0.062134173795587576,0.026114362899594776,0.013732552904097254,0.9241332733003151,3.0652173913043477,1.0,239.57608695652175
token_lsml,offline,macro8_all,2358,4442,0.3313822602431337,0.22534894191805493,0.44326879783881135,0.2,0.1734520780322307,1.6885009281181984,0.14430436740207114,0.06461053579468708,0.03714542998649257,0.8185502026114363,2.3946957878315134,1.0,206.399375975039
token_lsml,offline,macro8_all,2358,4442,0.3313822602431337,0.22534894191805493,0.44326879783881135,0.3,0.2866836301950806,1.5742158925739331,0.22039621791985592,0.09725348941918055,0.056731202161188654,0.7228725799189554,2.17364657814096,1.0,190.42594484167518
token_lsml,offline,steps_2_to_5,950,1312,0.4321646341463415,0.20503048780487804,0.3628048780487805,0.05,0.034736842105263156,1.7407985929216383,0.023628048780487805,0.01676829268292683,0.004573170731707317,0.9717987804878049,0.7419354838709677,0.0,64.41935483870968
token_lsml,offline,steps_2_to_5,950,1312,0.4321646341463415,0.20503048780487804,0.3628048780487805,0.1,0.08210526315789474,1.6471053896901047,0.0701219512195122,0.04344512195121951,0.012957317073170731,0.916920731707317,0.8152173913043478,0.0,71.56521739130434
token_lsml,offline,steps_2_to_5,950,1312,0.4321646341463415,0.20503048780487804,0.3628048780487805,0.2,0.1831578947368421,1.5037576315651298,0.15091463414634146,0.09070121951219512,0.02972560975609756,0.819359756097561,0.7373737373737373,0.0,66.82828282828282
token_lsml,offline,steps_2_to_5,950,1312,0.4321646341463415,0.20503048780487804,0.3628048780487805,0.3,0.26526315789473687,1.4206319838014576,0.20884146341463414,0.12195121951219512,0.041920731707317076,0.7492378048780488,0.7372262773722628,0.0,69.87226277372262
