cell,feature,n,weak_cell,stability,sign_correct,oracle_single_auroc,abs_rho,headroom_pp,is_candidate
lapeigvals_gsm8k_nemo,rpdi,1319,False,1.0,1,0.5927483241925655,0.05599024931691303,-1.59,0
lapeigvals_gsm8k_nemo,sw_var_peak,1319,False,1.0,1,0.7700751574243347,0.17336167033410815,,
lapeigvals_gsm8k_nemo,pe_mean,1319,False,0.894,1,0.5184115376802763,0.009089476941206442,-0.94,0
lapeigvals_gsm8k_nemo,hurst_exponent,1319,False,0.994,1,0.548303879748121,0.02042222287627429,-2.55,0
lapeigvals_gsm8k_nemo,cusum_max,1319,False,1.0,1,0.690274223034735,0.1840818907726827,,
lapeigvals_gsm8k_nemo,cusum_shift_idx,1319,False,1.0,1,0.6255271176112127,0.06862186691584511,-0.61,0
lapeigvals_gsm8k_nemo,epr_spilled,1319,False,1.0,1,0.7471501117204956,0.17575631524979526,,
lapeigvals_gsm8k_nemo,sw_var_peak_spilled,1319,False,1.0,1,0.69159455616494,0.11685818002291842,,
lapeigvals_gsm8k_nemo,cusum_max_spilled,1319,False,1.0,1,0.6928823887873248,0.1843353509068068,,
lapeigvals_gsm8k_nemo,epr_energy,1319,False,1.0,1,0.773865529148893,0.19438091597672974,,
lapeigvals_gsm8k_nemo,min_energy,1319,False,1.0,1,0.7426284785699777,0.18608723968868549,,
lapeigvals_gsm8k_nemo,sw_var_peak_energy,1319,False,1.0,1,0.5904326630103596,0.06321873554281322,,
lapeigvals_gsm8k_nemo,cusum_max_energy,1319,False,1.0,1,0.6689335770871421,0.14882434438717043,,
lapeigvals_gsm8k_nemo,mean_top1_logprob,1319,False,1.0,1,0.758813731464554,0.2485892375723743,,
lapeigvals_gsm8k_nemo,logprob_margin,1319,False,1.0,1,0.7547064797887467,0.1980018795947573,,
lapeigvals_gsm8k_nemo,mean_logprob_entropy,1319,False,1.0,1,0.7668413568962015,0.18447880476526912,,
lapeigvals_gsm8k_nemo,varentropy,1319,False,1.0,1,0.7809181393459272,0.1808046299822274,,
lapeigvals_gsm8k_nemo,renyi_entropy_2,1319,False,1.0,1,0.7618728417631526,0.18318300782120098,,
lapeigvals_gsm8k_nemo,topk_tail_mass,1319,False,1.0,1,0.7889213893967093,0.2006715669995961,,
lapeigvals_gsm8k_phi35,epr,1319,False,1.0,1,0.7702142240496979,0.24583649258954418,,
lapeigvals_gsm8k_phi35,trace_length,1319,False,1.0,1,0.7069460390355913,0.16802727011557483,,
lapeigvals_gsm8k_phi35,spectral_entropy,1319,False,1.0,1,0.6482569264589396,0.053580706061361505,,
lapeigvals_gsm8k_phi35,low_band_power,1319,False,1.0,1,0.6712991393657829,0.1067571723455583,,
lapeigvals_gsm8k_phi35,high_band_power,1319,False,1.0,1,0.6031381553769614,0.04250285336677856,,
lapeigvals_gsm8k_phi35,hl_ratio,1319,False,1.0,1,0.6527291983730721,0.0684191952929579,,
lapeigvals_gsm8k_phi35,dominant_freq,1319,False,1.0,1,0.6146459117649676,0.027746388651026146,,
lapeigvals_gsm8k_phi35,spectral_centroid,1319,False,1.0,1,0.6786060751697682,0.1450707670088202,,
lapeigvals_gsm8k_phi35,stft_max_high_power,1319,False,1.0,1,0.5618464030473749,0.10783118753123667,,
lapeigvals_gsm8k_phi35,stft_spectral_entropy,1319,False,0.978,1,0.5246976210183429,0.016386023005323415,,
lapeigvals_gsm8k_phi35,rpdi,1319,False,1.0,1,0.5218095568668286,0.0744598974184378,6.82,1
lapeigvals_gsm8k_phi35,sw_var_peak,1319,False,1.0,1,0.7751715483405869,0.23274385576879436,,
lapeigvals_gsm8k_phi35,pe_mean,1319,False,0.992,1,0.5065281819880918,0.019882929151560293,-1.16,0
lapeigvals_gsm8k_phi35,hurst_exponent,1319,False,1.0,1,0.6279292268532116,0.08003863879926787,-1.17,0
lapeigvals_gsm8k_phi35,cusum_max,1319,False,1.0,1,0.7566149574132913,0.24217785159084973,,
lapeigvals_gsm8k_phi35,cusum_shift_idx,1319,False,1.0,1,0.6037366833097482,0.08259824027729257,-1.38,0
lapeigvals_gsm8k_phi35,epr_spilled,1319,False,1.0,1,0.7591069696241511,0.247902563335235,,
lapeigvals_gsm8k_phi35,sw_var_peak_spilled,1319,False,1.0,1,0.69429240203277,0.1630112671061223,,
lapeigvals_gsm8k_phi35,cusum_max_spilled,1319,False,1.0,1,0.7443729474274423,0.24951590782939073,,
lapeigvals_gsm8k_phi35,epr_energy,1319,False,1.0,1,0.5387596899224807,0.035741724753586494,,
lapeigvals_gsm8k_phi35,min_energy,1319,False,1.0,0,0.5046725228953621,0.03492932287872155,,
lapeigvals_gsm8k_phi35,sw_var_peak_energy,1319,False,1.0,1,0.5285602399451756,0.04634712321681991,,
lapeigvals_gsm8k_phi35,cusum_max_energy,1319,False,1.0,1,0.5668793777089507,0.04685368619413806,,
lapeigvals_gsm8k_phi35,mean_top1_logprob,1319,False,1.0,1,0.7640687439368452,0.3025811846027169,,
lapeigvals_gsm8k_phi35,logprob_margin,1319,False,1.0,1,0.7667476570635197,0.2405366486560671,,
lapeigvals_gsm8k_phi35,mean_logprob_entropy,1319,False,1.0,1,0.7708327770806077,0.2504847521896585,,
lapeigvals_gsm8k_phi35,varentropy,1319,False,1.0,1,0.7843074431064712,0.25183017187478574,,
lapeigvals_gsm8k_phi35,renyi_entropy_2,1319,False,1.0,1,0.7670191083936311,0.24757643505903598,,
lapeigvals_gsm8k_phi35,topk_tail_mass,1319,False,1.0,1,0.7904484731975187,0.255320462019915,,
